Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1991,1,NA,0.125,NA,0.173387097,NA,0.133064516,NA,0.161290323,NA,0,NA,NA,0.133064516
1991,2,-16.77,0.723214286,814.42,1,5.14,0.946428571,138.97,0.96875,NA,0,4.12,17.09,0.933035714
1991,3,-26.38,0.77016129,806.32,1,5.25,0.951612903,111.33,0.963709677,NA,0,4.99,13.34,0.951612903
1991,4,-27.44,0.783333333,809.27,0.991666667,6.71,0.9,137.66,0.979166667,NA,0,6.3,12.65,0.9
1991,5,-30.67,0.741935484,804.22,0.97983871,10.18,0.383064516,79.14,0.459677419,NA,0,9.63,23.75,0.383064516
1991,6,-29.13,0.866666667,805.49,0.979166667,13.34,0.295833333,35.96,0.4125,NA,0,13.1,30.38,0.295833333
1991,7,-33.31,0.806451613,806.03,0.987903226,NA,0.016129032,NA,0.016129032,NA,0,NA,NA,0.016129032
1991,8,-32.75,0.838709677,799.97,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1991,9,-28.59,0.825,807.89,1,NA,0.004166667,NA,0.0125,NA,0,NA,NA,0.004166667
1991,10,-25.44,0.790322581,802.84,1,NA,0,NA,0,NA,0,NA,NA,0
1991,11,-17.94,0.75,808.98,1,5.74,0.266666667,116.21,0.283333333,NA,0,5.41,9.14,0.266666667
1991,12,-11.3,0.576612903,820.42,1,4.35,0.899193548,112.33,0.927419355,NA,0,3.59,22.08,0.887096774
1992,1,-11.54,0.64516129,815.16,1,4.6,0.927419355,119.56,0.963709677,NA,0,4.22,16.46,0.927419355
1992,2,-18.25,0.637931034,816.36,1,5.28,0.943965517,117.66,0.965517241,NA,0,4.86,19.91,0.943965517
1992,3,-27.12,0.758064516,803.19,1,8.32,0.717741935,110.94,0.790322581,NA,0,7.37,24.76,0.701612903
1992,4,-31.05,0.816666667,808.62,1,NA,0.129166667,NA,0.133333333,NA,0,NA,NA,0.129166667
1992,5,-30.33,0.915322581,812.43,0.991935484,NA,0.064516129,NA,0.064516129,NA,0,NA,NA,0.064516129
1992,6,-32.91,0.791666667,813.33,0.995833333,NA,0.0625,NA,0.0625,NA,0,NA,NA,0.0625
1992,7,-35.17,0.830645161,799.95,0.987903226,NA,0,NA,0,NA,0,NA,NA,0
1992,8,-38.69,0.862903226,798.02,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1992,9,-31.16,0.85,802.46,1,NA,0.054166667,NA,0.058333333,NA,0,NA,NA,0.054166667
1992,10,-23.99,0.814516129,808.77,1,NA,0,NA,0,NA,0,NA,NA,0
1992,11,-19.45,0.654166667,802.88,0.9875,8.34,0.35,161.28,0.425,NA,0,7.54,10.78,0.345833333
1992,12,-12.31,0.633064516,811.42,0.983870968,4.26,0.830645161,165.31,0.850806452,NA,0,2.88,15.52,0.818548387
