Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,1,-31.42,0.870967742,624.88,1,5.16,1,246.22,1,59.93,1,4.51,246.08,1
2013,2,-45.27,0.875,615.2,1,5.77,1,265.23,1,54.65,1,5.51,261.62,1
2013,3,-59.45,0.943548387,610.12,1,5.57,1,265.93,1,48.72,1,5.18,263.7,1
2013,4,-61.81,0.954166667,614.24,1,6.32,1,275.14,1,46.57,1,6.06,274,1
2013,5,-66.23,0.955645161,612.72,1,5.53,1,287.78,1,42.74,1,5.21,289.25,1
2013,6,-58.07,0.8875,623.86,1,7,0.908333333,267.8,0.908333333,51.4,0.820833333,6.45,265.74,0.908333333
2013,7,-63.6,0.943548387,610.8,1,7.14,0.75,264.49,0.754032258,46.12,0.959677419,6.72,262.43,0.75
2013,8,-59.63,0.931451613,622.76,1,6.27,1,273.41,0.987903226,49.29,0.955645161,5.57,275.43,0.987903226
2013,9,-56.48,0.8875,626.02,1,6.48,0.958333333,281.42,0.970833333,51.45,0.991666667,5.93,281.03,0.958333333
2013,10,-52.42,0.737903226,618.08,1,5.85,1,272.75,1,53.86,0.995967742,5.47,272.35,1
2013,11,-37.33,0.916666667,622.67,1,5.99,1,261.49,1,60.82,1,5.71,264.41,1
2013,12,-29.73,0.887096774,624.79,1,4.73,1,265.2,1,59.27,0.85483871,4.35,265.06,1
2014,1,-30.04,0.846774194,629.1,1,4.11,1,258.41,1,NA,0.169354839,3.38,273.12,1
2014,2,-43.51,0.870535714,620.69,1,5.81,1,280.09,1,55.87,0.46875,5.42,279.27,1
2014,3,-59.29,0.935483871,612.7,1,6.11,1,275.14,1,48.86,1,5.89,273.59,1
2014,4,-61.85,0.941666667,614.1,1,6.55,0.970833333,267.69,0.970833333,46.83,0.7875,5.81,269.51,0.970833333
2014,5,-59.07,0.963709677,622.08,1,6.39,0.991935484,279,1,49.06,0.891129032,5.91,279.18,0.991935484
2014,6,-59.24,0.9625,615.99,1,7.12,0.958333333,264.67,0.958333333,48.36,0.8625,6.2,260.11,0.958333333
2014,7,-66.6,0.971774194,609.5,1,6.29,0.975806452,283.15,0.975806452,41.79,0.89516129,5.82,285.16,0.975806452
2014,8,-62.85,0.935483871,613.46,1,6.74,0.943548387,271.34,0.935483871,44.56,0.935483871,6.15,268.57,0.931451613
2014,9,-60.98,0.929166667,620.81,1,6.23,0.9,276.31,0.916666667,47.79,0.783333333,5.9,277.47,0.9
2014,10,-54.14,0.782258065,614.23,1,6.02,0.939516129,268.64,0.939516129,NA,0.088709677,5.24,270.25,0.939516129
2014,11,-40.37,0.754166667,620.76,1,5.02,0.9875,277.75,0.9875,60.93,0.4375,4.78,281.84,0.9875
2014,12,-31.45,0.931451613,621.42,1,5.13,1,247.89,1,NA,0,4.36,247.73,1
2015,1,-31.21,0.927419355,626.02,1,5.51,0.995967742,255.01,1,NA,0.004032258,4.92,251.1,0.995967742
2015,2,-42.96,0.830357143,619,1,5.31,0.986607143,277.27,1,NA,0,5.07,275.82,0.986607143
2015,3,-56.53,0.931451613,613.99,1,5.89,1,275.9,1,49.96,0.629032258,5.65,274.73,1
2015,4,-62.36,0.9625,611.72,1,6.3,1,271.51,1,44.64,0.7625,5.76,268.01,1
2015,5,-65.44,0.947580645,609.28,1,6.09,0.995967742,269.98,1,43.58,0.85483871,5.55,271.3,0.995967742
2015,6,-61.49,0.979166667,615.92,1,6.71,0.9375,275.24,0.9375,46.75,0.929166667,6.06,275.4,0.9375
2015,7,-63.5,0.899193548,604.98,1,6.83,0.866935484,264.73,0.866935484,43.9,0.810483871,5.82,262.01,0.866935484
2015,8,-66.78,0.959677419,605.66,1,6.3,0.745967742,269.63,0.75,43.7,0.419354839,5.51,272.5,0.745967742
2015,9,-66.58,0.945833333,607.03,1,6.79,0.941666667,282.92,0.941666667,NA,0,6.4,281.75,0.941666667
2015,10,-49.77,0.85483871,617.62,1,7.09,1,251.84,1,NA,0.153225806,6.22,247.99,1
2015,11,-39.12,0.879166667,620.1,1,6.16,0.995833333,265.81,1,60.17,0.7125,5.12,261.87,0.995833333
2015,12,-30.87,0.838709677,625.91,1,4.65,0.983870968,253.01,0.991935484,58.97,0.810483871,3.1,280.47,0.983870968
2016,1,-33.18,0.919354839,620.85,1,5.31,1,271.93,1,57.78,0.931451613,4.69,282.23,1
2016,2,-44.28,0.840517241,620.8,1,4.91,1,268.69,1,55.53,0.982758621,4.67,266.04,1
2016,3,-57.74,0.959677419,611.19,1,3.59,1,266.34,1,50.33,1,3.43,264.08,1
2016,4,-62.36,0.983333333,613.12,1,4.14,1,271.43,0.9875,47.05,0.9,3.88,268.98,0.9875
2016,5,-61.07,0.927419355,615.74,1,5.96,0.987903226,281.57,1,47.62,0.875,5.38,280.52,0.987903226
2016,6,-67.03,0.979166667,605.97,1,5.57,1,278.66,1,42.05,0.670833333,5.24,276.29,1
2016,7,-67.54,0.967741935,610.92,1,5.44,0.995967742,285.61,1,43.05,0.258064516,5.2,287.16,0.995967742
2016,8,-59.34,0.943548387,619.95,1,6.5,1,272.1,1,49.06,0.995967742,5.85,271.18,1
2016,9,-63.12,0.9375,607.14,1,6.13,0.954166667,271.35,0.958333333,42.94,0.6625,5.51,267.44,0.954166667
2016,10,-52.8,0.725806452,613.48,1,5.84,0.967741935,263.3,0.967741935,52.77,0.842741935,5.52,261.14,0.967741935
2016,11,-38.03,0.879166667,628.86,1,5.37,1,270.42,1,59.99,1,5.05,267.18,1
2016,12,-31.07,0.919354839,629.57,1,4.34,1,253,1,59.53,1,3.9,250.77,1
2017,1,-31.6,0.818548387,631.4,1,4.62,0.991935484,260.26,0.995967742,60.07,0.983870968,3.5,261.78,0.991935484
2017,2,-42.52,0.834821429,625.33,1,4.84,1,273.79,1,55.89,1,4.39,275.62,1
2017,3,-58.04,0.959677419,618.58,1,3.8,1,270.46,1,50.23,1,3.43,262.14,1
2017,4,-64.27,0.983333333,612.88,1,3.84,1,275.88,1,45.48,0.904166667,3.45,276.15,1
2017,5,-62.34,0.951612903,615.89,1,6.28,1,274.8,1,46.29,0.637096774,5.76,274.35,1
2017,6,-67.58,0.979166667,612.04,1,5.65,1,274.9,1,42.93,0.483333333,5.36,272.71,1
2017,7,-63.71,0.931451613,612.14,1,6.63,0.995967742,273.92,1,NA,0.22983871,6.21,275.81,0.995967742
2017,8,-63.02,0.923387097,608.17,1,6.1,0.987903226,266.71,0.995967742,45.77,0.963709677,5.3,273.1,0.987903226
2017,9,-64.76,0.941666667,610.54,1,6.13,1,277.94,0.983333333,43.9,0.675,5.55,276.42,0.983333333
2017,10,-50.39,0.814516129,622.04,1,5.59,0.951612903,263.27,0.959677419,53.96,0.822580645,4.75,258.65,0.951612903
2017,11,-40.41,0.845833333,617.78,1,5.66,1,261.66,1,61.08,0.9875,5.06,262.47,1
2017,12,-32.24,0.830645161,623.19,1,4.85,1,255.93,0.987903226,61.35,0.959677419,4.14,253.4,0.987903226
2018,1,-31.05,0.758064516,625.32,1,4.01,1,240.9,1,61.02,0.995967742,3.26,251.59,1
2018,2,-42.78,0.866071429,619.49,1,4.85,1,267.78,1,56.44,1,4.58,265.79,1
2018,3,-55.13,0.919354839,620.84,1,3.71,0.991935484,274.25,1,53.02,0.903225806,3.13,265.25,0.991935484
2018,4,-61.01,0.958333333,618.51,1,3.45,1,310.39,1,48.55,0.991666667,3.03,313.26,1
2018,5,-57.24,0.951612903,618.09,1,5.04,0.911290323,263,0.923387097,50.56,1,4.36,251.25,0.911290323
2018,6,-58.8,0.966666667,622.83,1,3.42,0.954166667,273.3,0.979166667,49.62,1,2.96,269.32,0.954166667
2018,7,-61.59,0.89516129,615.56,0.943548387,6.07,0.89516129,290.11,0.899193548,46.86,0.943548387,5.58,292.07,0.89516129
2018,8,-61.73,0.89516129,619.22,1,5.08,0.758064516,270.07,0.758064516,47.39,1,4.85,270.48,0.758064516
