Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1996,1,-21.28,0.475806452,762.12,0.491935484,6.15,0.491935484,74.96,0.491935484,NA,0,5.87,78.97,0.491935484
1996,2,-26.44,0.642241379,761.23,0.650862069,9.33,0.650862069,81.87,0.650862069,NA,0,9.04,81.63,0.650862069
1996,3,-39.43,0.608870968,751.8,0.620967742,9.88,0.608870968,84.36,0.620967742,NA,0,9.56,87.39,0.608870968
1996,4,-45.09,0.6375,754.46,0.65,11.98,0.3625,95.73,0.379166667,NA,0,11.71,97.94,0.3625
1996,5,-49.05,0.641129032,749.97,0.64516129,NA,0,NA,0,NA,0,NA,NA,0
1996,6,-49.44,0.654166667,752.82,0.6625,NA,0,NA,0,NA,0,NA,NA,0
1996,7,-46.61,0.306451613,747.54,0.314516129,NA,0,NA,0,NA,0,NA,NA,0
1996,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,9,NA,0.066666667,NA,0.066666667,NA,0,NA,0,NA,0,NA,NA,0
1996,10,-40.71,0.596774194,746.06,0.600806452,NA,0,NA,0,NA,0,NA,NA,0
1996,11,-26.31,0.645833333,758.69,0.645833333,11.08,0.4125,78.09,0.408333333,NA,0,10.63,80.65,0.4
1996,12,-17.72,0.564516129,761.19,0.568548387,7.31,0.463709677,72.98,0.467741935,NA,0,6.71,69.35,0.463709677
1997,1,-18.71,0.564516129,760.8,0.588709677,6.19,0.576612903,79.75,0.588709677,NA,0,5.53,63.9,0.576612903
1997,2,-29.46,0.589285714,755.68,0.598214286,7.13,0.59375,71.44,0.59375,NA,0,6.9,74.29,0.59375
1997,3,-37.95,0.350806452,742.69,0.375,9.5,0.375,83.84,0.375,NA,0,8.83,83.83,0.375
1997,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,9,NA,0.004166667,NA,0.004166667,NA,0,NA,0,NA,0,NA,NA,0
1997,10,NA,0.008064516,NA,0.008064516,NA,0,NA,0,NA,0,NA,NA,0
1997,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,10,NA,0.056451613,NA,0.056451613,NA,0,NA,0,NA,0,NA,NA,0
1998,11,NA,0.004166667,NA,0.004166667,NA,0,NA,0,NA,0,NA,NA,0
