Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,12,-2.12,0.467741935,978.27,0.685483871,4.32,0.653225806,NA,0,73.09,0.685483871,NA,NA,0
2015,1,-3.25,0.487903226,982.93,1,3.56,0.955645161,NA,0,81.48,0.987903226,NA,NA,0
2015,2,-7.41,0.799107143,975.78,1,7.48,0.910714286,NA,0,82.56,1,NA,NA,0
2015,3,-12.67,0.931451613,974.8,1,9.73,0.842741935,NA,0,85.01,1,NA,NA,0
2015,4,-16.69,0.983333333,974.3,1,15.37,0.870833333,NA,0,87.47,1,NA,NA,0
2015,5,-17.59,0.963709677,976.72,1,13.42,0.866935484,NA,0,90.31,1,NA,NA,0
2015,6,-20.47,0.983333333,982.08,1,11.08,0.908333333,NA,0,86.96,1,NA,NA,0
2015,7,-21.89,0.935483871,971.08,1,12.91,0.838709677,NA,0,94.11,1,NA,NA,0
2015,8,-21.97,0.959677419,969.92,1,11.47,0.85483871,NA,0,91.17,1,NA,NA,0
2015,9,-23.3,0.9125,974.62,1,11.61,0.820833333,NA,0,91.05,1,NA,NA,0
2015,10,-13.45,0.887096774,983.1,1,10.81,0.806451613,NA,0,77.82,1,NA,NA,0
2015,11,-7.15,0.808333333,981.13,1,6.33,0.8375,NA,0,79.03,1,NA,NA,0
2015,12,-2.73,0.633064516,983.03,1,4.79,0.89516129,NA,0,79.77,1,NA,NA,0
2016,1,-2.73,0.657258065,977.89,1,4.61,0.939516129,NA,0,81.75,0.991935484,NA,NA,0
2016,2,NA,0.043103448,NA,0.090517241,NA,0.090517241,NA,0,NA,0.090517241,NA,NA,0
