Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,1,-1.91,0.560483871,964.27,0.576612903,NA,0,142.38,0.536290323,60.03,0.576612903,NA,NA,0
2000,2,-3.84,0.625,964.27,0.655172414,NA,0,132.42,0.620689655,57.72,0.655172414,NA,NA,0
2000,3,-9.94,0.540322581,967.8,0.596774194,NA,0,134.27,0.544354839,60.86,0.596774194,NA,NA,0
2000,4,-13.03,0.5625,971.21,0.579166667,NA,0,127.92,0.495833333,53.13,0.583333333,NA,NA,0
2000,5,-17.9,0.616935484,962.62,0.637096774,NA,0,127.27,0.592741935,60.93,0.641129032,NA,NA,0
2000,6,-16.17,0.591666667,969.01,0.629166667,NA,0,122.86,0.541666667,57.48,0.629166667,NA,NA,0
2000,7,-14.53,0.596774194,966.95,0.612903226,NA,0,120.39,0.556451613,60.99,0.608870968,NA,NA,0
2000,8,-13.38,0.608870968,966.57,0.620967742,NA,0,128.29,0.592741935,69.74,0.64516129,NA,NA,0
2000,9,-10.39,0.6125,965.72,0.633333333,NA,0,140.09,0.575,66.28,0.633333333,NA,NA,0
2000,10,-14.78,0.600806452,959.65,0.685483871,NA,0,149.88,0.625,61.53,0.685483871,NA,NA,0
2000,11,-4.36,0.670833333,969.36,0.679166667,NA,0,166.46,0.633333333,63.31,0.679166667,NA,NA,0
2000,12,-1.33,0.725806452,974.39,0.737903226,NA,0,135.96,0.60483871,58.88,0.737903226,NA,NA,0
2001,1,-0.91,0.661290323,968.87,0.677419355,NA,0,126.36,0.608870968,69.54,0.677419355,NA,NA,0
2001,2,-5.53,0.535714286,976.72,0.647321429,NA,0,NA,0.008928571,70.69,0.258928571,NA,NA,0
2001,3,-7.08,0.564516129,965.62,0.649193548,NA,0,NA,0,NA,0,NA,NA,0
2001,4,-12.1,0.5125,961.34,0.6,NA,0,NA,0,NA,0,NA,NA,0
2001,5,-13.39,0.576612903,970.1,0.592741935,NA,0,NA,0,NA,0,NA,NA,0
2001,6,-16.84,0.541666667,965.08,0.570833333,NA,0,NA,0,NA,0,NA,NA,0
2001,7,-12.08,0.274193548,964.8,0.282258065,NA,0,NA,0,NA,0,NA,NA,0
