Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2002,11,-9.15,0.4125,977.86,0.55,10.33,0.4625,226.67,0.545833333,NA,0,5.76,214.8,0.4625
2002,12,-4.49,0.495967742,975.78,0.584677419,9.76,0.495967742,202.73,0.580645161,NA,0,4.23,197.45,0.491935484
2003,1,-1.95,0.548387097,985.72,0.629032258,13.73,0.556451613,172.29,0.608870968,NA,0,11.27,152.3,0.544354839
2003,2,-6.66,0.504464286,984.61,0.575892857,12.38,0.517857143,199.36,0.5625,NA,0,9.7,174.82,0.504464286
2003,3,-17.33,0.552419355,982.8,0.596774194,13.18,0.475806452,216.45,0.580645161,NA,0,10.6,217.58,0.463709677
2003,4,-25.12,0.575,979.94,0.6125,11.29,0.433333333,235.82,0.6125,NA,0,8.85,230.36,0.433333333
2003,5,-28.02,0.661290323,979,0.72983871,12.13,0.487903226,226.25,0.657258065,NA,0,9.77,205.38,0.455645161
2003,6,-24.19,0.691666667,987.08,0.745833333,13.1,0.554166667,197.99,0.733333333,NA,0,11.02,193.55,0.545833333
2003,7,-25.14,0.641129032,981.15,0.721774194,12.32,0.455645161,208.36,0.705645161,NA,0,8.23,202.58,0.455645161
2003,8,-22.23,0.516129032,976.59,0.625,13.58,0.411290323,197.28,0.637096774,NA,0,7.55,199.26,0.411290323
2003,9,-23.21,0.641666667,978.66,0.7375,12.87,0.525,213.23,0.725,NA,0,9.73,208.79,0.525
2003,10,-21.62,0.536290323,979.52,0.697580645,7.7,0.596774194,228.48,0.689516129,NA,0,5.03,224.67,0.592741935
2003,11,-10.9,0.5375,977.83,0.645833333,7.49,0.55,188.55,0.633333333,NA,0,5.07,180.71,0.55
2003,12,-3.61,0.572580645,991.31,0.669354839,9.82,0.532258065,194.41,0.665322581,NA,0,5.39,168.07,0.532258065
2004,1,-1.49,0.653225806,978.47,0.701612903,14.35,0.552419355,182.11,0.701612903,NA,0,9.87,168.18,0.552419355
2004,2,-4.33,0.590517241,983.66,0.663793103,13.41,0.573275862,176.19,0.663793103,NA,0,10.26,165.46,0.573275862
2004,3,-10.52,0.564516129,974.45,0.665322581,12.58,0.544354839,198.01,0.649193548,NA,0,8.73,184.04,0.528225806
2004,4,-22.6,0.616666667,980.54,0.704166667,11.52,0.541666667,223.13,0.6875,NA,0,7.86,208.05,0.529166667
2004,5,-27.4,0.556451613,982.54,0.641129032,11.8,0.508064516,206.79,0.637096774,NA,0,8.05,198.41,0.508064516
2004,6,-18.85,0.595833333,976.42,0.654166667,13.52,0.395833333,179.87,0.504166667,NA,0,10.22,153.43,0.333333333
2004,7,-27.75,0.560483871,978.58,0.637096774,10.82,0.491935484,207.92,0.584677419,NA,0,8.52,208.7,0.459677419
2004,8,-24.31,0.548387097,983.73,0.64516129,12.15,0.403225806,197.92,0.483870968,NA,0,9.02,178.19,0.342741935
2004,9,-20.95,0.5875,976.06,0.641666667,14.74,0.4625,168.07,0.570833333,NA,0,11.2,165.14,0.4
2004,10,-19.87,0.471774194,978.96,0.677419355,8.32,0.495967742,183.1,0.552419355,NA,0,6.6,176.88,0.407258065
2004,11,-10.73,0.445833333,977.01,0.645833333,7.89,0.591666667,212.96,0.616666667,NA,0,4.54,185.29,0.5625
2004,12,-3.19,0.508064516,990.82,0.657258065,8.73,0.572580645,176.41,0.637096774,NA,0,4.49,149.61,0.556451613
2005,1,-3.01,0.556451613,984.62,0.673387097,9,0.564516129,208.02,0.665322581,NA,0,4.95,177.99,0.560483871
2005,2,-8.33,0.665178571,978.47,0.888392857,8.65,0.625,217.28,0.875,NA,0,4.89,225.07,0.620535714
2005,3,-15.19,0.717741935,980.06,0.875,11.04,0.608870968,209.11,0.85483871,NA,0,7.3,197.14,0.596774194
2005,4,-21.98,0.720833333,976.88,0.875,12.4,0.633333333,205.96,0.866666667,NA,0,10.47,188.92,0.620833333
2005,5,-26.33,0.733870968,980.01,0.830645161,8.78,0.612903226,194.56,0.786290323,NA,0,7.83,194.01,0.60483871
2005,6,-28.05,0.691666667,990.36,0.8,9.24,0.470833333,205.09,0.625,NA,0,6.45,189.9,0.425
2005,7,NA,0.100806452,NA,0.129032258,NA,0.060483871,NA,0.10483871,NA,0,NA,NA,0.048387097
