Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,12,NA,0.108870968,NA,0.157258065,NA,0.157258065,NA,0.157258065,NA,0.157258065,NA,NA,0.157258065
2012,1,-3.48,0.834677419,973.13,1,4.48,0.879032258,150.29,1,79.43,1,1.76,90.95,0.879032258
2012,2,-5.74,0.896551724,977.38,1,6.77,0.784482759,157.56,1,79.46,1,3.43,108.19,0.784482759
2012,3,-7.61,0.983870968,976.31,1,6.45,0.733870968,145.04,0.971774194,84.28,1,2.69,92.72,0.733870968
2012,4,-9.67,0.9625,973.48,1,7.73,0.675,133.97,0.9875,86.28,1,4.27,87.46,0.675
2012,5,-11,0.915322581,975.36,0.991935484,8.73,0.508064516,131.97,0.842741935,86.56,0.995967742,6.2,116.67,0.508064516
2012,6,-25.7,0.8875,977.53,1,5.33,0.716666667,136.03,0.975,81.96,1,2.87,106.56,0.716666667
2012,7,-17.79,0.911290323,968.65,1,6.98,0.725806452,120.63,1,84.82,1,3.5,81.52,0.725806452
2012,8,-20.22,0.85483871,969.69,1,7.81,0.701612903,110.7,0.987903226,83.3,1,6.12,113.27,0.701612903
2012,9,-17.2,0.95,970.42,1,6.86,0.708333333,132.6,0.966666667,87.09,1,4.04,99.95,0.708333333
2012,10,-15.62,0.931451613,975.46,1,5.95,0.85483871,122.25,0.987903226,82.14,1,3.27,105.6,0.85483871
2012,11,-10.06,0.991666667,981.06,1,4.96,0.783333333,137.05,1,75.4,1,2.45,111.52,0.783333333
2012,12,-2.21,0.782258065,986.36,1,3.77,0.891129032,146.61,1,82.86,1,1.78,32.88,0.891129032
2013,1,-1.93,0.762096774,982.83,1,3.73,0.939516129,153.17,1,86.41,1,2.04,115.77,0.939516129
2013,2,-4.66,0.915178571,972.49,1,6,0.794642857,134.68,1,85.15,1,2.74,94.48,0.794642857
2013,3,-3.77,0.959677419,969.5,0.995967742,8.27,0.665322581,105.32,0.97983871,87.49,1,4.72,75.44,0.665322581
2013,4,-14.43,0.95,964.21,1,7.55,0.6875,153.45,1,84.64,1,4.29,113.24,0.6875
2013,5,-17.98,0.939516129,979.17,1,6.04,0.580645161,139.9,0.782258065,83.85,1,3.25,89.75,0.580645161
2013,6,-22.59,0.970833333,974.56,1,7.6,0.758333333,126.92,1,76.91,1,6.73,122.69,0.758333333
2013,7,-21.17,0.927419355,971.07,1,6.55,0.633064516,122.8,0.810483871,83.58,1,3.78,89.72,0.633064516
2013,8,-18.22,0.891129032,975.45,1,6.89,0.633064516,131.75,0.951612903,81.57,1,3.46,88.23,0.633064516
2013,9,-18.28,0.958333333,975.52,0.995833333,6.51,0.6625,131.47,0.929166667,81.52,1,3.54,87.08,0.6625
2013,10,-13.62,0.983870968,971.81,1,8.36,0.77016129,124.17,1,80.09,1,5.75,109.61,0.77016129
2013,11,-9.39,0.991666667,968.01,1,5.23,0.895833333,134.02,1,79.56,1,2.97,89.84,0.895833333
2013,12,-2.47,0.778225806,982.12,1,4.1,0.858870968,154.59,1,80.8,1,1.49,40,0.858870968
2014,1,-2.69,0.842741935,983.08,0.935483871,5.57,0.830645161,127.26,0.935483871,79.28,0.935483871,3.24,100.33,0.830645161
2014,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,12,-3.46,0.741935484,974.43,0.89516129,3.9,0.790322581,117.86,0.891129032,73.9,0.89516129,2.28,69.02,0.790322581
2015,1,-1.52,0.862903226,976.32,1,5.41,0.834677419,151.88,0.995967742,77.39,1,2.78,104.92,0.834677419
2015,2,-3.33,0.875,972.33,1,5.97,0.808035714,128.08,1,79.85,1,2.68,74.97,0.808035714
2015,3,-9.82,0.987903226,973.1,1,6.26,0.741935484,140.36,0.983870968,79.61,1,3.43,120.83,0.741935484
2015,4,-12.59,0.945833333,967.65,1,6.43,0.6125,153.82,0.8125,84.59,1,2.58,110.27,0.6125
2015,5,-13.7,0.939516129,981.55,1,6.98,0.483870968,132.46,0.681451613,81.64,1,3.13,19.18,0.483870968
2015,6,-20.73,0.945833333,975.18,1,6.09,0.466666667,131.84,0.6625,79.92,1,2.82,86.95,0.466666667
2015,7,-21.11,0.899193548,969.07,1,NA,0.201612903,135.9,0.286290323,79.92,1,NA,NA,0.201612903
2015,8,-23.94,0.915322581,967.86,1,6.7,0.600806452,149.13,0.814516129,76.43,1,3.6,104.76,0.600806452
2015,9,-19.73,0.845833333,974.24,0.995833333,7.77,0.516666667,159.53,0.720833333,78.87,0.995833333,3.8,110.2,0.516666667
2015,10,-9.87,0.971774194,969.8,1,5.76,0.733870968,129.71,0.963709677,81.5,1,2.9,64.55,0.733870968
2015,11,-8.16,0.991666667,966.59,1,5.26,0.875,130.13,0.9875,76.85,1,2.01,51.85,0.875
2015,12,-2.97,0.838709677,974.49,1,5.26,0.798387097,157.16,0.995967742,80.21,1,1.87,55.21,0.798387097
2016,1,-1.63,0.891129032,978.53,0.995967742,5.65,0.766129032,156.2,0.927419355,81.23,0.995967742,1.64,85.06,0.766129032
2016,2,-5.29,0.892241379,968.33,1,4.58,0.793103448,139.54,1,78.83,1,2.04,89.05,0.793103448
2016,3,-9.71,0.959677419,966.91,1,5.76,0.862903226,135.5,1,80.81,1,2.45,82.52,0.862903226
2016,4,-17.15,0.920833333,979.43,1,4.25,0.520833333,160.54,0.654166667,81.45,1,0.92,76.47,0.520833333
2016,5,-8.7,0.907258065,975.51,1,8.18,0.403225806,156.32,0.653225806,86.29,1,4.21,48.58,0.403225806
2016,6,-14.57,0.908333333,966.13,1,9.03,0.516666667,139.57,0.704166667,83.89,1,4.46,96.09,0.516666667
2016,7,-14.86,0.903225806,977.4,1,7.03,0.383064516,125.39,0.52016129,83.24,1,3.38,57.26,0.383064516
2016,8,-16.32,0.927419355,984.29,1,6.33,0.362903226,107.48,0.467741935,80.95,1,4.02,47.37,0.362903226
2016,9,-14.59,0.9,954.41,0.991666667,9.05,0.4875,131.44,0.825,79.99,0.991666667,5.6,91.44,0.4875
2016,10,-7.58,0.983870968,970.8,1,6.45,0.633064516,151.71,0.866935484,82.53,1,2.4,101.07,0.633064516
2016,11,-5.93,0.995833333,975.23,1,8.33,0.741666667,133.69,0.995833333,73.79,1,4.98,104.89,0.741666667
2016,12,-2.65,0.455645161,981.29,0.592741935,3.92,0.532258065,142.5,0.592741935,78.36,0.592741935,1.65,98.74,0.532258065
