Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,-7.08,0.459677419,945.58,0.576612903,4.86,0.524193548,124.64,0.576612903,65.46,0.576612903,3.51,82.19,0.524193548
2011,2,-8.92,0.915178571,932.13,1,9.69,0.665178571,96.83,1,78.22,1,8.94,67.87,0.665178571
2011,3,-11.96,0.97983871,938.86,1,5.9,0.697580645,112.44,1,67.06,1,4.35,76.09,0.697580645
2011,4,-17.13,0.95,941.5,1,4.75,0.6875,130.7,0.979166667,67.95,1,3.14,86.03,0.6875
2011,5,-17.16,0.971774194,922.74,1,11.72,0.508064516,95.72,1,76.52,1,10.53,71.53,0.508064516
2011,6,-17.59,0.95,933.51,1,12.11,0.570833333,92.56,1,75.31,1,10.45,58.55,0.570833333
2011,7,-11.96,0.959677419,942.3,1,7.61,0.592741935,130.75,0.959677419,77.68,1,5.86,49.58,0.592741935
2011,8,-13.32,0.955645161,933.44,1,11.24,0.592741935,87.48,0.995967742,83.58,1,10.41,48.79,0.592741935
2011,9,-22.19,0.954166667,935.56,1,6.02,0.583333333,123.33,0.979166667,67.37,1,3.54,90.86,0.583333333
2011,10,-15.46,0.995967742,925.74,1,10.84,0.362903226,99.53,0.963709677,78.3,1,8.65,49.86,0.35483871
2011,11,-9.63,1,930.04,1,12.74,0.641666667,90.87,1,81.84,1,11.62,64.07,0.641666667
2011,12,-6.05,0.806451613,926.6,1,6.63,0.725806452,106.15,1,75.84,1,5.44,65.12,0.725806452
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,1,-3.42,0.689516129,939.08,1,3.87,0.814516129,136.82,1,72.41,1,2.56,71.83,0.814516129
2013,2,-7.66,0.84375,928.28,1,6.83,0.669642857,115.71,0.977678571,75.2,1,4.73,61.76,0.669642857
2013,3,-7.71,0.97983871,922.74,1,12.62,0.584677419,81.96,0.995967742,89.31,1,11.05,58.45,0.584677419
2013,4,-18.41,0.983333333,919.68,1,7.93,0.579166667,104.38,0.975,76.5,1,6.84,77.21,0.579166667
2013,5,-16.89,0.955645161,933.09,1,7.06,0.612903226,131.54,0.991935484,69.43,1,4.11,49.51,0.612903226
2013,6,-21.77,0.991666667,929.74,1,6.33,0.579166667,121.84,1,63.77,1,5.38,82.69,0.579166667
2013,7,-22.56,0.955645161,923.75,1,6.96,0.592741935,119.11,0.991935484,73.34,1,5.43,75.52,0.592741935
2013,8,-20.01,0.935483871,928.62,1,10.24,0.467741935,118.14,0.995967742,78.44,0.995967742,7.27,69.81,0.467741935
2013,9,-19.6,0.995833333,927.24,1,10.12,0.533333333,116.05,1,77.96,1,8.46,66.26,0.533333333
2013,10,-15.55,0.987903226,926.14,0.991935484,9.35,0.495967742,109,0.955645161,75.43,0.987903226,7.47,67.65,0.495967742
2013,11,-12.64,0.995833333,922.81,1,5.98,0.695833333,100.01,1,79.22,1,4.71,75.38,0.695833333
2013,12,-5.02,0.782258065,936.43,1,5.94,0.790322581,133.72,0.995967742,80.87,1,4.18,57.63,0.790322581
2014,1,-5.82,0.866935484,938.12,1,7.67,0.673387097,102.97,1,77.82,1,6.26,70.46,0.673387097
2014,2,-10.92,0.8125,930.86,1,8.34,0.575892857,101.53,1,75.25,1,7.11,70.27,0.575892857
2014,3,-13.75,0.963709677,928.54,1,7.79,0.625,120.36,1,74.76,0.995967742,5.85,76.54,0.625
2014,4,-14.24,0.9625,920,1,8.79,0.416666667,122.39,0.8875,86.75,0.9875,6.53,45.71,0.416666667
2014,5,-14.4,0.987903226,926.54,1,12.6,0.536290323,89.21,0.995967742,84.75,0.987903226,11.48,64.67,0.536290323
2014,6,-18.41,0.929166667,922.67,1,10.88,0.466666667,122.33,0.9375,85.02,0.983333333,8.32,58.88,0.466666667
2014,7,-22.72,0.943548387,924.71,0.995967742,7.74,0.516129032,133.98,0.915322581,80.41,1,5.54,64.2,0.516129032
2014,8,-17.18,0.983870968,928.74,1,10.58,0.576612903,113.22,1,81.65,0.955645161,8.2,48.08,0.576612903
2014,9,-14.37,0.958333333,931.07,1,13.22,0.454166667,91.22,0.945833333,87.32,0.970833333,11.93,48.69,0.445833333
