Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,11,NA,0.025,NA,0.025,NA,0.025,NA,0.025,NA,0.025,NA,NA,0.025
1994,12,-6.61,0.806451613,920.12,1,4.14,0.987903226,133.26,0.991935484,75.07,1,2.59,42.5,0.987903226
1995,1,-9.96,0.879032258,918.99,0.995967742,5.61,0.963709677,77.76,0.991935484,71.73,0.995967742,5.23,65.01,0.963709677
1995,2,-13.62,0.821428571,919.08,0.96875,6.15,0.928571429,84.66,0.959821429,78.87,0.96875,5.44,62.66,0.928571429
1995,3,-26.08,0.923387097,926.78,1,6.56,0.955645161,74.82,0.987903226,74.13,1,6.17,62.58,0.955645161
1995,4,-28.24,0.8625,917.84,1,7.65,0.904166667,75.3,0.958333333,75.79,1,7.23,65.3,0.904166667
1995,5,-31.76,0.834677419,915.87,1,8.17,0.887096774,68.23,0.991935484,72.42,1,7.75,64.66,0.887096774
1995,6,-24.54,0.766666667,925.33,0.9375,8.81,0.858333333,80.71,0.925,81.6,0.9375,8.05,63.09,0.858333333
1995,7,-31.97,0.879032258,933.71,1,7.72,0.939516129,79.37,1,72.95,1,7.28,64.84,0.939516129
1995,8,-30.97,0.951612903,920.54,1,9.8,0.943548387,70.81,1,72.05,1,9.47,70.62,0.943548387
1995,9,-28.81,0.945833333,913.02,1,10.25,0.945833333,69.13,1,70.6,1,10.03,70.41,0.945833333
1995,10,-24.61,0.919354839,915.01,0.987903226,9.72,0.879032258,77.67,0.975806452,63.93,0.987903226,9.34,76,0.866935484
1995,11,-15.06,0.979166667,915.82,1,9.48,0.958333333,76.23,1,66.39,1,9.35,76.44,0.958333333
1995,12,-7.75,0.887096774,916.18,1,6.28,0.983870968,92.09,0.995967742,68.21,1,5.65,74.95,0.983870968
1996,1,-8.5,0.862903226,923.8,0.995967742,6.1,0.975806452,93.07,0.995967742,72.03,0.995967742,5.01,71.85,0.975806452
1996,2,-15.34,0.935344828,926.34,0.995689655,6.71,0.974137931,71.58,0.995689655,73.1,0.995689655,6.43,69.55,0.974137931
1996,3,-27.82,0.923387097,919.19,1,7,0.959677419,75.58,0.995967742,70.49,1,6.59,69.56,0.959677419
1996,4,-19.51,0.916666667,917.39,1,10.45,0.904166667,68.04,1,79.1,1,10.17,69.11,0.904166667
1996,5,-31.83,0.975806452,920.43,1,9.18,0.955645161,66.88,1,68.67,1,8.98,68.18,0.955645161
1996,6,-27.02,0.8375,917.57,1,9.76,0.916666667,68.34,1,78.07,1,9.35,69.26,0.916666667
1996,7,-31.79,0.778225806,915.26,0.810483871,9.69,0.745967742,76.95,0.810483871,70.44,0.810483871,9.24,74.41,0.745967742
1996,8,-25.72,0.326612903,914.84,0.346774194,11.62,0.318548387,79.35,0.342741935,77.83,0.346774194,11.24,77.38,0.318548387
1996,9,-27.15,0.3625,923.47,0.3625,10.46,0.358333333,68.63,0.3625,72,0.3625,10.34,69.38,0.358333333
1996,10,-25.76,0.846774194,907.42,0.911290323,10.36,0.826612903,70.33,0.911290323,67.12,0.911290323,9.87,72.62,0.826612903
1996,11,-13.32,0.916666667,923.87,0.995833333,7.02,0.85,90.52,0.995833333,70.1,0.995833333,6.13,74.32,0.85
1996,12,-6.86,0.983870968,922.6,1,6.7,0.987903226,85.69,1,68.64,1,6.16,80.28,0.987903226
1997,1,-8.55,0.826612903,926.11,1,4.42,0.975806452,88.41,0.991935484,72.98,1,3.79,62.63,0.975806452
1997,2,-15.5,0.834821429,928.22,0.986607143,4.7,0.96875,104.2,0.982142857,80,0.986607143,3.89,49.07,0.96875
1997,3,-23.4,0.887096774,915.19,1,6.07,0.915322581,77.93,1,80.55,1,5.59,69.48,0.915322581
1997,4,-29.04,0.854166667,919.63,1,8.47,0.904166667,78.36,0.995833333,73.08,1,7.87,70.34,0.904166667
1997,5,-31.45,0.568548387,910.39,0.64516129,9.38,0.588709677,75.11,0.64516129,73.94,0.64516129,9.04,74.21,0.588709677
1997,6,NA,0.1,NA,0.108333333,NA,0.108333333,NA,0.108333333,NA,0.108333333,NA,NA,0.108333333
1997,7,NA,0.213709677,915.82,0.258064516,NA,0.245967742,74.66,0.258064516,82.09,0.258064516,NA,NA,0.245967742
1997,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,1,-10.97,0.411290323,917.72,0.415322581,7.7,0.407258065,76.69,0.415322581,NA,0,7.43,77.56,0.407258065
2000,2,-15.58,0.810344828,920.55,1,4.82,0.952586207,76.31,0.995689655,NA,0,4.42,63.01,0.952586207
2000,3,-19.11,0.931451613,922.18,1,8.07,0.951612903,71.79,0.987903226,NA,0,7.78,68.56,0.939516129
2000,4,-26.14,0.954166667,919.88,1,10.95,0.929166667,77.64,1,74.4,0.670833333,10.75,77.01,0.929166667
