Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,11,-3.15,0.5,NA,0,NA,0.129166667,NA,0.120833333,80.23,0.483333333,NA,NA,0.029166667
2000,12,-1.35,0.467741935,NA,0,NA,0.141129032,NA,0.193548387,79,0.443548387,NA,NA,0.040322581
2001,1,0.87,0.399193548,NA,0,NA,0.048387097,NA,0.024193548,78.98,0.379032258,NA,NA,0
2001,2,1.66,0.504464286,NA,0,NA,0.008928571,NA,0,79.91,0.401785714,NA,NA,0
2001,3,0.47,0.443548387,NA,0,NA,0,NA,0,72.95,0.391129032,NA,NA,0
2001,4,-0.22,0.479166667,NA,0,NA,0,NA,0,75.95,0.4625,NA,NA,0
2001,5,-2.53,0.467741935,NA,0,NA,0,NA,0,85.54,0.475806452,NA,NA,0
2001,6,-3.85,0.504166667,NA,0,NA,0,NA,0,85.44,0.479166667,NA,NA,0
2001,7,-4.78,0.407258065,NA,0,NA,0,NA,0,84.52,0.391129032,NA,NA,0
2001,8,-3.22,0.322580645,NA,0,NA,0,NA,0,76.55,0.322580645,NA,NA,0
2001,9,-3.41,0.379166667,NA,0,NA,0,NA,0,81.84,0.375,NA,NA,0
2001,10,-3.05,0.391129032,NA,0,NA,0,NA,0,80.2,0.411290323,NA,NA,0
2001,11,-1.19,0.441666667,NA,0,NA,0,NA,0,78.05,0.466666667,NA,NA,0
2001,12,0.97,0.475806452,NA,0,NA,0,NA,0,76.55,0.532258065,NA,NA,0
2002,1,1.34,0.387096774,NA,0,NA,0,NA,0,74.98,0.427419355,NA,NA,0
2002,2,2.8,0.410714286,NA,0,NA,0,NA,0,70.61,0.455357143,NA,NA,0
2002,3,0.57,0.47983871,NA,0,NA,0,NA,0,82.82,0.403225806,NA,NA,0
2002,4,-0.6,0.458333333,NA,0,NA,0,NA,0,77.4,0.433333333,NA,NA,0
2002,5,-3.47,0.608870968,NA,0,NA,0,NA,0,89.6,0.572580645,NA,NA,0
2002,6,-2.45,0.558333333,NA,0,NA,0,NA,0,85.81,0.508333333,NA,NA,0
2002,7,-3.74,0.504032258,NA,0,NA,0,NA,0,82.16,0.504032258,NA,NA,0
2002,8,-3.31,0.455645161,NA,0,NA,0,NA,0,79.4,0.431451613,NA,NA,0
