Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,1,-5.24,0.431451613,983.74,0.653225806,3.64,0.536290323,206.52,0.653225806,75.63,0.592741935,1.45,209.13,0.536290323
1999,2,-13.33,0.691964286,989.1,0.991071429,3.55,0.910714286,138.58,0.991071429,77.44,0.9375,1.83,106.17,0.910714286
1999,3,-22.96,0.834677419,988.68,1,3.63,0.911290323,149.59,1,82.09,0.971774194,1.6,116.44,0.911290323
1999,4,-30.57,0.783333333,986.9,0.995833333,3.66,0.808333333,161.94,0.995833333,81.52,0.966666667,0.81,90.98,0.808333333
1999,5,-33.25,0.580645161,984.85,0.995967742,2.84,0.774193548,176.33,0.951612903,80.1,0.963709677,0.41,317.87,0.774193548
1999,6,-29.21,0.683333333,1004.62,1,3.63,0.8875,146.93,0.9875,86.66,0.970833333,1.2,98.4,0.8875
1999,7,-24.58,0.758064516,983.87,1,3.6,0.681451613,180.42,0.991935484,82.79,0.866935484,0.62,188.3,0.681451613
1999,8,-37.05,0.592741935,990.46,0.987903226,1.97,0.689516129,189.27,0.810483871,77.78,0.975806452,0.12,94.23,0.689516129
1999,9,-24.29,0.733333333,987.23,0.925,3.84,0.704166667,166.42,0.908333333,86.73,0.866666667,0.72,128.35,0.704166667
1999,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,12,-4.46,0.334677419,978.98,0.516129032,3.01,0.455645161,208.3,0.516129032,69.02,0.512096774,0.87,219.15,0.455645161
2000,1,-7.13,0.681451613,978.74,1,3.16,0.866935484,164.93,0.987903226,72.65,0.97983871,0.73,135.18,0.85483871
2000,2,-13.95,0.75,985.11,0.969827586,3.8,0.844827586,132.37,0.969827586,77.6,0.857758621,2.22,113.08,0.844827586
2000,3,-20.44,0.790322581,987.71,1,3.46,0.879032258,172.44,0.987903226,88.75,0.887096774,1.02,86.34,0.866935484
2000,4,-23.75,0.770833333,987.88,1,3.5,0.7875,154.63,1,86.98,0.891666667,0.92,63.68,0.7875
2000,5,-27.81,0.745967742,988.76,0.991935484,3.06,0.862903226,177.26,0.991935484,86.89,0.842741935,0.15,185.07,0.862903226
2000,6,-29.26,0.720833333,991.46,0.995833333,3.51,0.895833333,203.37,1,85.88,0.975,0.73,250.96,0.895833333
2000,7,-28.2,0.693548387,988.13,1,3.4,0.834677419,175.38,1,83.47,0.971774194,0.34,147.09,0.834677419
2000,8,-31.36,0.701612903,990.55,0.995967742,3.01,0.870967742,179.53,0.995967742,83.15,0.951612903,0.23,195.99,0.870967742
2000,9,-31.44,0.666666667,995.14,1,3.3,0.8375,184.07,1,81.67,0.95,0.12,134.97,0.8375
