Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,2,-16.96,0.665178571,974.33,0.959821429,4.02,0.950892857,215.66,0.959821429,80.47,0.9375,2.82,232.33,0.950892857
2005,3,-28.64,0.782258065,979.44,1,5.06,0.967741935,241.04,1,83.85,0.995967742,3.96,242.83,0.967741935
2005,4,-35.93,0.733333333,977.04,1,4.74,0.929166667,232.53,0.966666667,79.57,1,3.15,235.8,0.929166667
2005,5,-32.09,0.717741935,977.16,1,5.25,0.891129032,235.19,1,84.02,0.967741935,3.61,226.18,0.891129032
2005,6,-37.97,0.7375,987.17,1,5.38,0.820833333,231.1,0.883333333,75.05,0.933333333,3.25,227.74,0.820833333
2005,7,-35.11,0.822580645,978.95,1,5.05,0.879032258,243.38,0.927419355,80.39,0.963709677,3.75,239.99,0.879032258
2005,8,-39.03,0.774193548,975.97,1,5.23,0.794354839,252.89,0.850806452,73.08,0.971774194,3.82,245.89,0.794354839
2005,9,-36.93,0.754166667,975.04,1,5.56,0.754166667,257.71,0.825,77.55,0.991666667,4.16,254.16,0.754166667
2005,10,-25.47,0.741935484,966.98,1,7.78,0.786290323,230.31,0.907258065,84.02,0.951612903,5.75,228.69,0.786290323
2005,11,-15.4,0.825,974.07,1,5.04,0.970833333,219.91,1,75.77,0.975,3.35,220.92,0.970833333
2005,12,-6.02,0.806451613,988.36,1,4.64,0.987903226,186.68,1,80.02,0.951612903,2.6,192.19,0.987903226
2006,1,-8.24,0.766129032,979.2,1,4.43,0.971774194,207.25,0.991935484,76.59,0.919354839,2.8,211.06,0.971774194
2006,2,-13.53,0.75,979.76,1,4.46,0.973214286,230.45,0.982142857,84.97,0.767857143,1.42,271.02,0.955357143
2006,3,-28.13,0.830645161,981.78,1,4.32,0.927419355,246.18,1,85.16,0.983870968,2.7,248.62,0.927419355
2006,4,-38.2,0.766666667,983.22,1,4.04,0.8625,246.44,0.8875,74.49,0.958333333,2.85,252.02,0.8625
