Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-10.41,0.620967742,870.88,0.870967742,5.12,0.778225806,125.47,0.870967742,73.83,0.870967742,3.13,80.76,0.778225806
2010,2,-8.97,0.825892857,866.3,0.986607143,5.34,0.825892857,84.27,0.982142857,76.46,0.986607143,4.38,35.09,0.825892857
2010,3,-11.28,0.822580645,859.51,0.842741935,7.34,0.612903226,84.05,0.834677419,76.73,0.842741935,6.13,33.81,0.612903226
2010,4,-17.31,0.941666667,852.26,0.9875,8.64,0.708333333,63.15,0.975,73.03,0.9875,7.73,33.18,0.708333333
2010,5,-21.21,0.745967742,851.76,0.786290323,7.65,0.580645161,66.76,0.774193548,69.93,0.786290323,6.54,39.82,0.580645161
2010,6,-25.28,0.9125,843.86,0.95,7.87,0.720833333,73.69,0.9375,73.15,0.95,7.03,32.18,0.720833333
2010,7,-30.18,0.919354839,835.89,0.971774194,8.35,0.705645161,80.08,0.943548387,71.27,0.971774194,7.16,33,0.705645161
2010,8,-27.78,0.834677419,840.12,0.919354839,8.17,0.608870968,81.27,0.870967742,67.53,0.919354839,6.46,52.67,0.608870968
2010,9,-23.4,0.883333333,849.22,0.9625,7.1,0.754166667,71.03,0.9625,65.45,0.9625,5.81,44.95,0.754166667
2010,10,-20,0.919354839,844.53,1,5.16,0.826612903,81.29,0.991935484,67.61,1,4.13,47.02,0.826612903
2010,11,-16.41,0.9625,846.37,0.991666667,6.2,0.829166667,78,0.991666667,68.58,0.991666667,5.21,37.45,0.829166667
2010,12,-11.26,0.443548387,862.25,0.487903226,6.45,0.423387097,83.35,0.487903226,69.39,0.487903226,4.95,44.26,0.423387097
2011,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
