Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,1,NA,0.068548387,NA,0.092741935,NA,0.092741935,NA,0.092741935,NA,0,NA,NA,0.092741935
1986,2,-36.5,0.901785714,694.34,1,4.52,0.977678571,81.27,0.986607143,NA,0,3.71,33.74,0.977678571
1986,3,-53.93,0.858870968,684.79,0.931451613,4.17,0.899193548,99.99,0.903225806,NA,0,2.95,37.37,0.899193548
1986,4,-55.47,0.879166667,681.58,1,4.08,0.975,110.54,0.991666667,NA,0,3.04,21.54,0.975
1986,5,-62.55,0.967741935,685.3,0.97983871,4.5,0.987903226,89.87,0.987903226,NA,0,3.7,76.79,0.987903226
1986,6,-64.36,0.858333333,680.99,0.970833333,3.26,0.954166667,86.69,0.954166667,NA,0,2.47,72.9,0.954166667
1986,7,-61.03,0.89516129,674.99,0.975806452,4.46,0.967741935,105.39,0.971774194,NA,0,3.15,46.84,0.967741935
1986,8,-59.87,0.883064516,673.23,0.963709677,5.42,0.955645161,69.03,0.955645161,NA,0,4.65,33.08,0.955645161
1986,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,10,-52.72,0.887096774,674.2,0.899193548,4.62,0.89516129,75.6,0.887096774,NA,0,3.68,46.73,0.883064516
1986,11,-39.05,0.970833333,677.79,0.991666667,4.03,0.9625,101.07,0.9625,NA,0,3.23,29.1,0.9625
1986,12,-29.32,0.830645161,686.14,0.947580645,3.61,0.927419355,80.62,0.927419355,NA,0,2.99,42.42,0.927419355
1987,1,-27.4,0.762096774,696.79,1,3.13,0.951612903,81,0.955645161,NA,0,2.48,43.77,0.951612903
1987,2,-42.12,0.8125,684.67,0.991071429,3.32,0.946428571,110.7,0.977678571,NA,0,2.45,43.63,0.946428571
1987,3,-52.24,0.919354839,682.72,0.983870968,4.62,0.955645161,75.48,0.97983871,NA,0,3.82,43.19,0.955645161
1987,4,-60.14,0.933333333,681.53,0.983333333,4,0.954166667,88.98,0.958333333,NA,0,3.22,60.86,0.954166667
1987,5,-60.38,0.915322581,681.35,0.97983871,3.99,0.971774194,94,0.971774194,NA,0,2.75,47.02,0.971774194
1987,6,-59,0.875,683.57,0.995833333,4.4,0.9625,80.55,0.991666667,NA,0,3.65,56.45,0.9625
1987,7,-64.46,0.721774194,681.34,0.77016129,4.1,0.733870968,109.66,0.758064516,NA,0,3.21,89.99,0.733870968
1987,8,NA,0.153225806,NA,0.173387097,NA,0.169354839,NA,0.169354839,NA,0,NA,NA,0.169354839
1987,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,10,-53.62,0.794354839,675.37,0.798387097,3.19,0.77016129,123.86,0.774193548,NA,0,1.6,54.57,0.77016129
1987,11,-41.51,0.979166667,679.36,0.995833333,3.16,0.975,81.15,0.975,NA,0,2.68,66.19,0.975
1987,12,-29.31,0.544354839,687.68,0.943548387,2.42,0.858870968,101.05,0.858870968,NA,0,1.71,67.98,0.858870968
1988,1,-28.19,0.818548387,691.05,0.987903226,3.72,0.947580645,119.05,0.955645161,NA,0,2.8,22.09,0.947580645
1988,2,-43.15,0.762931034,681.77,0.987068966,3.5,0.943965517,78.12,0.935344828,NA,0,2.99,64.27,0.931034483
1988,3,-50.56,0.830645161,683.07,0.971774194,4.52,0.959677419,80.06,0.967741935,NA,0,3.83,43.24,0.959677419
1988,4,-60.33,0.904166667,681.35,0.954166667,3.82,0.941666667,89.59,0.95,NA,0,2.96,60.48,0.941666667
1988,5,-62.72,0.887096774,683.44,0.991935484,3.48,0.987903226,103.2,0.987903226,NA,0,2.54,76.8,0.987903226
