Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-9.05,0.508064516,879.4,0.556451613,5.76,0.516129032,88.79,0.556451613,70.34,0.556451613,5.15,83.6,0.516129032
2010,2,-16.04,0.839285714,877.83,1,6.53,0.848214286,82,0.982142857,68.88,1,5.64,75.46,0.848214286
2010,3,-21.22,0.899193548,871.34,0.919354839,8.7,0.786290323,95.37,0.919354839,70.42,0.919354839,8.12,90.55,0.786290323
2010,4,-25.22,0.820833333,868.31,0.875,8.82,0.7625,97.73,0.858333333,70.86,0.875,8.03,96.4,0.7625
2010,5,-25.57,0.709677419,869.12,0.75,8.27,0.572580645,88.07,0.669354839,72.24,0.75,7.14,88.42,0.572580645
2010,6,-27.2,0.858333333,867.28,0.879166667,8.4,0.795833333,95.5,0.858333333,68.88,0.879166667,7.73,90.36,0.795833333
2010,7,-29.57,0.846774194,860.41,0.907258065,8.11,0.705645161,91.35,0.850806452,70.18,0.907258065,7,72.01,0.705645161
2010,8,-26.64,0.60483871,868.07,0.64516129,8.91,0.552419355,90.52,0.633064516,59.93,0.64516129,8.02,86.51,0.552419355
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0.133064516,NA,0.165322581,NA,0.149193548,NA,0.165322581,NA,0.165322581,NA,NA,0.149193548
2011,1,-11.51,0.75,877.04,1,4.99,0.846774194,99.87,1,72.9,1,3.99,60.84,0.846774194
2011,2,-15.09,0.924107143,873.23,1,7.08,0.772321429,93.69,0.973214286,71.5,1,6.29,78.94,0.772321429
2011,3,-24.93,0.975806452,875.1,0.995967742,5.64,0.850806452,88.29,0.991935484,74.6,0.995967742,4.9,72.89,0.850806452
2011,4,-24.54,0.954166667,873.54,1,7.98,0.841666667,87.48,0.9875,73.26,1,7.08,88.81,0.841666667
2011,5,-25.65,0.927419355,869.4,1,5.87,0.850806452,92.28,0.97983871,63.69,1,4.98,79.8,0.850806452
2011,6,-27.28,0.558333333,869.27,0.658333333,9.71,0.5375,111.02,0.654166667,59.18,0.658333333,8.75,92.03,0.5375
2011,7,-25.63,0.560483871,876.47,0.596774194,5.07,0.495967742,94,0.592741935,66.22,0.596774194,4.21,73.88,0.495967742
2011,8,-27.62,0.842741935,877.14,0.923387097,7.79,0.504032258,105.13,0.721774194,68.44,0.923387097,6.72,87.78,0.504032258
2011,9,-30.79,0.695833333,871.78,0.758333333,7.42,0.5875,85.49,0.741666667,65.45,0.758333333,6.11,85.86,0.5875
2011,10,-24.04,0.866935484,871.24,0.891129032,8.45,0.762096774,93,0.891129032,63.94,0.891129032,7.76,96.05,0.762096774
2011,11,-14.81,0.983333333,875.34,0.991666667,7.9,0.85,87.93,0.991666667,68.95,0.991666667,7,84.86,0.85
2011,12,-11.42,0.810483871,867.99,1,5.63,0.858870968,99.56,1,63.8,1,4.45,78.54,0.858870968
2012,1,-13.05,0.891129032,866.76,1,7.37,0.907258065,89.51,1,76.12,1,6.39,70.41,0.907258065
2012,2,-14.83,0.939655172,871.89,1,9.06,0.879310345,94.22,1,69.57,1,8.18,91.18,0.879310345
2012,3,-21.19,0.943548387,871.5,1,7.03,0.842741935,94.13,0.983870968,64.91,1,6.22,83.37,0.842741935
2012,4,-26.93,0.95,872.94,1,5.3,0.841666667,87.45,0.9875,57.72,1,4.5,67.82,0.841666667
2012,5,-26.49,0.625,878.27,0.669354839,6.15,0.532258065,92.08,0.669354839,54.86,0.669354839,5.12,78.77,0.532258065
2012,6,-24.54,0.533333333,873.68,0.566666667,12.55,0.479166667,93.95,0.554166667,66.49,0.566666667,12.01,95.42,0.479166667
2012,7,-30.15,0.89516129,869.34,0.919354839,7.55,0.822580645,87.59,0.919354839,64.92,0.919354839,6.65,73.19,0.822580645
2012,8,-30.04,0.858870968,868.79,0.899193548,6.45,0.733870968,89.61,0.883064516,60.17,0.899193548,5.63,82.38,0.733870968
2012,9,-26.99,0.766666667,869.04,0.808333333,8.08,0.6625,87.8,0.795833333,69.34,0.808333333,7.45,88.34,0.6625
2012,10,-22.3,0.955645161,864.37,1,9.84,0.782258065,96.67,0.991935484,67.07,1,8.87,87.74,0.782258065
2012,11,-15.74,0.9875,874.62,1,7.83,0.770833333,84.86,1,70.06,1,6.74,79.23,0.770833333
2012,12,-11.08,0.701612903,877.76,1,4.5,0.858870968,109.31,1,69.41,1,3.75,62.62,0.858870968
2013,1,-10.96,0.822580645,875.23,1,5.53,0.923387097,90.81,1,73.49,1,4.55,62.38,0.923387097
