Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1983,1,NA,0.225806452,NA,0.245967742,NA,0.209677419,NA,0.193548387,NA,0,NA,NA,0.169354839
1983,2,-15.43,0.924107143,811.06,0.995535714,12.57,0.959821429,144.25,0.928571429,NA,0,11.67,143.85,0.892857143
1983,3,-25.82,0.72983871,801.12,0.818548387,11.42,0.786290323,164.23,0.77016129,NA,0,11.03,164.59,0.737903226
1983,4,-28.25,0.441666667,802.53,0.4375,14.73,0.408333333,163.55,0.404166667,NA,0,13.82,159.82,0.366666667
1983,5,-28.39,0.919354839,807.67,0.923387097,14.06,0.866935484,167.89,0.850806452,NA,0,13.3,166.71,0.802419355
1983,6,-26.61,0.791666667,806.14,0.85,11.33,0.766666667,163.41,0.729166667,NA,0,10.16,161.58,0.675
1983,7,-35.25,0.39516129,798.67,0.411290323,14.25,0.375,162.44,0.358870968,NA,0,13.28,161.14,0.326612903
1983,8,-31.76,0.786290323,800.92,0.814516129,12.78,0.754032258,162.9,0.745967742,NA,0,11.98,162.15,0.689516129
1983,9,-25.95,0.5625,803.48,0.566666667,13.96,0.5125,155.99,0.575,NA,0,12.65,155.73,0.4875
1983,10,-29.91,0.576612903,792.59,0.741935484,11.07,0.717741935,161.07,0.713709677,NA,0,10.48,161.07,0.693548387
1983,11,-20.54,0.704166667,802.17,0.966666667,9.66,0.870833333,156.72,0.9,NA,0,9,151.68,0.7875
1983,12,-15.89,0.358870968,806.42,0.427419355,9.96,0.358870968,142,0.411290323,NA,0,9.57,142.23,0.346774194
1984,1,-12.49,0.584677419,820.04,0.673387097,8.87,0.653225806,134.71,0.673387097,NA,0,8.45,135.11,0.653225806
1984,2,-18.22,0.857758621,810.01,1,11.24,0.922413793,141.48,1,NA,0,10.84,139.85,0.922413793
1984,3,-21.29,0.939516129,806.7,0.991935484,11.08,0.858870968,149.1,0.991935484,NA,0,10.15,146.46,0.858870968
1984,4,-30.26,0.970833333,804.06,0.9875,11.96,0.891666667,163.22,0.975,NA,0,11.72,163.86,0.879166667
1984,5,-27.03,0.967741935,811.87,1,11.04,0.927419355,154.3,1,NA,0,10.47,154.54,0.927419355
1984,6,-33.82,0.916666667,800.56,0.941666667,12.34,0.908333333,160.24,0.929166667,NA,0,11.84,158.57,0.895833333
1984,7,-33.86,0.951612903,802.24,0.97983871,11.98,0.931451613,166.21,0.967741935,NA,0,11.07,161.82,0.923387097
1984,8,-27.78,0.927419355,810.52,0.987903226,12.05,0.887096774,153.09,0.983870968,NA,0,11.04,151.45,0.887096774
1984,9,-28.82,0.879166667,798.35,0.958333333,11.57,0.829166667,148.75,0.958333333,NA,0,10.54,147.5,0.829166667
1984,10,-27.14,0.721774194,797.46,0.97983871,9.14,0.927419355,159.91,0.971774194,NA,0,8.4,156.8,0.927419355
1984,11,-22.46,0.645833333,803.43,0.979166667,9.09,0.958333333,154.95,0.979166667,NA,0,8.78,154.46,0.958333333
1984,12,-13.37,0.745967742,819.11,0.943548387,7.81,0.911290323,148.49,0.939516129,NA,0,7.01,143.46,0.911290323
1985,1,-12.96,0.834677419,817.94,0.987903226,8.61,0.943548387,132.02,0.959677419,NA,0,8.08,135.7,0.943548387
1985,2,-18.06,0.834821429,807.07,0.991071429,10.56,0.933035714,138.81,0.973214286,NA,0,10,139.58,0.933035714
1985,3,-23.86,0.947580645,807.66,1,10.62,0.971774194,153.17,0.995967742,NA,0,10.19,152.33,0.971774194
1985,4,-29.33,0.833333333,806.62,0.8625,10.49,0.833333333,158.57,0.866666667,NA,0,9.86,157.48,0.833333333
1985,5,-32.4,0.826612903,802.08,0.85483871,11.64,0.766129032,151.52,0.806451613,NA,0,11.28,152.61,0.721774194
1985,6,NA,0.245833333,799.85,0.258333333,NA,0.245833333,163.81,0.258333333,NA,0,NA,NA,0.245833333
1985,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,11,NA,0.079166667,NA,0.116666667,NA,0.108333333,NA,0.116666667,NA,0,NA,NA,0.108333333
1985,12,-15.41,0.709677419,808.21,0.963709677,7.72,0.887096774,148.39,0.963709677,NA,0,6.59,145.72,0.887096774
1986,1,-13.71,0.685483871,812.09,0.939516129,7.49,0.899193548,135.65,0.919354839,NA,0,6.65,136.32,0.899193548
1986,2,-14.53,0.959821429,821.75,0.995535714,12.35,0.964285714,143.54,0.995535714,NA,0,11.85,140.88,0.964285714
1986,3,-20.56,0.866935484,809.59,0.923387097,12.24,0.830645161,155.64,0.923387097,NA,0,11.25,147.83,0.830645161
1986,4,-27.75,0.945833333,802.25,0.991666667,12.16,0.916666667,150.83,0.858333333,NA,0,10.51,152.53,0.791666667
