Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,1,NA,0.173387097,581.6,0.387096774,NA,0.169354839,180.89,0.298387097,36.32,0.350806452,NA,NA,0.116935484
2005,2,-42.51,0.361607143,575.86,0.9375,2.06,0.665178571,230.77,0.290178571,46.44,0.897321429,NA,NA,0.084821429
2005,3,-53.11,0.685483871,575.14,0.883064516,1.96,0.931451613,NA,0,47.94,0.987903226,NA,NA,0
2005,4,-61.16,0.858333333,568.44,0.6,2.03,0.641666667,NA,0,39.08,0.9875,NA,NA,0
2005,5,-59.69,0.834677419,572.25,0.600806452,NA,0.197580645,NA,0,40.93,0.955645161,NA,NA,0
2005,6,-59.61,0.7375,578.06,0.645833333,NA,0,NA,0,40.41,0.904166667,NA,NA,0
2005,7,-61.74,0.85483871,567.66,0.709677419,2.21,0.548387097,NA,0,37.64,0.971774194,NA,NA,0
2005,8,-66.08,0.822580645,563.47,0.608870968,2.63,0.483870968,NA,0,34.33,0.991935484,NA,NA,0
2005,9,-60.21,0.704166667,568.85,0.595833333,5.41,0.266666667,NA,0,39.36,0.945833333,NA,NA,0
2005,10,-51.25,0.556451613,570.57,0.850806452,2.87,0.830645161,NA,0.185483871,46.39,0.991935484,NA,NA,0.185483871
2005,11,-39.22,0.6,575.69,0.970833333,3.38,0.954166667,180,0.404166667,46.49,0.9625,1.06,192.61,0.404166667
2005,12,-31.05,0.637096774,592,0.991935484,3.33,0.971774194,192.6,0.931451613,44.62,0.903225806,0.73,190.04,0.911290323
2006,1,-33.48,0.411290323,583.14,0.975806452,2.49,0.963709677,154.47,0.887096774,42.4,0.915322581,0.93,62.84,0.875
2006,2,-43.6,0.522321429,576.23,0.991071429,2.57,0.964285714,134.59,0.330357143,49.24,0.928571429,1.33,51.74,0.325892857
2006,3,-56.38,0.802419355,573.48,0.818548387,2.04,0.891129032,NA,0,44.17,1,NA,NA,0
2006,4,-59.13,0.85,573.7,0.620833333,2.52,0.8375,NA,0,40.2,0.991666667,NA,NA,0
2006,5,-61.74,0.875,567.02,0.560483871,NA,0.125,NA,0,38.21,1,NA,NA,0
2006,6,-58.99,0.829166667,573.02,0.641666667,NA,0,NA,0,41.28,0.954166667,NA,NA,0
2006,7,-61.85,0.870967742,564,0.608870968,2.24,0.592741935,NA,0,36.72,0.995967742,NA,NA,0
2006,8,-59.22,0.846774194,578.91,0.697580645,NA,0,NA,0,39.89,1,NA,NA,0
2006,9,-61.34,0.820833333,569.76,0.670833333,NA,0,NA,0,37.87,0.983333333,NA,NA,0
2006,10,-53.69,0.524193548,563.43,0.802419355,NA,0,NA,0,44.2,0.995967742,NA,NA,0
2006,11,-41.08,0.5125,576.03,0.983333333,3.48,0.295833333,199.15,0.325,46.52,0.966666667,1.08,164.78,0.270833333
2006,12,-34.41,0.540322581,579,0.987903226,3.04,0.97983871,203.32,0.883064516,40.73,0.967741935,0.07,255.42,0.879032258
2007,1,-34.25,0.487903226,585.73,0.97983871,2.94,0.951612903,135.37,0.883064516,44.94,0.919354839,1.3,65.06,0.866935484
2007,2,-46.64,0.379464286,575.29,0.866071429,1.99,0.883928571,194.3,0.441964286,50.17,0.830357143,0.31,354.52,0.441964286
2007,3,-54.29,0.745967742,574.26,0.887096774,2.43,0.935483871,NA,0,47.01,1,NA,NA,0
2007,4,-54.7,0.8125,576.15,0.833333333,NA,0.208333333,NA,0,46.63,0.995833333,NA,NA,0
2007,5,-57.34,0.814516129,581.46,0.806451613,1.88,0.564516129,NA,0,44.21,0.995967742,NA,NA,0
2007,6,-57.85,0.808333333,580.12,0.75,1.89,0.383333333,NA,0,42.49,0.920833333,NA,NA,0
2007,7,-59.74,0.846774194,581.41,0.629032258,NA,0,NA,0,40.59,0.987903226,NA,NA,0
2007,8,-60.78,0.879032258,570.01,0.528225806,NA,0,NA,0,39.44,1,NA,NA,0
2007,9,-62.19,0.716666667,569.25,0.645833333,NA,0,NA,0,37.25,0.9875,NA,NA,0
2007,10,-54,0.435483871,573.39,0.810483871,NA,0,NA,0,47.18,0.987903226,NA,NA,0
2007,11,-42.04,0.5125,575.67,0.945833333,2.81,0.254166667,219.63,0.6125,49.97,0.933333333,NA,NA,0.2125
2007,12,-33.3,0.423387097,578.1,0.987903226,2.22,0.97983871,195.24,0.919354839,38.35,0.959677419,0.41,206.03,0.911290323
2008,1,-35.48,0.504032258,577.53,0.995967742,2.85,0.967741935,125.89,0.915322581,42.12,0.987903226,1.63,45.03,0.887096774
2008,2,-48.07,0.461206897,572.96,0.965517241,3.12,0.961206897,217.23,0.379310345,46.1,0.952586207,0.8,207.56,0.375
2008,3,-52.92,0.685483871,575.47,0.858870968,2.62,0.903225806,NA,0.225806452,48.03,0.959677419,NA,NA,0.213709677
2008,4,-57.74,0.816666667,576,0.666666667,2.57,0.495833333,NA,0.05,42.21,0.945833333,NA,NA,0.05
2008,5,-60.43,0.794354839,573.69,0.600806452,NA,0.161290323,NA,0,41.2,0.983870968,NA,NA,0
2008,6,-62.65,0.8625,566.69,0.554166667,2.14,0.370833333,NA,0,37,0.983333333,NA,NA,0
2008,7,-60.22,0.862903226,572.86,0.620967742,NA,0,NA,0,38.57,0.955645161,NA,NA,0
2008,8,-66.97,0.822580645,562.72,0.649193548,NA,0,NA,0,33.73,0.967741935,NA,NA,0
2008,9,-62.84,0.65,566.7,0.583333333,NA,0,NA,0,36.52,0.983333333,NA,NA,0
2008,10,-52.59,0.52016129,564.5,0.85483871,1.76,0.274193548,NA,0.068548387,42.83,1,NA,NA,0.068548387
2008,11,-39.83,0.5125,573.25,0.941666667,3.1,0.933333333,188.93,0.520833333,47.26,0.933333333,0.52,129.57,0.5125
2008,12,-31.34,0.467741935,582.7,0.951612903,2.7,0.915322581,175.17,0.866935484,41.72,0.907258065,0.28,68.11,0.838709677
2009,1,-30.44,0.467741935,582.98,0.987903226,2.82,0.975806452,180.86,0.927419355,44.76,0.943548387,0.66,217.52,0.915322581
2009,2,-41.59,0.544642857,577.96,0.991071429,3.32,0.96875,231.63,0.928571429,52.18,0.991071429,0.87,330.05,0.897321429
2009,3,-53.88,0.733870968,572.14,0.875,2.36,0.911290323,192.62,0.387096774,47.69,0.975806452,0.77,235.24,0.383064516
2009,4,-62.25,0.879166667,571.39,0.558333333,NA,0.175,NA,0.033333333,38.15,0.966666667,NA,NA,0.033333333
2009,5,-58.83,0.802419355,578.64,0.693548387,3.28,0.383064516,NA,0.068548387,41.98,0.951612903,NA,NA,0.060483871
2009,6,-59.89,0.766666667,580.05,0.679166667,2.31,0.608333333,NA,0.0125,41.51,0.995833333,NA,NA,0.008333333
2009,7,-57.7,0.850806452,574.83,0.693548387,2.45,0.366935484,NA,0.040322581,41.7,0.987903226,NA,NA,0.036290323
2009,8,-63.41,0.794354839,569.96,0.495967742,NA,0.004032258,NA,0.012096774,37.61,0.983870968,NA,NA,0.004032258
2009,9,-60.53,0.641666667,570.83,0.616666667,NA,0.025,NA,0.029166667,40.01,0.966666667,NA,NA,0.025
2009,10,-51.92,0.431451613,570.02,0.875,NA,0.245967742,NA,0.108870968,48.67,0.971774194,NA,NA,0.068548387
2009,11,-39.43,0.541666667,580.97,0.991666667,2.51,0.504166667,155.57,0.579166667,54.27,0.975,1.43,84.76,0.304166667
2009,12,-34.09,0.483870968,579.92,1,2.48,0.983870968,183.36,0.97983871,39.67,0.987903226,0.8,145.44,0.963709677
2010,1,-30.76,0.431451613,590.34,0.995967742,2.23,0.975806452,181.46,0.975806452,43.93,0.947580645,1.11,184.14,0.955645161
2010,2,-43.21,0.316964286,581.55,0.964285714,2.57,0.982142857,153.98,0.888392857,49.13,0.959821429,1.12,131.05,0.883928571
2010,3,-54.22,0.620967742,576.15,0.842741935,2.78,0.903225806,NA,0.129032258,45.79,0.939516129,NA,NA,0.129032258
2010,4,-63.14,0.829166667,567.6,0.441666667,NA,0.045833333,NA,0,36.75,0.975,NA,NA,0
2010,5,-62.7,0.870967742,573.32,0.504032258,NA,0,NA,0,37.41,0.991935484,NA,NA,0
2010,6,-62.9,0.775,564.18,0.604166667,3.01,0.679166667,NA,0,37.11,0.970833333,NA,NA,0
2010,7,-65.98,0.850806452,558.83,0.649193548,2.46,0.97983871,NA,0,33.44,0.995967742,NA,NA,0
2010,8,-67.19,0.834677419,559.16,0.600806452,3.04,0.633064516,NA,0,31.71,0.975806452,NA,NA,0
2010,9,-60.79,0.7625,568.31,0.616666667,NA,0.070833333,NA,0,39.03,0.9875,NA,NA,0
2010,10,-52.72,0.508064516,567.94,0.862903226,2.99,0.955645161,NA,0.048387097,46.31,0.983870968,NA,NA,0.040322581
2010,11,-41.06,0.495833333,571.54,0.983333333,3.23,0.758333333,178.01,0.716666667,41.13,0.983333333,1.31,152.71,0.554166667
2010,12,-34.37,0.552419355,585.71,0.987903226,3.5,0.927419355,132.94,0.903225806,41.51,0.967741935,2.07,93.5,0.85483871
2011,1,NA,0.245967742,587.1,1,1.91,0.975806452,193.37,0.951612903,42.3,0.955645161,0.51,175.29,0.927419355
2011,2,-44.06,0.464285714,579.27,0.973214286,3.27,0.959821429,144.17,0.959821429,48.89,0.946428571,1.83,115.63,0.946428571
2011,3,-54.43,0.681451613,575.18,0.802419355,2.25,0.879032258,NA,0.008064516,45.82,0.89516129,NA,NA,0.008064516
2011,4,-57.27,0.8625,573.14,0.745833333,1.5,0.470833333,NA,0,43.67,0.995833333,NA,NA,0
2011,5,-61.98,0.834677419,568.56,0.548387097,NA,0.02016129,NA,0,39.52,0.967741935,NA,NA,0
2011,6,-62.17,0.858333333,572.32,0.583333333,NA,0.025,NA,0,37.42,0.970833333,NA,NA,0
