Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,1,NA,0.100806452,NA,0,NA,0.120967742,NA,0.120967742,NA,0.120967742,NA,NA,0.120967742
1986,2,-12.91,0.75,NA,0,3.78,0.879464286,182.03,0.973214286,61.02,1,2.9,178.21,0.879464286
1986,3,-24.28,0.762096774,NA,0,5.4,0.778225806,185.51,0.866935484,68.52,0.935483871,4.12,170.06,0.778225806
1986,4,-24.97,0.8125,NA,0,6.33,0.779166667,176.64,0.979166667,70.75,1,4.87,156.59,0.779166667
1986,5,-27.67,0.782258065,NA,0,5.52,0.858870968,189.52,0.959677419,68.44,1,4.37,175.63,0.838709677
1986,6,-32,0.775,NA,0,6.36,0.820833333,188.83,0.95,65.53,0.991666667,4.3,158.65,0.795833333
1986,7,-34.22,0.669354839,NA,0,4.95,0.713709677,186.63,0.887096774,63.93,0.995967742,3.55,171.01,0.713709677
1986,8,-36.93,0.689516129,NA,0,4.68,0.741935484,205.27,0.903225806,60,0.995967742,2.19,183.47,0.72983871
1986,9,-46.28,0.725,NA,0,3.45,0.258333333,182.54,0.254166667,52.46,1,NA,NA,0.220833333
1986,10,-25.28,0.72983871,NA,0,4.98,0.596774194,170.99,0.818548387,59.92,1,3.33,164.56,0.596774194
1986,11,-15.64,0.920833333,NA,0,5.03,0.833333333,190.59,0.95,62.52,0.9875,3.32,164.4,0.833333333
1986,12,-8.14,0.794354839,NA,0,4.12,0.875,204.66,0.927419355,60.11,0.943548387,2.15,170.21,0.875
1987,1,-5.43,0.850806452,NA,0,4.15,0.935483871,184.73,0.971774194,59.62,0.995967742,3.15,167.89,0.935483871
1987,2,-18.66,0.714285714,NA,0,3.94,0.897321429,195.01,0.9375,65.93,0.995535714,1.94,159.98,0.897321429
1987,3,-31.88,0.754032258,NA,0,3.52,0.794354839,203.32,0.838709677,61.95,0.983870968,1.45,176.32,0.790322581
1987,4,-34.85,0.720833333,NA,0,4.12,0.683333333,189.11,0.745833333,62.07,1,2.82,172.52,0.675
1987,5,-28.07,0.745967742,NA,0,5.61,0.661290323,168.4,0.846774194,67.38,0.995967742,4.41,167.51,0.661290323
1987,6,-26.77,0.816666667,NA,0,5.21,0.783333333,178.15,0.983333333,67.42,1,3.88,175.74,0.783333333
1987,7,-32.94,0.620967742,NA,0,5.07,0.786290323,191,0.903225806,61.55,0.923387097,3.47,179.88,0.786290323
1987,8,-36.65,0.826612903,NA,0,4.63,0.778225806,188.41,0.923387097,63.32,0.995967742,2.51,176.83,0.778225806
1987,9,-34.97,0.808333333,NA,0,4.73,0.7125,187.33,0.9,64.14,0.991666667,3.15,171.9,0.7125
1987,10,-25.13,0.689516129,NA,0,3.87,0.741935484,194.44,0.89516129,59.02,1,2.69,195.7,0.741935484
1987,11,-17.25,0.866666667,NA,0,3.33,0.875,201.26,0.895833333,51.28,0.995833333,1.95,176.6,0.875
1987,12,-7.6,0.754032258,NA,0,4.23,0.866935484,177.81,0.903225806,60.37,0.947580645,3.08,162.84,0.866935484
1988,1,-8.13,0.754032258,NA,0,3.75,0.875,193.31,0.955645161,NA,0,1.79,178.24,0.875
1988,2,-16.63,0.655172414,NA,0,3.79,0.86637931,205.19,0.931034483,NA,0,1.78,170.9,0.853448276
1988,3,-28.47,0.762096774,NA,0,4.37,0.858870968,200.93,0.967741935,NA,0,2.42,183.33,0.858870968
1988,4,-30.11,0.754166667,NA,0,4.51,0.625,194.65,0.7125,NA,0,3.54,189.54,0.6
1988,5,-27.86,0.741935484,NA,0,4.59,0.842741935,182.17,0.983870968,NA,0,3.55,181.14,0.842741935
1988,6,-32.9,0.733333333,NA,0,4.91,0.8,185.05,0.920833333,NA,0,3.76,170.77,0.8
1988,7,-32.42,0.717741935,NA,0,4.28,0.709677419,179.42,0.951612903,NA,0,2.93,176.92,0.709677419
1988,8,-23.16,0.766129032,NA,0,7.63,0.532258065,167.15,0.858870968,NA,0,5.98,157.94,0.532258065
1988,9,-29.25,0.4125,NA,0,5.32,0.429166667,169.23,0.541666667,NA,0,3.68,159.42,0.429166667
1988,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
