Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2004,2,-19.26,0.469827586,NA,0,3.37,0.836206897,195.12,0.862068966,74.17,0.918103448,2.11,207.59,0.836206897
2004,3,-29.72,0.556451613,NA,0,3.1,0.592741935,222.77,0.60483871,73.19,0.661290323,2.39,213.48,0.592741935
2004,4,-28.6,0.266666667,NA,0,5.7,0.3,215.22,0.308333333,80.78,0.304166667,4.38,217.96,0.3
2004,5,NA,0.096774194,NA,0,NA,0.080645161,NA,0.096774194,NA,0.10483871,NA,NA,0.080645161
2004,6,NA,0.0875,NA,0,NA,0.0875,NA,0.0875,NA,0.079166667,NA,NA,0.0875
2004,7,NA,0.22983871,NA,0,NA,0.213709677,NA,0.217741935,NA,0.241935484,NA,NA,0.213709677
2004,8,NA,0.225806452,NA,0,NA,0.213709677,NA,0.237903226,62.66,0.25,NA,NA,0.213709677
2004,9,NA,0.133333333,NA,0,NA,0.145833333,NA,0.145833333,NA,0.1625,NA,NA,0.145833333
2004,10,-29.34,0.516129032,NA,0,5.74,0.475806452,211.77,0.504032258,70.11,0.657258065,5.29,206.5,0.475806452
2004,11,-15.64,0.829166667,NA,0,5.89,0.9,215.42,0.9375,72.03,0.995833333,5.38,206.54,0.8875
2004,12,-7.71,0.633064516,NA,0,3.07,0.915322581,182.03,0.927419355,69.87,0.991935484,2.15,193.87,0.915322581
2005,1,-6.66,0.721774194,NA,0,4,0.927419355,189.8,0.947580645,76.79,0.987903226,2.84,186.76,0.927419355
2005,2,-16.82,0.683035714,NA,0,4.33,0.973214286,199.32,0.991071429,76.76,0.991071429,3.09,212.03,0.973214286
2005,3,-28.13,0.758064516,NA,0,5.32,0.903225806,217.4,0.987903226,76.13,1,4.62,213.11,0.903225806
2005,4,-34.25,0.7,NA,0,5.33,0.879166667,231.34,0.9625,75.6,1,4.28,224.06,0.879166667
2005,5,-30.24,0.794354839,NA,0,7.43,0.89516129,211.06,0.995967742,80.75,1,6.48,212.51,0.89516129
2005,6,-35.14,0.795833333,NA,0,6.79,0.729166667,203.6,0.841666667,74.29,0.991666667,5.35,210.56,0.729166667
2005,7,-34.42,0.842741935,NA,0,6.39,0.810483871,217.04,0.866935484,75.45,1,5.62,212.07,0.810483871
2005,8,-36.94,0.806451613,NA,0,7.65,0.52016129,214.57,0.584677419,71.9,1,7.12,210.81,0.52016129
2005,9,-35.6,0.816666667,NA,0,6.13,0.504166667,214.9,0.566666667,72.71,1,5.71,211.26,0.504166667
2005,10,-25.19,0.790322581,NA,0,7.51,0.810483871,217.76,0.919354839,75.07,1,6.48,219.58,0.810483871
2005,11,-14.79,0.858333333,NA,0,4.83,0.908333333,214.11,0.958333333,71.71,1,4.11,208.79,0.908333333
2005,12,-5.79,0.72983871,NA,0,4.01,0.951612903,207.53,0.959677419,74.47,0.995967742,3.08,201.3,0.951612903
2006,1,-8,0.657258065,NA,0,4.22,0.947580645,196.02,0.967741935,74.31,0.983870968,3.38,204.84,0.947580645
2006,2,-12.71,0.620535714,NA,0,3.93,0.9375,191.49,0.973214286,80.94,0.977678571,2.06,214.61,0.9375
2006,3,-26.7,0.846774194,NA,0,4.74,0.911290323,212.72,0.97983871,80.38,1,4.17,215.72,0.911290323
2006,4,-37.59,0.8,NA,0,4.36,0.933333333,219.71,0.991666667,71.9,1,3.53,224.04,0.933333333
2006,5,-42.12,0.778225806,NA,0,4.09,0.907258065,200.83,0.983870968,66.9,1,2.87,210.96,0.907258065
2006,6,-32.67,0.8125,NA,0,6.75,0.8875,206.91,0.966666667,78.13,0.995833333,6,206.53,0.875
2006,7,-42.47,0.77016129,NA,0,5.03,0.612903226,231.85,0.689516129,65.88,1,4.48,221.96,0.612903226
2006,8,-30.31,0.762096774,NA,0,6.79,0.782258065,209.78,0.850806452,80.88,1,6.43,208.35,0.782258065
2006,9,-31.35,0.9,NA,0,8.77,0.575,215.38,0.633333333,77.46,0.979166667,8.46,213.82,0.575
2006,10,-28.05,0.693548387,NA,0,NA,0.189516129,NA,0.217741935,72.54,1,NA,NA,0.189516129
2006,11,-15.19,0.816666667,NA,0,5.21,0.820833333,206.49,0.829166667,70.65,1,4.93,208.13,0.820833333
2006,12,-7.56,0.471774194,NA,0,2.97,0.620967742,184.04,0.649193548,69.24,0.693548387,1.35,209.22,0.620967742
2007,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,2,-13.28,0.830357143,NA,0,5.05,0.982142857,207.08,1,72.4,1,4.35,211.89,0.982142857
2007,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,12,-11.6,0.516129032,983.87,1,3.53,0.987903226,200.79,1,62.78,1,1.7,222.14,0.987903226
2009,1,-10.93,0.415322581,984.05,1,4.18,0.983870968,205.06,1,68.99,1,2.6,214.9,0.983870968
2009,2,-18.08,0.754464286,989.13,1,4.82,0.982142857,183.01,1,67.04,1,3.5,195.49,0.982142857
