Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,-5.86,0.262096774,952.91,0.322580645,5.66,0.286290323,97.15,0.322580645,77.39,0.322580645,5.07,82.56,0.286290323
2010,1,-6.26,0.737903226,963.22,0.975806452,4.22,0.899193548,117.47,0.975806452,72.97,0.975806452,3.45,85.25,0.899193548
2010,2,-9.81,0.986607143,958.35,1,8.44,0.839285714,94.34,1,70.79,1,7.95,93.2,0.839285714
2010,3,-16.26,0.915322581,950.94,1,7.27,0.77016129,124.48,1,58.99,1,6.19,108.62,0.77016129
2010,4,-16.66,0.9625,947.48,1,8.67,0.741666667,99.45,1,59.35,1,7.98,94.79,0.741666667
2010,5,-23.11,0.725806452,948.47,0.838709677,5.99,0.60483871,138.03,0.834677419,64.25,0.838709677,4.19,100.61,0.60483871
2010,6,-20.57,0.85,942.82,0.933333333,8.34,0.616666667,104.17,0.925,56.57,0.933333333,7.5,95.38,0.616666667
2010,7,-25.39,0.75,935.85,0.814516129,9.52,0.564516129,99.36,0.810483871,59.84,0.814516129,7.76,87.74,0.564516129
2010,8,-21.21,0.72983871,941.08,0.826612903,7.97,0.475806452,100.67,0.818548387,65.96,0.826612903,6.79,88.43,0.475806452
2010,9,-21.01,0.633333333,947.93,0.7125,9.33,0.491666667,102.74,0.7,59.01,0.7125,8.24,86.45,0.491666667
2010,10,-15.08,0.915322581,941.34,0.991935484,8.53,0.705645161,110.59,0.983870968,57.42,0.991935484,7.44,84.75,0.705645161
2010,11,-9.59,0.970833333,942.23,1,7.62,0.766666667,103.47,1,61.72,1,6.84,89.92,0.766666667
2010,12,-4.33,0.907258065,957.18,0.991935484,6.43,0.923387097,125.18,0.991935484,69.23,0.991935484,5.1,90.2,0.923387097
2011,1,-6.34,0.866935484,959.66,1,4.37,0.959677419,135.37,1,74.26,1,2.66,82.64,0.959677419
2011,2,-10.87,0.924107143,953.95,1,7.09,0.852678571,104.37,0.995535714,65.54,1,6.53,95.65,0.852678571
2011,3,-18.18,0.887096774,956.47,0.987903226,6.46,0.778225806,111.58,0.987903226,67.54,0.987903226,5.43,98.5,0.778225806
2011,4,-21.18,0.745833333,956.19,0.870833333,6.95,0.754166667,112.51,0.854166667,74.07,0.870833333,5.9,94.26,0.754166667
2011,5,-17.9,0.830645161,946.46,0.866935484,9.23,0.745967742,97.85,0.858870968,69.52,0.866935484,8.74,90.64,0.745967742
2011,6,-20.31,0.841666667,956.02,0.929166667,8.43,0.75,110.69,0.920833333,67.62,0.929166667,7.75,90.46,0.75
2011,7,-15.46,0.778225806,954.07,0.927419355,9.09,0.661290323,107.79,0.89516129,77.26,0.927419355,7.97,94.42,0.661290323
2011,8,-18.06,0.875,955.1,0.947580645,10.28,0.721774194,119.7,0.915322581,70.34,0.947580645,8.71,91.2,0.721774194
2011,9,-26.17,0.8,955.15,0.904166667,6.59,0.704166667,125.12,0.866666667,70.07,0.904166667,5.04,92.39,0.704166667
2011,10,-14.46,0.947580645,947.89,0.971774194,11.82,0.629032258,95.78,0.879032258,65.83,0.971774194,11.07,86.77,0.629032258
2011,11,-7.68,0.991666667,954.78,1,9.53,0.820833333,100.26,0.991666667,62.4,1,9.05,94.09,0.820833333
2011,12,-5.05,0.907258065,945.32,0.987903226,9.04,0.879032258,94.19,0.983870968,73.69,0.987903226,8.65,85.84,0.879032258
2012,1,-7.15,0.875,945.81,0.995967742,8.22,0.883064516,107.74,0.995967742,74.11,0.995967742,7.36,90.59,0.883064516
2012,2,-9.38,0.943965517,953.2,1,9.18,0.74137931,95.5,0.982758621,72.87,1,8.73,91.93,0.74137931
2012,3,-16.38,0.907258065,951.13,1,9.81,0.733870968,105.33,0.975806452,71.19,1,8.94,90.95,0.733870968
2012,4,-17.65,0.916666667,948.28,1,12.26,0.666666667,92.6,0.95,69.87,1,11.61,84.37,0.666666667
2012,5,-15.92,0.907258065,950.31,0.959677419,12.91,0.725806452,92.61,0.919354839,67.29,0.959677419,12.34,86.31,0.725806452
2012,6,-23.6,0.8875,955.35,0.966666667,9.16,0.6875,103.53,0.958333333,66.03,0.966666667,7.85,85.01,0.6875
2012,7,-22.25,0.89516129,945.68,0.983870968,11.89,0.60483871,84.6,0.963709677,62.34,0.983870968,11,74.24,0.60483871
2012,8,NA,0.209677419,NA,0.213709677,NA,0.112903226,NA,0.193548387,NA,0.213709677,NA,NA,0.112903226
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0.217741935,NA,0.221774194,NA,0.213709677,NA,0.221774194,NA,0.221774194,NA,NA,0.213709677
2013,1,-5.32,0.858870968,956.27,1,6.67,0.818548387,126.44,0.97983871,79.85,1,5.37,75.35,0.818548387
2013,2,-11.72,0.915178571,947.11,1,8.56,0.808035714,93.7,0.973214286,72.56,1,7.95,82.67,0.808035714
2013,3,-14.12,0.887096774,945.46,1,9.99,0.762096774,91.66,0.947580645,79.66,1,9.22,72.19,0.762096774
2013,4,-23.83,0.891666667,948.26,0.991666667,6.74,0.795833333,115.08,0.958333333,66.12,0.991666667,5.4,80.41,0.795833333
2013,5,-20.64,0.89516129,950.72,0.987903226,10.9,0.766129032,90.7,0.927419355,71.19,0.987903226,10,78.51,0.766129032
2013,6,-24.5,0.758333333,961.56,0.879166667,6.31,0.579166667,115.82,0.879166667,59.37,0.879166667,5.04,95.1,0.579166667
2013,7,-22.55,0.883064516,947.17,0.963709677,12.22,0.673387097,78.71,0.911290323,60.51,0.963709677,11.29,64.42,0.673387097
