Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,2,-3.86,0.410714286,927.51,0.790178571,3.13,0.669642857,224.24,0.754464286,75.91,0.790178571,1.96,264.84,0.669642857
2010,3,-12.11,0.838709677,919.66,1,2.61,0.806451613,200.3,0.971774194,79.4,1,0.86,268.6,0.806451613
2010,4,-16.77,0.754166667,917.49,1,3.65,0.666666667,214.29,0.820833333,76.61,1,1.84,271.81,0.666666667
2010,5,-16.19,0.75,915.16,1,4.27,0.725806452,227.11,0.883064516,74.21,1,3.04,266.94,0.725806452
2010,6,-11.2,0.6375,917.16,0.741666667,8.17,0.5,249.46,0.641666667,66.59,0.741666667,6.75,276.1,0.5
2010,7,-11.13,0.762096774,918.5,0.991935484,7.6,0.560483871,241.3,0.798387097,67.11,1,6.32,275.87,0.560483871
2010,8,-12.87,0.701612903,922.06,0.875,5.05,0.495967742,225.01,0.717741935,68.15,0.875,2.45,275.61,0.495967742
2010,9,-12.21,0.795833333,921.06,1,5.68,0.725,206.61,0.941666667,70.12,1,2.53,273.15,0.725
2010,10,-6.94,0.862903226,912.14,1,6.59,0.516129032,228.37,0.915322581,70.33,1,2.93,294.26,0.516129032
2010,11,-3.19,0.966666667,914.84,1,6.52,0.525,238.67,0.920833333,70.39,1,4.22,294.55,0.525
2010,12,-6.86,0.701612903,917.42,1,3.67,0.870967742,203.35,0.983870968,83.63,1,1.28,282.94,0.870967742
2011,1,-4.21,0.810483871,926.25,1,4.49,0.766129032,199.23,0.951612903,79.92,1,1.77,267.01,0.766129032
2011,2,-3.26,0.736607143,919.25,1,5.03,0.700892857,221.64,0.9375,77.13,1,2.73,277.65,0.700892857
2011,3,-11.7,0.846774194,926.62,1,5.12,0.491935484,220.39,0.649193548,79.8,1,2.27,263.32,0.491935484
2011,4,-18.81,0.741666667,921.77,1,5.37,0.5625,193.7,0.741666667,80.02,1,1.26,248.98,0.5625
2011,5,-16.79,0.798387097,920.86,1,5.08,0.685483871,205,0.883064516,75.74,1,2.23,260.41,0.685483871
2011,6,-18.53,0.820833333,924.85,1,8.14,0.308333333,235.55,0.445833333,77.5,1,5.94,267.48,0.308333333
2011,7,-19.93,0.737903226,931.25,1,3.93,0.564516129,209.32,0.838709677,70.35,1,1.93,248.25,0.564516129
2011,8,-13.01,0.790322581,933.28,1,5.9,0.733870968,229.98,0.947580645,67.52,1,4.27,265.7,0.733870968
2011,9,NA,0.191666667,NA,0.233333333,NA,0.120833333,NA,0.158333333,NA,0.233333333,NA,NA,0.120833333
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,1,-2.88,0.774193548,917.28,1,4.43,0.725806452,192.8,0.967741935,74.89,1,1.54,277.27,0.725806452
2012,2,-7.2,0.706896552,918.15,1,4.44,0.793103448,206.4,0.969827586,75.65,1,1.59,267.3,0.793103448
2012,3,-8.27,0.830645161,923.29,1,4.92,0.665322581,211.6,0.875,74.09,1,2.26,258.8,0.665322581
2012,4,-14.75,0.854166667,931.39,1,NA,0.175,241.21,0.316666667,74.69,1,NA,NA,0.175
2012,5,-15.4,0.782258065,926.67,1,4.16,0.491935484,198.72,0.649193548,76.18,1,1.19,253.99,0.491935484
2012,6,-20.41,0.783333333,912.96,1,3.46,0.708333333,189.09,0.975,75.08,1,0.56,213.02,0.708333333
2012,7,-14.43,0.834677419,921.25,1,4.35,0.77016129,194.09,0.927419355,73.82,1,1.26,269.09,0.77016129
2012,8,-18.14,0.814516129,920.09,1,4.01,0.689516129,195.62,0.883064516,77.89,1,0.86,260.8,0.689516129
2012,9,-11.84,0.7625,924.62,1,5.36,0.5625,218.73,0.775,70.95,1,2.64,273.91,0.5625
2012,10,-12.33,0.713709677,915.46,1,4.03,0.830645161,202.84,0.97983871,73.71,1,0.8,269.61,0.830645161
2012,11,-11.01,0.808333333,921.77,0.975,2.61,0.870833333,204.46,0.958333333,73.31,0.975,0.87,275.06,0.870833333
2012,12,-6.4,0.459677419,929.08,1,2.23,0.919354839,205.71,0.971774194,73.09,1,0.72,258.47,0.919354839
2013,1,-3.84,0.443548387,925.17,1,2.26,0.818548387,183.62,0.891129032,78.34,1,0.33,277.37,0.818548387
2013,2,-2.75,0.602678571,923.03,1,3.73,0.651785714,219.74,0.816964286,74.51,1,2.67,272.05,0.651785714
2013,3,-4.35,0.830645161,928.52,1,4.1,0.709677419,239.64,0.987903226,70.99,1,2.98,280.76,0.709677419
2013,4,-7.99,0.820833333,917.62,1,5.18,0.5625,240.61,0.870833333,73.29,1,3.55,291.23,0.5625
2013,5,-19.68,0.790322581,924.25,1,3.69,0.709677419,227.89,0.810483871,72.45,1,2.46,266.26,0.709677419
2013,6,-18.48,0.7625,916.26,1,4.06,0.683333333,247.3,0.841666667,72.75,1,3.01,273.64,0.683333333
2013,7,-19.63,0.766129032,921.31,1,4.58,0.47983871,236.92,0.625,74.01,1,3.16,259.34,0.47983871
2013,8,-14.93,0.701612903,923.86,0.883064516,5.89,0.322580645,260.37,0.495967742,70.02,0.883064516,4.85,285.08,0.322580645
2013,9,-10.94,0.8125,926.04,1,6.67,0.625,267.52,0.866666667,67.09,1,5.71,285.99,0.625
2013,10,-16.36,0.774193548,919.61,1,2.93,0.697580645,216.52,0.810483871,74.16,1,1.42,280.37,0.697580645
2013,11,-8.95,0.85,914.26,1,3.72,0.833333333,215.16,0.991666667,70.84,1,2.09,268.31,0.833333333
2013,12,-6.65,0.427419355,924.04,1,2.59,0.943548387,198.34,0.987903226,72.43,1,0.91,271.98,0.943548387
2014,1,-5.78,0.427419355,927.68,1,2.07,0.919354839,181.92,0.943548387,80.59,1,0.27,272.33,0.919354839
2014,2,-4.43,0.522321429,924.57,1,3.19,0.678571429,224.22,0.946428571,73.17,1,1.82,285.32,0.678571429
2014,3,-12.69,0.802419355,921.77,1,3.09,0.633064516,223.66,0.689516129,78.92,1,1.94,278.76,0.633064516
2014,4,-7.31,0.779166667,929.49,1,5.05,0.5875,258.46,0.85,67.9,1,4.19,279.45,0.5875
2014,5,-14.57,0.794354839,930.84,1,4.06,0.572580645,247.45,0.677419355,73.28,1,3.13,278.98,0.560483871
2014,6,-14.11,0.791666667,928.34,1,5.75,0.4875,266.58,0.641666667,71.57,1,5.24,280.26,0.4875
2014,7,-16.2,0.282258065,917.33,0.387096774,NA,0.165322581,NA,0.217741935,73.98,0.387096774,NA,NA,0.165322581
