Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,2,-4.11,0.535714286,985.55,0.754464286,3.55,0.629464286,223.5,0.723214286,81.14,0.754464286,1.77,259.8,0.629464286
2010,3,-12.06,0.955645161,979.66,1,3,0.915322581,232.14,0.991935484,80.94,1,1.75,265.22,0.915322581
2010,4,-19.83,0.9375,978.59,1,2.93,0.854166667,224.28,0.983333333,80.61,1,1.53,291.34,0.854166667
2010,5,-18.91,0.85483871,976.07,1,2.99,0.842741935,252.97,1,75.43,1,2.16,297.3,0.842741935
2010,6,-7.94,0.8375,974.12,1,4.56,0.695833333,276.29,0.966666667,60.17,1,2.98,312.72,0.695833333
2010,7,-12.87,0.834677419,978.56,1,3.64,0.725806452,247.06,1,64.98,0.995967742,2.33,310.9,0.725806452
2010,8,-15.03,0.887096774,982.64,1,3.37,0.818548387,235.46,0.991935484,70.31,1,1.43,294.9,0.818548387
2010,9,-12.14,0.916666667,981.12,1,3.18,0.8125,238.45,1,71.25,1,1.59,298.61,0.8125
2010,10,-5.88,0.891129032,970.43,1,4.02,0.778225806,246.17,1,68.24,1,2.55,304.53,0.778225806
2010,11,0.7,0.9875,972.45,1,4.19,0.65,238.8,1,62.61,1,1.92,324.39,0.65
2010,12,-3.33,0.60483871,974.67,1,2.81,0.939516129,185.13,1,83,1,0.12,237.7,0.939516129
2011,1,-0.91,0.435483871,983.91,0.879032258,2.34,0.842741935,206.72,0.879032258,78.34,0.879032258,0.97,276.91,0.842741935
2011,2,-0.67,0.598214286,976.52,1,2.82,0.825892857,231.64,0.955357143,77.04,1,1.66,312.05,0.825892857
2011,3,-10.03,0.822580645,985.99,0.870967742,3.43,0.725806452,202.85,0.810483871,82.15,0.870967742,0.6,222.32,0.725806452
2011,4,-18.86,0.954166667,982.43,1,2.33,0.85,214.89,0.9625,83.14,1,1.13,310.13,0.85
2011,5,-18.6,0.963709677,981.29,1,2.93,0.689516129,226.68,0.778225806,79.75,1,1.4,303.27,0.689516129
2011,6,-19.82,0.916666667,985.71,1,2.27,0.883333333,213.82,1,76.73,1,0.98,311.66,0.883333333
2011,7,-23.15,0.883064516,992.51,0.995967742,2.82,0.737903226,246.8,0.814516129,76.1,0.995967742,1.94,300.89,0.737903226
2011,8,-15.89,0.838709677,992.95,1,2.83,0.899193548,251.88,1,69.43,1,2.02,300.29,0.899193548
2011,9,-17.69,0.858333333,984.77,0.995833333,3.27,0.791666667,238.43,0.995833333,70.72,0.995833333,1.77,287.46,0.791666667
2011,10,-11.11,0.891129032,976.37,1,3.03,0.891129032,231.98,1,69.63,1,1.48,299.17,0.891129032
2011,11,-5.45,0.829166667,977.94,0.879166667,3.35,0.754166667,239.01,0.879166667,76.98,0.879166667,1.5,303.04,0.754166667
2011,12,1.01,0.661290323,973.53,0.971774194,3.5,0.754032258,208.86,0.971774194,74.56,0.971774194,1.54,303.1,0.754032258
2012,1,-0.52,0.52016129,973.5,1,2.36,0.923387097,201.28,1,78.92,1,0.94,295.84,0.923387097
2012,2,-5.08,0.590517241,975.03,1,2.98,0.900862069,215.5,0.995689655,76.49,1,1.17,262.92,0.900862069
2012,3,-6.64,0.915322581,980.72,1,2.59,0.814516129,215.8,0.947580645,74.02,1,0.95,310.34,0.814516129
2012,4,-14.22,0.916666667,990.87,1,2.77,0.925,228.17,1,72.4,1,1.28,282.73,0.925
2012,5,-17.49,0.911290323,986.09,1,5.37,0.39516129,175.02,0.475806452,79.36,1,1.67,41.76,0.39516129
2012,6,-18.62,0.483333333,974.73,0.5375,3.84,0.35,226.28,0.525,73.47,0.5375,1.61,245.43,0.35
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,-15.68,0.729166667,985.11,0.875,4.19,0.620833333,258.74,0.808333333,67.52,0.875,2.51,288.64,0.620833333
2012,10,-11.63,0.870967742,973.03,1,2.7,0.846774194,228.46,1,70.79,1,1.27,275.07,0.846774194
2012,11,-8.64,0.991666667,978.29,1,3.26,0.8875,217.26,0.995833333,79.32,1,1.48,249.91,0.8875
2012,12,-4.16,0.540322581,984.52,1,2.57,0.955645161,200.98,0.995967742,79.66,1,1.04,231.3,0.955645161
2013,1,NA,0.016129032,NA,0.032258065,NA,0.032258065,NA,0.032258065,NA,0.032258065,NA,NA,0.032258065
2013,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,2,NA,0.223214286,975.9,0.40625,2.44,0.308035714,226.84,0.392857143,68.18,0.40625,1.27,318.05,0.308035714
2014,3,-12.37,0.967741935,977.56,1,2.8,0.899193548,205.24,1,81.84,1,0.94,266.63,0.899193548
2014,4,-8.9,0.845833333,984.72,1,3.55,0.8125,238.37,0.945833333,71.81,1,2.2,312.11,0.8125
2014,5,-16.09,0.899193548,987.54,1,2.76,0.782258065,231.33,0.923387097,76.61,1,1.45,300.12,0.782258065
2014,6,-18.1,0.829166667,984.71,1,2.99,0.770833333,245.28,0.891666667,77.54,1,1.98,300.26,0.770833333
2014,7,-14.18,0.810483871,980.96,0.987903226,4.02,0.705645161,244.05,0.939516129,67.55,0.987903226,2.52,304.51,0.705645161
2014,8,-21.22,0.866935484,987.7,1,3.27,0.846774194,231.2,0.963709677,70.95,1,1.53,296.03,0.846774194
2014,9,-11.38,0.8625,989.82,1,2.97,0.85,238.92,0.970833333,70.34,1,1.79,307.85,0.85
2014,10,-14.49,0.850806452,971.44,1,2.72,0.806451613,211.63,1,73.38,1,0.84,292.35,0.806451613
2014,11,-6.92,0.9625,971.86,1,3.06,0.904166667,216.65,0.9875,77.04,1,1.29,272.81,0.904166667
2014,12,-2.94,0.536290323,973.26,1,2.38,0.911290323,191.71,0.987903226,81.52,1,0.52,267.11,0.911290323
2015,1,-0.08,0.568548387,979.23,1,2.71,0.943548387,190.56,1,77.52,1,1.06,307.89,0.943548387
2015,2,-5.63,0.549107143,976.86,1,2.65,0.924107143,208.05,0.96875,81.66,1,1.15,251.08,0.924107143
2015,3,-8.94,0.931451613,976.64,0.995967742,3.19,0.830645161,223.56,0.991935484,75.45,1,1.79,285.26,0.830645161
2015,4,-7.44,0.8625,975.53,1,3.37,0.8,244.79,1,66.8,1,1.75,312.47,0.8
2015,5,-15.08,0.822580645,981.96,1,2.8,0.677419355,249.56,0.762096774,75.88,1,1.8,291,0.677419355
2015,6,-21.48,0.920833333,978.83,1,2.77,0.816666667,227.29,0.933333333,77.37,1,1.22,304.59,0.816666667
2015,7,-18.09,0.778225806,974.38,0.987903226,2.91,0.790322581,248.38,0.975806452,68.48,0.987903226,1.79,300.04,0.790322581
