Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-8.9,0.685483871,826.76,0.745967742,9.5,0.637096774,105.12,0.745967742,72.41,0.745967742,8.75,98.92,0.637096774
2010,2,-10.62,0.924107143,829.39,1,8.37,0.651785714,101.98,0.745535714,82.71,1,7.05,86.37,0.651785714
2010,3,-17.95,0.935483871,818.14,0.987903226,9.03,0.633064516,115.86,0.790322581,79.01,0.987903226,7.84,99.08,0.633064516
2010,4,-18.71,0.9125,815.93,0.975,11.97,0.345833333,120.75,0.491666667,77.97,0.975,10.75,110.01,0.345833333
2010,5,-19.34,0.931451613,812.6,0.995967742,10.13,0.596774194,112.49,0.709677419,75.19,0.995967742,8.59,105.37,0.596774194
2010,6,-16.97,0.916666667,811.79,0.991666667,11.85,0.341666667,109.97,0.395833333,83.42,0.991666667,10.01,86.32,0.341666667
2010,7,-23.07,0.786290323,813.3,0.995967742,10.31,0.282258065,94.68,0.370967742,82.12,1,7.33,55.31,0.282258065
2010,8,-20.71,0.947580645,819.15,0.983870968,12.53,0.415322581,109.46,0.487903226,76.39,0.983870968,10.9,103.49,0.415322581
2010,9,-17.16,0.929166667,817.3,0.979166667,12.43,0.529166667,92.59,0.6375,82.53,0.979166667,11.59,88.87,0.529166667
2010,10,-14.62,0.935483871,810.33,0.975806452,9.54,0.608870968,116.15,0.846774194,83.28,0.975806452,6.66,74.99,0.608870968
2010,11,-13.35,0.925,812.42,0.979166667,8.29,0.716666667,126.75,0.933333333,83.44,0.979166667,5.52,50.9,0.716666667
2010,12,-11.3,0.887096774,820.91,1,11.81,0.822580645,92.87,0.995967742,71,1,11.38,89.3,0.822580645
