Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,2,3.36,0.441964286,955.26,0.683035714,3.57,0.450892857,227.41,0.669642857,72.95,0.683035714,2.09,286.96,0.450892857
2013,3,3.35,0.935483871,959.86,1,3.27,22.875,210.66,29.5,74.63,31,1.64,296.57,0.737903226
2013,4,3.2,0.916666667,964.78,0.995833333,2.28,22.75,205.4,28.625,73.27,30,1.02,300.11,0.758333333
2013,5,-0.06,0.987903226,956.99,1,3.46,22.375,232.53,29.25,75.98,31,2.05,301.99,0.721774194
2013,6,0.26,0.995833333,954.77,1,2.94,17.5,204.17,22.875,83.83,30,1.42,304.96,0.583333333
2013,7,-1.34,1,953.86,1,2.98,17.375,205.36,22.375,82.65,31,1.3,277.22,0.560483871
2013,8,-2.43,0.983870968,955.22,1,4.26,16.375,240.67,25.375,75.85,31,1.7,290.08,0.528225806
2013,9,-2.41,0.95,961.46,1,3.82,19.625,218.16,28.25,73.9,30,1.97,275.82,0.654166667
2013,10,1.34,0.951612903,960.47,1,3.3,21.875,233.14,30.125,69.29,31,2.01,303.61,0.705645161
2013,11,1.62,0.933333333,951.52,1,4.4,19.5,248.26,29.25,70.5,30,2.79,301.81,0.65
2013,12,1.31,0.713709677,946.41,1,3.8,23.75,233.84,30.125,70.67,31,2.24,300.46,0.766129032
2014,1,2.18,0.612903226,951.82,1,2.96,24.125,184.84,30,77.54,31,1.05,315.87,0.778225806
2014,2,3.38,0.611607143,955.51,1,3.31,18.875,219.24,26.625,72.04,28,1.73,294.64,0.674107143
2014,3,2.99,0.935483871,958.54,1,3.47,22.625,214.99,30.375,74.06,31,1.74,313.52,0.72983871
2014,4,0.6,0.958333333,963.93,0.991666667,3.6,20,197.31,29,71.7,29.875,0.72,294.12,0.666666667
2014,5,-0.93,0.983870968,962.36,1,2.64,24.75,210.55,29.125,72.59,31,1.19,316.86,0.798387097
2014,6,-0.66,0.95,959.61,0.991666667,3.56,19.625,201.93,27.75,74.58,30,0.84,284.91,0.654166667
2014,7,-0.52,0.967741935,965.29,1,3.54,21.375,233.85,29.5,73.75,31,2.27,315.35,0.689516129
2014,8,-3.02,0.987903226,954.7,1,3.7,21.5,212.7,26.375,74.54,31,1.65,288.57,0.693548387
2014,9,-2.33,1,961.72,1,2.91,21.5,202.46,26.875,78.54,30,0.23,277.31,0.716666667
2014,10,1.22,0.931451613,953.02,0.995967742,4.65,20.375,220.84,29.5,68.31,31,2.48,313.93,0.657258065
