Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2007,4,-28.39,0.816666667,783.94,1,5.73,0.925,156.5,0.975,85.01,0.991666667,4.82,3.21,0.920833333
2007,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,1,NA,0.116935484,NA,0.153225806,NA,0.153225806,NA,0.153225806,NA,0.153225806,NA,NA,0.153225806
2009,2,-22.79,0.589285714,783.08,1,3.77,0.986607143,133.73,1,71.43,1,2.84,5.05,0.986607143
2009,3,-25.97,0.875,778.28,1,6.41,0.915322581,87.1,1,77.57,1,5,33.41,0.915322581
2009,4,-32.46,0.829166667,784.06,1,4.91,0.608333333,136.36,0.945833333,73.54,1,3.95,28.13,0.608333333
2009,5,-33.83,0.786290323,778.94,1,6.23,0.754032258,58.08,0.814516129,71.78,1,5.35,41.06,0.754032258
2009,6,-35.8,0.825,780.84,1,8.57,0.5125,53.79,0.533333333,69.47,1,8.41,36.92,0.4875
2009,7,-30.38,0.766129032,784.53,1,NA,0,NA,0,75.24,1,NA,NA,0
2009,8,-34.32,0.778225806,777.28,1,NA,0,NA,0,70.87,1,NA,NA,0
2009,9,-37.6,0.8,770.86,1,NA,0.120833333,45.08,0.479166667,67.41,1,NA,NA,0.116666667
2009,10,-31.76,0.705645161,770.71,1,6.79,0.536290323,64.71,0.705645161,64.92,1,6.31,37.46,0.528225806
2009,11,-19.33,0.775,786.28,1,5.5,0.795833333,120.55,0.8375,69.81,1,3.86,7.01,0.795833333
2009,12,-15.22,0.737903226,784.08,1,4.19,1,122.91,1,67.64,1,2.95,16.96,1
2010,1,-15.39,0.709677419,792.65,0.995967742,3.59,0.987903226,83.4,0.995967742,67.23,0.995967742,2.21,47.35,0.987903226
2010,2,-19.19,0.6875,788.93,1,5.13,0.991071429,107.34,0.986607143,76.61,1,4.23,18.16,0.977678571
2010,3,-24.49,0.858870968,780.24,1,5.92,0.943548387,132.79,0.987903226,79.62,1,4.53,10.46,0.931451613
2010,4,-32.54,0.895833333,777.58,1,4.97,0.958333333,71.44,0.975,73.56,1,4.47,32.44,0.941666667
2010,5,-36.96,0.822580645,773.1,1,6.75,0.77016129,49.06,0.818548387,68.47,1,6.41,47.23,0.77016129
2010,6,-35.3,0.870833333,766.89,1,9.31,0.670833333,64.64,0.733333333,70.07,1,8.25,52.36,0.670833333
2010,7,-40.76,0.790322581,760.06,1,9.99,0.633064516,42.24,0.721774194,63.8,1,9.51,39.41,0.633064516
2010,8,-31.05,0.903225806,767.2,1,10.51,0.721774194,48.39,0.866935484,74.5,1,10.02,41.72,0.721774194
2010,9,-33.3,0.733333333,771.98,1,8.63,0.4375,72.65,0.6125,71.24,1,8.11,36.7,0.4375
2010,10,-27.93,0.814516129,769.33,1,NA,0.137096774,49.4,0.379032258,70.48,1,NA,NA,0.137096774
2010,11,-23.47,0.8375,770.69,1,6.72,0.958333333,69.24,1,68.23,1,5.69,48.33,0.958333333
2010,12,-16.57,0.72983871,787.27,1,4.28,0.983870968,72.27,1,62.99,1,3.4,50.19,0.983870968
2011,1,-16.68,0.544354839,789.87,1,2.87,0.987903226,141.21,1,63.79,1,1.02,4.75,0.987903226
2011,2,-21.96,0.714285714,783.21,1,4.61,0.991071429,68.44,1,73.36,1,3.91,42.69,0.991071429
2011,3,-27.06,0.737903226,785.77,1,4.09,0.975806452,125.49,1,75.86,1,2.89,14.42,0.975806452
2011,4,-32.73,0.729166667,783.9,1,5.21,0.404166667,141.36,0.983333333,72.96,1,3.06,357.06,0.404166667
2011,5,-32.82,0.862903226,773.99,1,7.91,0.669354839,53.32,0.883064516,73.36,1,7.69,41.8,0.657258065
2011,6,-34.98,0.8375,781.46,1,7.74,0.479166667,41.87,0.495833333,70.53,1,7.28,37.56,0.475
2011,7,-25.07,0.745967742,786.79,1,9.25,0.431451613,166.54,0.899193548,81.47,1,7.94,22.15,0.431451613
2011,8,-30.07,0.798387097,782.59,1,7.6,0.673387097,36.16,0.75,75.9,1,7.33,30.13,0.661290323
2011,9,-39.54,0.7375,777.95,1,NA,0.129166667,168.31,0.654166667,64.34,1,NA,NA,0.129166667
2011,10,-27.24,0.798387097,778.38,1,8.94,0.576612903,61.32,0.77016129,72.07,1,8.32,43.82,0.576612903
2011,11,-19.85,0.8875,783.79,1,5.88,0.979166667,68.03,1,70.55,1,5.03,44.63,0.979166667
2011,12,-16.07,0.754032258,779.76,0.967741935,5.39,0.931451613,107.2,0.967741935,68.57,0.967741935,3.49,38.92,0.931451613
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
