Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,12,-14.91,0.870967742,806.11,0.89516129,9.7,0.637096774,191.87,0.89516129,66.47,0.89516129,8.45,199.85,0.637096774
2009,1,-12.78,0.306451613,808.77,0.346774194,6.6,0.254032258,192.49,0.346774194,69.93,0.346774194,5.56,189.23,0.254032258
2009,2,-22.68,0.589285714,806.68,0.638392857,8.02,0.495535714,192.67,0.638392857,70.84,0.638392857,7.13,196.76,0.495535714
2009,3,NA,0.137096774,NA,0.137096774,NA,0.096774194,NA,0.133064516,NA,0.137096774,NA,NA,0.096774194
2009,4,-31.34,0.545833333,803.65,0.591666667,13.29,0.416666667,191.29,0.5875,76.79,0.591666667,12.39,193.06,0.416666667
2009,5,-35.86,0.580645161,805.83,0.616935484,12.82,0.322580645,192.66,0.491935484,75.13,0.616935484,11.82,195.51,0.322580645
2009,6,-37.26,0.745833333,806.13,0.7875,NA,0.0875,NA,0.116666667,71.75,0.7875,NA,NA,0.0875
2009,7,-40.02,0.423387097,802.8,0.455645161,NA,0.016129032,NA,0.02016129,72.92,0.455645161,NA,NA,0.016129032
2009,8,NA,0.165322581,NA,0.185483871,NA,0,NA,0,NA,0.185483871,NA,NA,0
2009,9,-38.78,0.625,798.41,0.641666667,NA,0.004166667,NA,0.004166667,70.92,0.641666667,NA,NA,0.004166667
2009,10,-33.18,0.782258065,794.36,0.786290323,9.58,0.27016129,200.3,0.391129032,71.19,0.786290323,8.83,203.22,0.27016129
2009,11,-20.48,0.954166667,807.29,1,9.63,0.675,190,0.916666667,72.74,1,8.58,193.47,0.675
2009,12,-14.64,0.72983871,805.66,0.806451613,5.84,0.705645161,226.3,0.806451613,69.58,0.806451613,4.05,336.33,0.705645161
2010,1,-14.29,0.971774194,817,1,7.19,0.818548387,247.48,0.991935484,69.3,1,5.79,335.82,0.818548387
2010,2,-21.18,0.928571429,810.66,1,8.71,0.71875,266,1,73.35,1,7.86,334.49,0.71875
2010,3,-30.56,0.97983871,803.35,1,11.85,0.625,253.66,0.866935484,72.1,1,11.11,348.88,0.625
2010,4,-35.27,0.970833333,799.81,1,12.76,0.604166667,293.03,0.758333333,74.08,1,12.13,342.93,0.604166667
2010,5,-36.41,0.866935484,798.49,0.899193548,13.93,0.302419355,253.63,0.391129032,72.02,0.899193548,13.02,349.61,0.302419355
2010,6,-39.69,0.904166667,794.28,0.9375,NA,0.054166667,NA,0.079166667,72.22,0.9375,NA,NA,0.054166667
2010,7,-37.29,0.27016129,790.06,0.294354839,NA,0.068548387,NA,0.092741935,75.22,0.294354839,NA,NA,0.068548387
2010,8,-38.48,0.310483871,790.26,0.322580645,NA,0.068548387,NA,0.068548387,75.7,0.322580645,NA,NA,0.068548387
2010,9,-40.76,0.475,791.02,0.508333333,NA,0.033333333,NA,0.033333333,73.46,0.508333333,NA,NA,0.033333333
2010,10,-32.15,0.274193548,802,0.290322581,NA,0.120967742,NA,0.120967742,73.52,0.290322581,NA,NA,0.120967742
2010,11,-22.21,0.875,798.04,1,2.35,0.991666667,197.9,0.995833333,63.52,1,0.6,256.89,0.991666667
2010,12,-13.69,0.419354839,813.36,1,2.1,0.991935484,173.46,0.991935484,64.98,1,0.48,199.54,0.991935484
2011,1,-16.92,0.318548387,810.82,0.419354839,5.58,0.342741935,159.77,0.419354839,68,0.419354839,4.57,165.32,0.342741935
2011,2,-21.18,0.941964286,806.84,1,8.86,0.732142857,169.83,0.995535714,70.95,1,7.92,169.67,0.732142857
2011,3,-32.26,0.951612903,806.88,0.987903226,11.29,0.637096774,176.31,0.846774194,74.43,0.987903226,10.36,176.07,0.637096774
2011,4,-36.23,0.920833333,805.52,0.9625,12.92,0.358333333,178.14,0.475,73.88,0.9625,12.02,178.06,0.358333333
2011,5,-36.38,0.919354839,797.6,0.959677419,NA,0.048387097,NA,0.072580645,75.46,0.959677419,NA,NA,0.048387097
2011,6,-35.63,0.945833333,804.89,0.9875,12.46,0.354166667,196.9,0.445833333,75.94,0.9875,11.7,201.03,0.354166667
2011,7,NA,0.116935484,NA,0.116935484,NA,0,NA,0,NA,0.116935484,NA,NA,0
2011,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,1,NA,0.125,NA,0.125,NA,0.108870968,NA,0.125,NA,0.125,NA,NA,0.108870968
2012,2,-22.48,0.943965517,806.31,1,9.23,0.754310345,155.91,0.935344828,68.56,1,7.88,160.55,0.754310345
2012,3,-30.98,0.846774194,801.56,0.858870968,12.46,0.620967742,168.91,0.822580645,67.05,0.858870968,11.54,170.3,0.620967742
2012,4,-35.38,0.504166667,799.27,0.570833333,13.21,0.308333333,165.99,0.504166667,69.82,0.570833333,12.17,166.58,0.308333333
2012,5,-32.77,0.572580645,802.66,0.620967742,11.62,0.346774194,163.52,0.540322581,70.78,0.620967742,10.82,168.32,0.346774194
2012,6,-40.95,0.733333333,805.96,0.779166667,NA,0,NA,0,63.86,0.779166667,NA,NA,0
2012,7,-39.59,0.326612903,793.94,0.350806452,NA,0,NA,0,64.8,0.350806452,NA,NA,0
2012,8,-40.9,0.834677419,796.85,0.866935484,NA,0.016129032,NA,0.024193548,66.59,0.866935484,NA,NA,0.016129032
2012,9,-38.56,0.954166667,795.85,0.991666667,NA,0.058333333,NA,0.0625,68.37,0.991666667,NA,NA,0.058333333
