Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2007,1,-4.06,0.451612903,989.35,0.612903226,4.25,0.576612903,210.61,0.612903226,75.88,0.608870968,3.14,217.64,0.576612903
2007,2,-12.34,0.848214286,983.5,1,5.72,0.924107143,206.1,1,78.07,0.995535714,4.87,208.25,0.924107143
2007,3,-22.56,0.879032258,990.33,1,6.02,0.818548387,204.85,1,76.21,1,4.74,212.8,0.818548387
2007,4,-28.92,0.8125,985.24,1,5.04,0.729166667,216.34,0.908333333,77.76,1,4.19,217.06,0.729166667
2007,5,-26.98,0.75,987.07,1,5.41,0.798387097,228.99,0.967741935,78.25,1,4.73,220.68,0.798387097
2007,6,-27.52,0.825,986.34,1,7.81,0.758333333,211.05,1,74.22,1,7.17,215.42,0.758333333
2007,7,-29.87,0.822580645,997.44,1,6.7,0.798387097,205.95,0.967741935,75.79,1,5.61,219.31,0.798387097
2007,8,-29.97,0.866935484,979.81,1,7.49,0.72983871,217.29,1,75.71,1,6.64,217.28,0.72983871
2007,9,-27.43,0.791666667,978.55,1,8.52,0.616666667,215.78,0.775,78.53,1,7.91,212.32,0.616666667
2007,10,-25.47,0.75,982.7,1,6.94,0.596774194,213.94,0.766129032,76.03,1,6.41,211.48,0.596774194
2007,11,-12.41,0.920833333,982.02,1,6.18,0.895833333,215.86,0.995833333,82.66,1,5.18,223.46,0.895833333
2007,12,-5.22,0.814516129,976.04,1,5.72,0.931451613,207.38,0.995967742,84.33,0.665322581,4.74,223.69,0.931451613
2008,1,-4.28,0.814516129,980.37,1,5.43,0.943548387,218.34,1,NA,0.189516129,4.83,215.38,0.943548387
2008,2,-13.94,0.806034483,980.37,1,6.07,0.913793103,208.3,0.987068966,NA,0.185344828,4.79,218.79,0.913793103
2008,3,-20.9,0.846774194,985.02,1,4.57,0.858870968,203.51,1,NA,0.076612903,2.55,214.95,0.858870968
2008,4,-26.28,0.845833333,986.1,1,5.76,0.854166667,209.32,0.975,NA,0,5.1,216.39,0.854166667
2008,5,-30.14,0.814516129,983.91,1,5.59,0.810483871,208.39,0.975806452,93.33,0.407258065,4.17,223.67,0.810483871
2008,6,NA,0.195833333,NA,0.208333333,NA,0.170833333,NA,0.208333333,NA,0,NA,NA,0.170833333
2008,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,12,-6,0.681451613,980.11,1,3.69,0.935483871,194.51,0.995967742,NA,0,1.77,219.99,0.935483871
2009,1,-5.55,0.762096774,980.54,1,4.3,0.955645161,196.32,1,NA,0,2.64,213.15,0.955645161
2009,2,-15.95,0.736607143,985.88,1,4.81,0.910714286,181.49,0.995535714,NA,0.236607143,3.65,195.77,0.910714286
2009,3,-25.36,0.846774194,982.5,1,4.28,0.858870968,187.9,1,NA,0.189516129,2.61,195.81,0.858870968
2009,4,-22.52,0.920833333,983.33,1,9.32,0.6,208.18,0.741666667,NA,0,7.85,213.16,0.6
2009,5,-32.05,0.774193548,990.22,1,4.14,0.685483871,198.67,0.822580645,89.92,0.419354839,3.22,217.42,0.685483871
2009,6,-29.99,0.808333333,990.41,1,6.67,0.8,210.96,0.975,87.1,0.308333333,5.75,217.79,0.8
