Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1980,12,-5.74,0.725806452,982.32,0.987903226,4.55,0.919354839,248.85,0.951612903,NA,0,3.56,269.24,0.919354839
1981,1,-7.59,0.431451613,979.28,0.516129032,4.21,0.495967742,265.17,0.495967742,NA,0,3.26,279.68,0.495967742
1981,2,-12.5,0.65625,985.42,1,4.57,0.888392857,266.09,0.955357143,NA,0,3.76,266.6,0.888392857
1981,3,-18.51,0.786290323,987.74,0.967741935,4.84,0.596774194,233.05,0.834677419,NA,0,3.7,269.13,0.596774194
1981,4,-32.04,0.679166667,989.75,0.975,4.14,0.529166667,203.69,0.716666667,NA,0,2.25,281.45,0.529166667
1981,5,-29.46,0.818548387,984.07,1,5.06,0.459677419,199.51,0.834677419,NA,0,3.34,269.5,0.455645161
1981,6,-27.31,0.683333333,976.59,0.9875,4.52,0.429166667,187.61,0.6875,NA,0,2.29,280.36,0.429166667
1981,7,-30.26,0.693548387,984.53,1,3.78,0.463709677,190.32,0.766129032,NA,0,2.37,279.98,0.455645161
1981,8,-31.85,0.697580645,992.89,0.995967742,3.33,0.411290323,198.95,0.681451613,NA,0,2.03,299.09,0.411290323
1981,9,-36.37,0.741666667,986.36,1,2.98,0.283333333,175.26,0.420833333,NA,0,1.54,301.57,0.25
1981,10,-25.94,0.721774194,977.95,0.991935484,3.06,0.47983871,198.71,0.512096774,NA,0,1.69,291.19,0.419354839
1981,11,-15.2,0.7625,974.23,0.991666667,4.38,0.65,218.91,0.841666667,NA,0,3.37,267.88,0.6375
1981,12,-7.01,0.689516129,975.18,0.975806452,3.93,0.870967742,228.82,0.883064516,NA,0,2.73,259.58,0.858870968
1982,1,-6.48,0.733870968,986.71,0.987903226,3.88,0.935483871,235.67,0.943548387,NA,0,2.76,263.44,0.935483871
1982,2,-12.87,0.611607143,983.75,0.986607143,3.57,0.90625,234.58,0.910714286,NA,0,2.38,261.96,0.888392857
1982,3,-29.36,0.774193548,975.75,0.995967742,3.91,0.600806452,235.29,0.939516129,NA,0,2.46,275.89,0.588709677
1982,4,-31.83,0.6875,977.82,0.995833333,5.14,0.4125,234.66,0.9875,NA,0,3.96,251.95,0.4125
1982,5,-33.34,0.693548387,983.96,1,3.89,0.584677419,211.49,0.745967742,NA,0,1.97,258.88,0.576612903
1982,6,-32.47,0.791666667,978.03,1,5.46,0.675,209.35,0.854166667,NA,0,3.83,245.61,0.675
1982,7,-35.59,0.653225806,986.34,1,3.81,0.435483871,232.33,0.516129032,NA,0,2.6,278.44,0.435483871
1982,8,-29.24,0.810483871,974.06,1,6.23,0.774193548,242.27,0.887096774,NA,0,5.24,254.02,0.774193548
1982,9,-34.55,0.75,974.06,0.995833333,3.9,0.8875,232.18,0.941666667,NA,0,2.75,277.67,0.8625
1982,10,-24.73,0.774193548,977.57,1,5.11,0.516129032,243.53,0.616935484,NA,0,4.58,263.6,0.495967742
1982,11,-12.79,0.85,982.3,1,5.34,0.870833333,228.3,0.991666667,NA,0,4.18,251.28,0.870833333
1982,12,-5.22,0.77016129,990.9,0.971774194,4.63,0.879032258,249.56,0.907258065,NA,0,3.33,254.53,0.879032258
1983,1,-7.49,0.580645161,988.41,1,2.84,0.903225806,227.48,0.907258065,NA,0,1.61,281.48,0.887096774
1983,2,-17.59,0.522321429,992.19,1,2.9,0.892857143,243.16,0.910714286,NA,0,2.08,281.91,0.892857143
1983,3,-24.4,0.802419355,983.83,1,4.92,0.875,237.28,0.943548387,NA,0,3.81,264.86,0.875
1983,4,-21.74,0.804166667,978.25,0.991666667,6.37,0.825,248.03,0.945833333,NA,0,5.79,251.4,0.825
1983,5,-21.96,0.870967742,984.34,0.97983871,6.35,0.834677419,240.78,0.939516129,NA,0,5.54,250.74,0.834677419
1983,6,-33.71,0.6125,986.32,0.970833333,4.36,0.745833333,238.27,0.8625,NA,0,3.02,268.68,0.745833333
1983,7,-35,0.790322581,978.87,1,3.97,0.822580645,247.03,0.862903226,NA,0,3.14,264.9,0.786290323
1983,8,-31.77,0.592741935,976.67,0.903225806,6.61,0.637096774,236.45,0.834677419,NA,0,5.54,245.99,0.637096774
1983,9,-33.53,0.670833333,981.22,0.991666667,3.92,0.383333333,233.43,0.4375,NA,0,2.98,274.03,0.358333333
1983,10,-23.5,0.741935484,968.42,1,5.68,0.616935484,251.51,0.669354839,NA,0,5.41,256.68,0.592741935
1983,11,-14.36,0.820833333,970.87,1,4.79,0.866666667,246.47,0.95,NA,0,3.99,256.72,0.866666667
1983,12,-7.86,0.580645161,981.34,0.987903226,3.47,0.830645161,220.75,0.830645161,NA,0,2.4,258.7,0.814516129
1984,1,-7.55,0.584677419,990.64,0.995967742,3.18,0.923387097,229.78,0.927419355,NA,0,2.02,276.18,0.923387097
1984,2,-14.72,0.672413793,987.19,1,3.97,0.931034483,238.62,0.965517241,NA,0,2.59,269.53,0.931034483
1984,3,-21.6,0.737903226,976.84,1,5.07,0.862903226,243.65,0.967741935,NA,0,3.9,263.01,0.862903226
1984,4,-22.08,0.808333333,978.4,0.9875,6.27,0.833333333,237.46,0.979166667,NA,0,5.18,246.32,0.833333333
1984,5,-26.19,0.685483871,985.4,1,5.29,0.810483871,237.7,0.967741935,NA,0,4.06,252.62,0.810483871
1984,6,-28.57,0.775,979.73,1,5.27,0.829166667,249.06,0.958333333,NA,0,4.51,258.1,0.829166667
1984,7,-31.09,0.754032258,973.87,1,5.52,0.725806452,239.22,0.947580645,NA,0,4.31,252.75,0.725806452
1984,8,-34.48,0.612903226,982.29,1,3.82,0.491935484,225.97,0.625,NA,0,2.66,258.09,0.491935484
1984,9,-31.12,0.733333333,978.86,1,5.18,0.729166667,233.89,0.8875,NA,0,3.69,260.5,0.729166667
1984,10,-21.06,0.862903226,970.9,0.991935484,7.44,0.641129032,243.47,0.778225806,NA,0,6.67,254.45,0.625
1984,11,-13.39,0.870833333,976.15,0.983333333,5.21,0.9125,234.3,0.9375,NA,0,4.13,254.32,0.9125
1984,12,-4.75,0.77016129,988.48,0.983870968,4.37,0.935483871,240.87,0.951612903,NA,0,3.3,256.43,0.935483871
1985,1,-5.45,0.64516129,988,0.995967742,3.72,0.935483871,232.31,0.951612903,NA,0,2.7,259.54,0.935483871
