Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1984,1,NA,0.032258065,990.62,0.258064516,NA,0.028225806,NA,0.036290323,NA,0,NA,NA,0.028225806
1984,2,-11.86,0.875,982.6,0.892241379,12.69,0.594827586,289.14,0.892241379,NA,0,12.03,295.93,0.594827586
1984,3,-17.28,0.97983871,974.52,1,17.29,0.459677419,293.15,1,NA,0,16.85,297.34,0.459677419
1984,4,-23.29,0.625,975.27,0.629166667,16.52,0.3875,302.42,0.629166667,NA,0,16.35,305.21,0.3875
1984,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,NA,0.076612903,NA,0.088709677,NA,0.040322581,NA,0.084677419,NA,0,NA,NA,0.040322581
1985,2,-12.25,0.955357143,982.27,1,15.36,0.53125,281.46,0.991071429,NA,0,13.78,302.18,0.53125
1985,3,-17.63,0.975806452,981.53,0.995967742,17.53,0.463709677,304.37,0.995967742,NA,0,17.35,306.18,0.463709677
1985,4,-23.22,0.933333333,981.77,0.9375,16.15,0.425,310.29,0.908333333,NA,0,15.67,309.56,0.425
1985,5,-24.08,0.883064516,983.92,0.891129032,10.48,0.302419355,290.72,0.580645161,NA,0,9.68,315.93,0.302419355
1985,6,-25.79,0.954166667,978.84,0.979166667,17,0.366666667,259.38,0.883333333,NA,0,9.85,298.5,0.358333333
