Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1984,1,-8.19,0.27016129,996.1,0.512096774,2.48,0.455645161,191.81,0.455645161,61.87,0.512096774,1.45,217.15,0.455645161
1984,2,-16,0.625,988.18,0.995689655,4.13,0.922413793,242.38,0.965517241,63.21,0.978448276,2.72,245.69,0.922413793
1984,3,-21.71,0.838709677,976.86,0.991935484,7.57,0.774193548,245.33,0.991935484,70.6,0.995967742,6.47,247.83,0.774193548
1984,4,-24.48,0.854166667,978.78,0.9875,7.73,0.766666667,229.26,0.970833333,71.1,0.970833333,6.81,241.87,0.766666667
1984,5,-26.22,0.846774194,985.51,0.995967742,8.34,0.745967742,236.38,0.991935484,67.16,0.987903226,6.84,238.35,0.745967742
1984,6,-29.35,0.808333333,980.36,1,7.03,0.7375,229.75,0.9125,64.81,0.991666667,5.15,228.91,0.725
1984,7,-30.85,0.701612903,973.89,0.955645161,6.1,0.717741935,229.37,0.923387097,60.95,0.951612903,4.58,228.87,0.717741935
1984,8,NA,0.157258065,NA,0.185483871,NA,0.149193548,NA,0.177419355,NA,0.185483871,NA,NA,0.149193548
1984,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
