Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1991,1,-11.16,0.290322581,877.77,0.318548387,NA,0.201612903,196.68,0.310483871,NA,0,NA,NA,0.201612903
1991,2,-12.87,0.973214286,883.37,1,8.42,0.334821429,201.57,0.558035714,NA,0,7.06,203.6,0.334821429
1991,3,-25.03,0.931451613,875.44,1,6.08,0.39516129,186.56,0.665322581,NA,0,4.1,202.41,0.39516129
1991,4,-24.1,0.829166667,879.51,0.908333333,7.72,0.358333333,186.74,0.641666667,NA,0,6.8,196.11,0.358333333
1991,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,-12.8,0.487903226,886.09,0.516129032,NA,0.193548387,169.78,0.306451613,NA,0,NA,NA,0.193548387
1992,2,-17.98,0.823275862,891.59,1,5,0.681034483,188.12,0.896551724,NA,0,2.2,209.7,0.681034483
1992,3,-24.34,0.971774194,883.05,1,9.37,0.661290323,186.8,0.887096774,NA,0,8.65,200.63,0.649193548
1992,4,-28.65,0.941666667,878.65,1,7.23,0.575,182.77,0.945833333,NA,0,5.54,203.85,0.575
1992,5,-27.69,0.955645161,883.88,0.991935484,8.44,0.612903226,194.96,0.939516129,NA,0,6.57,204.21,0.612903226
1992,6,-29.51,0.904166667,886.9,1,7.54,0.504166667,186.09,0.929166667,NA,0,5.36,205.53,0.504166667
1992,7,-27.97,0.89516129,877.09,0.991935484,6.68,0.540322581,172.51,0.891129032,NA,0,4.69,204.04,0.540322581
1992,8,-30.8,0.846774194,877.83,0.995967742,6.57,0.475806452,175.41,0.959677419,NA,0,3.69,204.67,0.467741935
1992,9,-30.49,0.920833333,868.52,1,7.83,0.475,187.78,0.9625,NA,0,5.53,203.27,0.475
1992,10,-24.92,0.943548387,874.8,1,8.57,0.625,202.55,0.967741935,NA,0,6.7,206.75,0.625
1992,11,-17.32,0.9625,875.86,0.9875,6.68,0.570833333,199.32,0.925,NA,0,4.45,209.69,0.570833333
1992,12,-12.37,0.870967742,881.29,0.983870968,6.22,0.725806452,199.83,0.939516129,NA,0,5.04,207.13,0.725806452
1993,1,-10.63,0.923387097,893.12,0.995967742,6.66,0.399193548,190.46,0.584677419,NA,0,4.23,207.51,0.399193548
1993,2,-17.54,0.982142857,877.07,1,NA,0.160714286,NA,0.196428571,NA,0,NA,NA,0.160714286
1993,3,-25.45,0.975806452,881.01,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1993,4,-28.15,0.9375,875.87,0.995833333,NA,0,NA,0,NA,0,NA,NA,0
1993,5,-31.88,0.963709677,875.98,1,NA,0,NA,0,NA,0,NA,NA,0
1993,6,-30.56,0.858333333,871.24,0.95,NA,0,NA,0,NA,0,NA,NA,0
1993,7,-28.78,0.919354839,867.14,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1993,8,-33.78,0.887096774,870.56,1,NA,0,NA,0,NA,0,NA,NA,0
1993,9,NA,0.008333333,NA,0.0125,NA,0,NA,0,NA,0,NA,NA,0
1993,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,-10.94,0.548387097,870.53,0.649193548,6.62,0.52016129,215.6,0.649193548,NA,0,5.82,209.56,0.52016129
1994,2,-16.21,0.857142857,869.23,1,6.27,0.65625,183.09,0.808035714,NA,0,3.93,205.14,0.65625
1994,3,-25.21,0.923387097,862.46,0.983870968,5.77,0.790322581,198.38,0.971774194,NA,0,2.9,212.68,0.790322581
1994,4,-21.46,0.979166667,870.46,1,7.05,0.795833333,196.51,0.970833333,NA,0,5.74,203.97,0.795833333
1994,5,-32.17,0.862903226,866.04,1,8.84,0.516129032,214.45,0.923387097,NA,0,6.63,210.55,0.516129032
1994,6,-26.31,0.9,879.6,1,8.15,0.529166667,196.05,0.975,NA,0,6.56,205.71,0.529166667
1994,7,-26.92,0.911290323,871.81,1,6.95,0.758064516,183.3,0.97983871,NA,0,4.49,203.62,0.758064516
1994,8,-30.08,0.927419355,857.13,1,6.42,0.64516129,192.55,0.89516129,NA,0,4.5,202.44,0.64516129
1994,9,-27.9,0.879166667,870.78,1,NA,0,NA,0,NA,0,NA,NA,0
1994,10,-21.15,0.943548387,863.5,1,NA,0,NA,0,NA,0,NA,NA,0
1994,11,-14.37,0.941666667,870.92,0.995833333,NA,0,NA,0,NA,0,NA,NA,0
1994,12,-9.59,0.89516129,878.87,1,5.89,0.524193548,208.61,0.60483871,NA,0,5.02,204.05,0.524193548
1995,1,-10.26,0.866935484,878.87,0.995967742,6.58,0.741935484,201.33,0.870967742,NA,0,5.82,199.07,0.741935484
1995,2,-14.34,0.808035714,878.51,0.964285714,6.57,0.580357143,176.21,0.776785714,NA,0,4.58,198.59,0.580357143
1995,3,-23.35,0.983870968,883.58,1,8.43,0.443548387,198.8,0.528225806,NA,0,6.44,202.47,0.443548387
1995,4,-27.98,0.954166667,875,1,6.38,0.566666667,177.11,0.870833333,NA,0,3.73,194.92,0.566666667
1995,5,-29,0.907258065,872.3,1,7.22,0.637096774,196.26,0.899193548,NA,0,4.94,196.18,0.637096774
1995,6,-26.33,0.891666667,880.04,1,9.99,0.6,202.07,0.954166667,NA,0,7.42,199.47,0.6
1995,7,-27.69,0.935483871,891.42,1,7.4,0.705645161,202.2,0.975806452,NA,0,4.27,203.7,0.705645161
1995,8,-27.33,0.919354839,878.53,1,7.55,0.633064516,187.28,0.935483871,NA,0,5.81,197.31,0.633064516
1995,9,-27.96,0.9375,869.96,1,8.7,0.708333333,191.85,0.995833333,NA,0,6.19,200.7,0.708333333
1995,10,-22.71,0.907258065,874.09,0.987903226,8.31,0.673387097,190.17,0.967741935,NA,0,6.9,199.39,0.673387097
1995,11,-14.98,0.983333333,874.5,1,9.4,0.620833333,193.47,0.995833333,NA,0,8.28,199.11,0.620833333
1995,12,-8.51,0.862903226,876.7,0.995967742,6.42,0.701612903,212.5,0.903225806,NA,0,5.06,204.88,0.701612903
1996,1,-9.86,0.754032258,883.9,0.967741935,5.36,0.806451613,191.68,0.955645161,NA,0,4.73,196.87,0.806451613
1996,2,-13.34,0.801724138,886.87,0.995689655,4.35,0.905172414,193.37,0.99137931,NA,0,2.29,202.46,0.905172414
1996,3,-21.18,0.971774194,879.17,1,5.27,0.842741935,180.53,0.983870968,NA,0,2.56,197.21,0.842741935
1996,4,-22.23,0.929166667,872.94,1,9.87,0.445833333,194.59,0.733333333,NA,0,8.33,195.48,0.445833333
1996,5,-27.02,0.963709677,877.38,0.995967742,10.64,0.286290323,185.36,0.495967742,NA,0,9.94,196.59,0.286290323
1996,6,-28.57,0.9125,874.63,1,10.14,0.370833333,178.87,0.629166667,NA,0,8.87,194.78,0.370833333
1996,7,-27.92,0.887096774,874.23,0.967741935,8.69,0.592741935,209.06,0.955645161,NA,0,4.66,198.63,0.592741935
1996,8,-23.65,0.891129032,880.89,1,8.92,0.612903226,195.61,0.983870968,NA,0,5.83,192.2,0.612903226
1996,9,-25.65,0.9625,881,0.979166667,6.28,0.604166667,177.41,0.9375,NA,0,3.03,189.08,0.604166667
1996,10,-24.29,0.923387097,866.15,1,8.18,0.657258065,205.47,0.951612903,NA,0,3.37,198.5,0.657258065
1996,11,-13.2,0.929166667,883.54,0.995833333,6.77,0.7875,199.1,0.991666667,NA,0,6,197.41,0.7875
1996,12,-8.26,0.85483871,883.98,0.995967742,6.15,0.778225806,200.48,0.991935484,NA,0,5.41,199.11,0.778225806
1997,1,-9.84,0.794354839,885.98,1,5.11,0.870967742,197.26,1,NA,0,3.97,198.81,0.870967742
1997,2,-17.72,0.8125,884.9,0.991071429,5.04,0.879464286,192.84,0.991071429,NA,0,2.25,192.85,0.879464286
1997,3,-23.2,0.951612903,873.33,1,4.07,0.75,191.63,0.866935484,NA,0,0.55,263.63,0.737903226
1997,4,-27.38,0.916666667,876.87,0.995833333,6.07,0.533333333,189.45,0.7625,NA,0,1.66,201.94,0.508333333
1997,5,-26.53,0.887096774,866.72,1,8.51,0.568548387,185.08,0.959677419,NA,0,3.73,186.17,0.568548387
1997,6,-26.06,0.908333333,879.84,0.995833333,7.92,0.7,177.54,0.970833333,NA,0,2.81,197.8,0.679166667
1997,7,NA,0.133064516,NA,0.133064516,NA,0.120967742,NA,0.133064516,NA,0,NA,NA,0.120967742
1997,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,1,NA,0.137096774,NA,0.165322581,NA,0.157258065,NA,0.157258065,NA,0,NA,NA,0.157258065
1998,2,-15.45,0.901785714,877.63,1,6.96,0.785714286,204.63,0.973214286,NA,0,3.65,222.88,0.785714286
1998,3,-24.62,0.97983871,875.77,1,6.37,0.758064516,200.04,0.983870968,NA,0,2.07,213.33,0.758064516
1998,4,-30.4,0.958333333,867.23,1,6,0.75,259.09,1,NA,0,4.05,325.16,0.75
1998,5,-28.4,0.915322581,874.25,1,9.67,0.483870968,234.66,0.850806452,NA,0,7.09,347.11,0.475806452
1998,6,-23.39,0.904166667,871.92,1,NA,0.1875,188.02,0.258333333,NA,0,NA,NA,0.1875
1998,7,-29.37,0.935483871,871.81,1,NA,0,NA,0,NA,0,NA,NA,0
1998,8,-28.56,0.971774194,871.2,1,NA,0,NA,0,NA,0,NA,NA,0
1998,9,-30.69,0.933333333,878.48,1,NA,0,NA,0,NA,0,NA,NA,0
1998,10,-23.9,0.967741935,873.78,1,NA,0,NA,0,NA,0,NA,NA,0
1998,11,-17.29,0.966666667,870.52,1,NA,0,NA,0,NA,0,NA,NA,0
1998,12,-10.49,0.963709677,879.79,1,NA,0,NA,0,NA,0,NA,NA,0
1999,1,NA,0.221774194,NA,0.225806452,NA,0.056451613,NA,0.072580645,NA,0.189516129,NA,NA,0.056451613
1999,2,-15.91,0.928571429,881.93,1,5.62,0.383928571,182.38,0.491071429,75.29,0.96875,4.5,198.94,0.383928571
1999,3,-23,0.955645161,878.63,1,4.09,0.608870968,207.16,0.798387097,70.78,1,1.79,211.54,0.608870968
1999,4,-28.99,0.958333333,875.34,0.995833333,5.74,0.716666667,203.95,0.866666667,68.1,0.995833333,3.77,201.23,0.716666667
1999,5,-28.66,0.927419355,872.6,0.995967742,5.99,0.661290323,197.79,0.911290323,65.24,0.995967742,4.68,202.09,0.661290323
1999,6,-25.44,0.933333333,891.51,1,6.32,0.558333333,193.58,0.666666667,73.54,1,5.35,199.68,0.558333333
1999,7,-27.52,0.97983871,873.61,1,9.46,0.471774194,216.36,0.540322581,77.77,1,7.52,204.56,0.471774194
1999,8,-28.96,0.927419355,876.87,0.987903226,7.35,0.346774194,204,0.463709677,69.2,0.987903226,6.43,200.97,0.346774194
1999,9,-25.14,0.95,876.16,0.991666667,12.65,0.295833333,204.74,0.408333333,75.74,0.991666667,12.13,197.21,0.295833333
1999,10,-20.97,0.911290323,861.3,0.995967742,7.25,0.673387097,206.09,0.891129032,65.96,1,6.29,199.98,0.661290323
1999,11,-14.73,0.970833333,867.37,1,5.36,0.416666667,179.43,0.604166667,87.47,0.929166667,3.56,187.06,0.416666667
1999,12,-9.69,0.745967742,869.97,1,3.25,0.657258065,235.99,0.709677419,69.32,0.794354839,1.02,253.27,0.657258065
2000,1,-10.61,0.879032258,873.38,1,4.84,0.439516129,197.15,0.641129032,61.97,0.471774194,3.85,197.28,0.439516129
2000,2,-16.63,0.892241379,877.49,0.995689655,6.95,0.599137931,184.59,0.831896552,75.02,0.836206897,4.55,202.3,0.599137931
2000,3,-21.38,0.967741935,878.38,1,NA,0.245967742,216.12,0.358870968,90.12,0.697580645,NA,NA,0.245967742
2000,4,-25.46,0.9625,877.65,0.995833333,2.02,0.416666667,199.29,0.429166667,91.63,0.875,0.36,293.49,0.416666667
2000,5,-26.21,0.947580645,877.42,0.991935484,6.58,0.403225806,203.96,0.491935484,89.58,0.866935484,3.82,214.86,0.403225806
2000,6,-27.62,0.933333333,878.27,1,NA,0.1125,NA,0.175,90.64,0.9625,NA,NA,0.1125
2000,7,-27.98,0.887096774,875.72,0.995967742,5.55,0.262096774,185.62,0.358870968,86.57,0.951612903,4.18,195.84,0.262096774
2000,8,-28.09,0.923387097,878.15,1,7.79,0.427419355,189.57,0.641129032,79.71,0.939516129,6.43,195.61,0.427419355
2000,9,-27.86,0.825,883.51,0.916666667,9.37,0.333333333,199.44,0.741666667,67.21,0.891666667,7.12,192.9,0.333333333
2000,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
