Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2003,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,-31.84,0.450892857,729.27,0.727678571,9.73,0.486607143,173.44,0.558035714,69.02,0.723214286,5.47,181.02,0.383928571
2003,3,-41.14,0.725806452,NA,0.125,NA,0.092741935,NA,0.096774194,58.1,1,NA,NA,0.060483871
2003,4,-48.49,0.4875,NA,0.058333333,NA,0.029166667,NA,0.05,49.25,0.558333333,NA,NA,0.020833333
2003,5,NA,0.004032258,NA,0.004032258,NA,0,NA,0,NA,0.004032258,NA,NA,0
2003,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,1,NA,0.040322581,NA,0.064516129,NA,0.052419355,NA,0.056451613,NA,0.064516129,NA,NA,0.052419355
2004,2,-25.13,0.681034483,NA,0.193965517,NA,0.11637931,175.2,0.737068966,74.99,1,NA,NA,0.073275862
2004,3,-39.71,0.657258065,NA,0,NA,0,196.49,0.814516129,62.43,1,NA,NA,0
2004,4,-48.49,0.825,NA,0,NA,0,199.35,0.766666667,53.08,0.9875,NA,NA,0
2004,5,NA,0.012096774,NA,0,NA,0.012096774,NA,0.012096774,NA,0.012096774,NA,NA,0.012096774
2004,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,8,NA,0.092741935,NA,0,NA,0.016129032,NA,0.084677419,NA,0.092741935,NA,NA,0.016129032
2004,9,-45.24,0.391666667,NA,0,7.17,0.275,221.08,0.3875,54.94,0.458333333,6.24,341.6,0.254166667
2004,10,-41.48,0.391129032,NA,0,8.22,0.540322581,248.32,0.625,59.05,0.721774194,7.11,342.56,0.487903226
2004,11,-31.3,0.533333333,NA,0,9.46,0.620833333,235.33,0.820833333,69.25,0.9625,8.41,353.38,0.525
2004,12,-21.96,0.641129032,NA,0,8.46,0.649193548,246.93,0.85483871,78.31,0.995967742,7.36,343.57,0.572580645
2005,1,-21.49,0.693548387,NA,0,8.32,0.588709677,177.3,0.790322581,77.98,1,7.38,356.8,0.455645161
2005,2,-31.57,0.254464286,NA,0,9.81,0.330357143,269.78,0.415178571,70.11,0.5,8.95,329.93,0.285714286
2005,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,7,NA,0.064516129,NA,0.008064516,NA,0.036290323,NA,0.068548387,NA,0.068548387,NA,NA,0.036290323
2005,8,-43.26,0.584677419,NA,0.084677419,10.6,0.334677419,189.45,0.443548387,57.73,0.717741935,NA,NA,0.233870968
2005,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,11,-27.86,0.308333333,728.57,0.508333333,8.77,0.329166667,166.96,0.425,71.63,0.508333333,5.98,174.17,0.275
2005,12,-19.22,0.717741935,737.08,0.995967742,8.3,0.516129032,157.78,0.85483871,79.85,0.983870968,5.55,150.1,0.447580645
2006,1,-22.07,0.709677419,NA,0.201612903,9.74,0.697580645,162.65,0.745967742,77.6,1,6.66,164.23,0.508064516
2006,2,-29.91,0.59375,NA,0,9.26,0.665178571,181.4,0.794642857,70.56,1,5.7,183,0.5625
2006,3,-41.89,0.72983871,NA,0,7.6,0.725806452,182.91,0.790322581,58.31,0.995967742,6.03,183.32,0.576612903
2006,4,-46.58,0.758333333,NA,0,5.69,0.625,209.08,0.6375,55.55,1,3.61,204.49,0.470833333
2006,5,-47.78,0.802419355,NA,0,3.48,0.419354839,179.38,0.584677419,54.5,1,0.59,145.59,0.362903226
2006,6,-49.13,0.833333333,NA,0,NA,0.075,NA,0.095833333,51.8,1,NA,NA,0.066666667
2006,7,-53.49,0.387096774,NA,0,NA,0,NA,0,46.08,0.447580645,NA,NA,0
2006,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2006,11,NA,0.05,NA,0.091666667,NA,0.079166667,NA,0.091666667,NA,0.091666667,NA,NA,0.079166667
2006,12,-25.2,0.580645161,725.64,1,8.07,0.596774194,173.83,0.830645161,75.73,1,6.59,178.81,0.508064516
2007,1,-20.15,0.693548387,729.4,0.576612903,9.58,0.576612903,157.52,0.830645161,80.16,1,6,165.41,0.47983871
2007,2,-26.47,0.254464286,NA,0,9.97,0.258928571,177.66,0.34375,72.92,0.433035714,NA,NA,0.209821429
2007,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2007,11,NA,0.2125,720.16,0.495833333,7.15,0.366666667,160,0.354166667,69.87,0.495833333,5.59,169.24,0.266666667
