Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-15.11,0.536290323,821.06,0.548387097,7.32,0.483870968,150.57,0.548387097,73.45,0.548387097,6.77,151.1,0.483870968
2010,2,-23.32,0.995535714,818.64,1,11.59,0.883928571,154.73,0.982142857,71.59,1,11.37,157.55,0.883928571
2010,3,-30.84,0.790322581,811.47,0.810483871,12.37,0.564516129,156.75,0.64516129,74.92,0.810483871,12.23,157.87,0.564516129
2010,4,-38.2,0.770833333,809.92,0.783333333,NA,0.2125,NA,0.2125,73.25,0.783333333,NA,NA,0.2125
2010,5,-35.56,0.814516129,809.99,0.846774194,9.24,0.314516129,147.48,0.334677419,75.4,0.846774194,8.49,147.07,0.314516129
2010,6,-38.6,0.879166667,806.63,0.891666667,NA,0,NA,0,73.6,0.891666667,NA,NA,0
2010,7,-39.7,0.903225806,798.68,0.907258065,NA,0.02016129,NA,0.028225806,73.01,0.907258065,NA,NA,0.02016129
2010,8,-39.56,0.669354839,806.59,0.673387097,NA,0.008064516,NA,0.008064516,71.66,0.673387097,NA,NA,0.008064516
2010,9,-44.28,0.404166667,801.79,0.404166667,NA,0,NA,0,71.27,0.404166667,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,-15.63,0.927419355,818.58,0.939516129,8.77,0.85483871,89.53,0.939516129,69.68,0.939516129,8.38,86.34,0.85483871
2011,2,-22.71,0.982142857,814.42,1,12.48,0.732142857,87.07,0.892857143,70.75,1,12.17,87.8,0.732142857
2011,3,-35.19,0.875,813.96,0.879032258,16.17,0.568548387,86.53,0.596774194,68.91,0.879032258,16,87.53,0.568548387
2011,4,-38.35,0.7625,814.11,0.7625,NA,0.225,NA,0.233333333,69.01,0.7625,NA,NA,0.225
2011,5,-40.17,0.858870968,808.42,0.887096774,NA,0,NA,0,66.58,0.887096774,NA,NA,0
2011,6,-39.65,0.9625,812.4,0.970833333,NA,0,NA,0,66.52,0.970833333,NA,NA,0
2011,7,-38.36,0.923387097,814.4,0.939516129,NA,0.080645161,NA,0.080645161,68.87,0.939516129,NA,NA,0.080645161
2011,8,-38.48,0.935483871,815.56,0.947580645,NA,0,NA,0,67.67,0.947580645,NA,NA,0
2011,9,-40.17,0.758333333,809.3,0.775,NA,0.1,NA,0.120833333,66.42,0.775,NA,NA,0.1
2011,10,-33.47,0.967741935,812.11,0.967741935,15.26,0.508064516,88.16,0.544354839,64.66,0.967741935,15.12,88.29,0.508064516
2011,11,-20.94,0.991666667,817.3,0.995833333,13.6,0.8375,94.62,0.983333333,66.35,0.995833333,13.26,95.53,0.8375
2011,12,-15.63,0.959677419,810.7,1,9.64,0.842741935,105.72,1,64.9,1,9.16,100.62,0.842741935
2012,1,-17.13,0.975806452,808.86,0.995967742,9.22,0.907258065,100.03,0.995967742,68.59,0.995967742,8.89,98.03,0.907258065
2012,2,-24,0.969827586,814.7,0.99137931,15.23,0.75,100.16,0.879310345,68.74,0.99137931,15.01,101.61,0.75
2012,3,-31.19,0.903225806,812.55,0.907258065,15.57,0.455645161,95.11,0.5,71.06,0.907258065,15.43,96.15,0.455645161
2012,4,-40.5,0.958333333,811.35,0.958333333,NA,0.020833333,NA,0.020833333,67.46,0.958333333,NA,NA,0.020833333
2012,5,-39.77,0.959677419,811.81,0.963709677,NA,0,NA,0,67.46,0.963709677,NA,NA,0
2012,6,-38.74,0.941666667,811.88,0.966666667,NA,0.0125,NA,0.016666667,68.78,0.966666667,NA,NA,0.0125
2012,7,-39.58,0.826612903,809,0.842741935,NA,0.004032258,NA,0.004032258,68.55,0.842741935,NA,NA,0.004032258
2012,8,-40.61,0.721774194,807.27,0.75,NA,0,NA,0,67.65,0.75,NA,NA,0
2012,9,-39.37,0.804166667,808.14,0.820833333,NA,0,NA,0,67.33,0.820833333,NA,NA,0
2012,10,-33.16,0.862903226,805.78,0.879032258,NA,0.092741935,NA,0.116935484,66.41,0.879032258,NA,NA,0.092741935
2012,11,-21.3,1,816.38,1,12.51,0.766666667,103.44,0.970833333,66.6,1,12.06,98.96,0.766666667
2012,12,-14.5,0.959677419,819.09,0.995967742,8.13,0.870967742,94.49,0.995967742,67.73,0.995967742,6.97,71.73,0.870967742
2013,1,-15.08,0.923387097,817.34,0.955645161,9.56,0.822580645,79.23,0.955645161,67.56,0.955645161,8.87,73.25,0.822580645
2013,2,-25.59,0.933035714,811.16,0.933035714,12.56,0.767857143,70.72,0.84375,69.81,0.933035714,12.29,68.24,0.767857143
2013,3,-32.29,0.778225806,812.19,0.790322581,17.17,0.463709677,68.67,0.564516129,68.01,0.790322581,16.77,64.73,0.463709677
2013,4,-30.22,0.383333333,806.28,0.391666667,NA,0.208333333,NA,0.233333333,73.52,0.391666667,NA,NA,0.208333333
2013,5,NA,0.225806452,NA,0.233870968,NA,0,NA,0,NA,0.233870968,NA,NA,0
2013,6,-29.58,0.595833333,816.25,0.658333333,12.39,0.25,84.64,0.316666667,74.92,0.658333333,10.7,55.52,0.25
2013,7,NA,0.201612903,NA,0.201612903,NA,0,NA,0,NA,0.201612903,NA,NA,0
2013,8,NA,0.237903226,817.99,0.25,NA,0.02016129,NA,0.02016129,72.5,0.25,NA,NA,0.02016129
2013,9,-27.44,0.329166667,819.06,0.35,NA,0.1875,NA,0.225,73.83,0.35,NA,NA,0.1875
2013,10,-32.01,0.552419355,810.16,0.556451613,NA,0.169354839,NA,0.181451613,65.4,0.556451613,NA,NA,0.169354839
2013,11,-21.28,0.983333333,810.56,0.983333333,14.02,0.779166667,75.08,0.925,65.21,0.983333333,13.75,72.81,0.779166667
2013,12,-14.91,0.983870968,814.98,1,8.72,0.850806452,94.61,0.995967742,65.35,1,7.67,70.82,0.850806452
2014,1,-15.11,0.983870968,819.22,0.995967742,8.98,0.826612903,142.43,0.995967742,69.15,0.995967742,7.55,141.9,0.826612903
2014,2,-25.65,0.955357143,813.82,0.959821429,13.31,0.799107143,133.99,0.919642857,68.9,0.959821429,12.98,136.19,0.799107143
2014,3,-35.8,0.778225806,809.81,0.794354839,17.51,0.35483871,130.5,0.387096774,68.21,0.794354839,17.46,130.08,0.35483871
2014,4,-31.94,0.716666667,811.69,0.716666667,14.38,0.258333333,125.43,0.270833333,71.37,0.716666667,14.17,128.06,0.258333333
2014,5,-33.72,0.584677419,819.26,0.616935484,NA,0.096774194,NA,0.112903226,71,0.616935484,NA,NA,0.096774194
2014,6,-35.45,0.533333333,813.37,0.533333333,NA,0,NA,0,68.84,0.533333333,NA,NA,0
2014,7,-35.4,0.427419355,802.03,0.443548387,NA,0,NA,0,70.37,0.443548387,NA,NA,0
2014,8,-34.42,0.467741935,813.52,0.475806452,NA,0.068548387,NA,0.092741935,67.95,0.475806452,NA,NA,0.068548387
2014,9,-34.53,0.3375,817.45,0.3375,NA,0,NA,0,64.31,0.3375,NA,NA,0
2014,10,-34.21,0.733870968,808.32,0.75,NA,0.161290323,NA,0.161290323,66.3,0.75,NA,NA,0.161290323
2014,11,-22.78,0.9875,811.9,0.9875,13.21,0.804166667,120.86,0.970833333,67.04,0.9875,12.77,127.75,0.804166667
2014,12,-15.71,0.983870968,811.25,1,7.98,0.866935484,120.08,1,65.07,1,7.34,127.08,0.866935484
2015,1,-15.94,0.97983871,816.19,1,9.79,0.858870968,126.53,1,64.07,1,9.52,128.39,0.858870968
2015,2,-22.96,0.924107143,810.36,0.928571429,16.14,0.741071429,130.37,0.883928571,66.03,0.928571429,15.91,132.95,0.741071429
2015,3,-33.61,0.870967742,806.75,0.883064516,18.31,0.524193548,128.76,0.580645161,68.2,0.883064516,18.22,128.93,0.524193548
2015,4,-33.38,0.920833333,804.72,0.945833333,13.51,0.395833333,123.36,0.479166667,68.78,0.945833333,13.28,125.85,0.395833333
2015,5,-37.11,0.858870968,808.49,0.862903226,NA,0,NA,0,64.49,0.862903226,NA,NA,0
2015,6,-36.92,0.595833333,810.71,0.629166667,NA,0.091666667,NA,0.1,65.13,0.629166667,NA,NA,0.091666667
2015,7,-40.28,0.588709677,798.84,0.60483871,NA,0.008064516,NA,0.016129032,64.73,0.60483871,NA,NA,0.008064516
2015,8,-39.28,0.822580645,799.96,0.834677419,NA,0.028225806,NA,0.032258065,64,0.834677419,NA,NA,0.028225806
2015,9,-41.33,0.570833333,801.75,0.570833333,NA,0,NA,0,62.15,0.570833333,NA,NA,0
2015,10,-31.55,0.991935484,811.14,1,14.99,0.387096774,123.6,0.419354839,64.02,1,14.69,127.06,0.387096774
2015,11,-21.69,0.991666667,809.15,1,11.96,0.795833333,123.97,0.95,67.5,1,11.68,126.62,0.795833333
2015,12,-14.85,0.967741935,815.83,1,7.73,0.774193548,119.31,0.846774194,67.11,1,7.06,123.25,0.774193548
2016,1,-17.87,1,813.04,1,12.04,0.891129032,128.18,0.923387097,61.85,1,11.74,132.57,0.891129032
2016,2,-23.59,0.99137931,811.45,0.99137931,15.74,0.762931034,129.11,0.831896552,67.13,0.99137931,15.64,130.55,0.762931034
2016,3,-34.33,0.931451613,803.15,0.935483871,16.8,0.451612903,127.8,0.487903226,66.8,0.935483871,16.75,128.16,0.451612903
2016,4,-35.04,0.9,805.32,0.920833333,14.07,0.25,124.68,0.270833333,67.33,0.920833333,13.96,125.35,0.25
2016,5,-37.26,0.97983871,806.22,1,NA,0.016129032,NA,0.016129032,62.96,1,NA,NA,0.016129032
2016,6,-37.58,0.920833333,805.04,0.941666667,NA,0,NA,0,64.43,0.941666667,NA,NA,0
2016,7,-40.96,0.778225806,803.14,0.778225806,NA,0,NA,0,63.93,0.778225806,NA,NA,0
2016,8,-37.95,0.931451613,811.15,0.955645161,NA,0,NA,0,62.18,0.955645161,NA,NA,0
2016,9,-38.9,0.8375,800.02,0.845833333,NA,0,NA,0,64.82,0.845833333,NA,NA,0
2016,10,-34.04,0.987903226,806.07,0.991935484,NA,0,NA,0,62.19,0.991935484,NA,NA,0
2016,11,-21.05,0.9875,817.2,0.995833333,11.02,0.6625,122.96,0.779166667,61.26,0.995833333,10.71,126.31,0.6625
2016,12,-13.68,0.923387097,819.44,1,6.18,0.891129032,121.84,1,65.16,1,5.34,120.46,0.891129032
2017,1,-15.12,0.97983871,822.21,1,8.61,0.866935484,119.02,1,65.48,1,8.17,123.39,0.866935484
2017,2,-23.42,0.959821429,815.37,1,11.18,0.464285714,138.18,0.522321429,66.25,1,10.57,125.8,0.464285714
2017,3,-32.1,0.967741935,813.72,0.971774194,NA,0.153225806,NA,0.157258065,66.15,0.971774194,NA,NA,0.153225806
2017,4,-37.32,0.779166667,808.82,0.7875,NA,0,NA,0,62.92,0.7875,NA,NA,0
2017,5,-38.09,0.923387097,809.31,0.931451613,NA,0,NA,0,62.88,0.931451613,NA,NA,0
2017,6,-37.37,0.904166667,809.15,0.920833333,NA,0,NA,0,62.98,0.920833333,NA,NA,0
2017,7,-39.38,0.931451613,805.32,0.951612903,NA,0,NA,0,64.17,0.951612903,NA,NA,0
2017,8,-41.42,0.947580645,805,0.951612903,NA,0,NA,0,63.42,0.951612903,NA,NA,0
2017,9,-36.15,0.883333333,800.36,0.941666667,NA,0,NA,0,65.39,0.941666667,NA,NA,0
2017,10,-30.95,0.947580645,813.7,0.983870968,NA,0.008064516,NA,0.008064516,66.78,0.983870968,NA,NA,0.008064516
2017,11,-22.07,1,809.45,1,NA,0.120833333,NA,0.120833333,62.92,1,NA,NA,0.120833333
2017,12,-15.65,0.991935484,814.55,0.995967742,6.62,0.459677419,146.77,0.495967742,64.2,0.995967742,4.76,134.18,0.459677419
2018,1,-15.45,0.991935484,814.31,1,7.8,0.536290323,151.56,0.592741935,67.07,1,5.18,125.43,0.536290323
2018,2,-25.87,0.982142857,807.97,1,NA,0.116071429,NA,0.133928571,65.17,1,NA,NA,0.116071429
2018,3,-30.06,0.943548387,812.93,0.995967742,NA,0.02016129,NA,0.02016129,69.42,0.995967742,NA,NA,0.02016129
2018,4,-37.85,0.991666667,812.65,1,NA,0,NA,0,66.54,1,NA,NA,0
2018,5,-34.59,0.915322581,809.53,0.991935484,NA,0,NA,0,68.41,0.991935484,NA,NA,0
2018,6,-33.13,0.941666667,813.02,0.970833333,NA,0,NA,0,68.02,0.970833333,NA,NA,0
2018,7,-41.33,0.846774194,804.74,0.866935484,NA,0,NA,0,66.43,0.866935484,NA,NA,0
2018,8,-38.38,0.971774194,809.78,0.995967742,NA,0,NA,0,66.74,0.995967742,NA,NA,0
2018,9,-42.66,0.6125,799.26,0.6125,NA,0,NA,0,63.63,0.6125,NA,NA,0
2018,10,NA,0.209677419,NA,0.209677419,NA,0,NA,0,NA,0.209677419,NA,NA,0
2018,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2018,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,4,NA,0.004166667,NA,0.004166667,NA,0,NA,0,NA,0.004166667,NA,NA,0
2019,5,NA,0.004032258,NA,0.004032258,NA,0,NA,0,NA,0.004032258,NA,NA,0
2019,6,NA,0.091666667,NA,0.091666667,NA,0,NA,0,NA,0.091666667,NA,NA,0
2019,7,NA,0.012096774,NA,0.012096774,NA,0,NA,0,NA,0.012096774,NA,NA,0
2019,8,NA,0.004032258,NA,0.004032258,NA,0,NA,0,NA,0.004032258,NA,NA,0
2019,9,NA,0.0125,NA,0.0125,NA,0,NA,0,NA,0.0125,NA,NA,0
2019,10,NA,0.004032258,NA,0.004032258,NA,0,NA,0,NA,0.004032258,NA,NA,0
2019,11,NA,0.008333333,NA,0.008333333,NA,0,NA,0,NA,0.008333333,NA,NA,0
2019,12,-13.64,0.548387097,821.26,0.548387097,NA,0,NA,0,69.01,0.548387097,NA,NA,0
