Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1989,1,NA,0.22983871,991.02,0.387096774,NA,0.165322581,NA,0.205645161,53.7,0.306451613,NA,NA,0.165322581
1989,2,-14.08,0.84375,991.9,1,4.36,0.879464286,86.5,0.973214286,59.9,1,2.83,89.94,0.879464286
1989,3,-20.15,0.846774194,991.42,1,4.31,0.737903226,84.4,0.89516129,64.27,1,3.4,64.22,0.733870968
1989,4,-22.31,0.866666667,995.28,0.9625,5.99,0.629166667,115.55,0.8625,64.87,0.9625,2.7,119.6,0.629166667
1989,5,-30.68,0.814516129,979.62,0.97983871,3.83,0.673387097,89.2,0.858870968,57.32,0.975806452,3.04,55.7,0.673387097
1989,6,-36.44,0.775,988.88,0.995833333,3.72,0.620833333,110.34,0.8,53.17,0.995833333,2.37,56.2,0.608333333
1989,7,-31.39,0.758064516,987.42,0.971774194,4.08,0.665322581,118.56,0.850806452,56.63,0.971774194,1.68,85.04,0.653225806
1989,8,-33.98,0.713709677,992.01,0.991935484,NA,0.169354839,115.05,0.326612903,55.94,0.991935484,NA,NA,0.149193548
1989,9,-30.51,0.791666667,991.41,0.9875,3.78,0.479166667,114.99,0.7125,50.85,0.995833333,1.58,96.33,0.429166667
1989,10,-19.62,0.790322581,982.18,0.967741935,4.57,0.391129032,118.2,0.657258065,53.35,0.967741935,2.25,59.45,0.358870968
1989,11,-11.78,0.295833333,970.24,0.308333333,NA,0.091666667,NA,0.2375,61.61,0.308333333,NA,NA,0.091666667
1989,12,NA,0,NA,0,4.01,0.629032258,160.5,0.697580645,NA,0,3.25,167.85,0.612903226
