Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,11,NA,0.129166667,NA,0.1375,NA,0.0875,NA,0.125,NA,0.1375,NA,NA,0.0875
1999,12,-2.7,0.883064516,977.83,1,4.37,0.810483871,137.42,0.951612903,49.25,1,0.58,53.04,0.810483871
2000,1,-1.23,0.254032258,977.09,0.262096774,NA,0.169354839,159.05,0.254032258,48.15,0.262096774,NA,NA,0.169354839
2000,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2000,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2001,10,NA,0.14516129,NA,0.197580645,NA,0.133064516,NA,0.181451613,NA,0.197580645,NA,NA,0.133064516
2001,11,-8.63,0.908333333,979.9,1,3.48,0.754166667,178.4,0.9375,47.64,1,0.99,7.08,0.745833333
2001,12,-2.37,0.625,974.04,0.705645161,6.7,0.504032258,164.28,0.641129032,55.75,0.705645161,1.67,210.83,0.487903226
2002,1,-0.62,0.447580645,983.31,0.459677419,4.64,0.366935484,187.46,0.459677419,56.15,0.463709677,1.21,227.46,0.366935484
2002,2,-4.43,0.495535714,989.44,0.566964286,3.53,0.491071429,175.58,0.535714286,60.02,0.580357143,0.92,2.74,0.464285714
2002,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,10,NA,0.068548387,NA,0,NA,0.004032258,NA,0.068548387,NA,0.068548387,NA,NA,0.004032258
2002,11,-9.47,0.958333333,985.2,0.758333333,3.38,0.733333333,206.05,0.916666667,52.88,1,1.14,342.49,0.725
2002,12,-3.59,0.883064516,982.66,1,4.44,0.830645161,144.92,0.967741935,63.06,1,0.73,155.97,0.826612903
2003,1,-1.4,0.899193548,994.54,1,4.93,0.75,150.58,0.907258065,62.51,1,0.62,80.21,0.701612903
2003,2,-7.08,0.424107143,992.66,0.53125,3.63,0.397321429,182.69,0.482142857,56.04,0.53125,1.42,354.33,0.383928571
2003,3,-17.71,0.927419355,990.83,1,3.2,0.612903226,240.05,0.858870968,56.49,1,1.16,289.99,0.60483871
2003,4,-23.88,0.904166667,983.66,1,2.72,0.6375,262.54,0.7875,51.83,1,1.25,298.92,0.6375
2003,5,-19.16,0.834677419,983.22,1,3.72,0.528225806,255.07,0.891129032,46.36,1,1.91,280.59,0.524193548
2003,6,-24.62,0.725,999.86,0.8125,2.28,0.554166667,279.68,0.641666667,49.15,0.8125,1.58,309.47,0.554166667
2003,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,12,-1.97,0.685483871,998.15,0.810483871,3.87,0.600806452,133.28,0.786290323,57.89,0.810483871,1.17,92.18,0.600806452
2004,1,-2.34,0.858870968,988.45,1,4.21,0.790322581,143.08,0.943548387,64.24,1,0.52,134.28,0.790322581
2004,2,-3.54,0.857758621,997.73,0.974137931,4.75,0.693965517,184.05,0.905172414,60.14,0.974137931,1.19,293.11,0.681034483
2004,3,-16.66,0.963709677,988.88,1,3.71,0.72983871,273.71,0.903225806,56.54,1,2.47,318.34,0.709677419
2004,4,-22.6,0.875,985.48,1,2.94,0.591666667,256.79,0.816666667,53.2,1,1.58,295,0.5875
2004,5,-26.79,0.842741935,988.43,1,2.69,0.540322581,262.07,0.741935484,47.85,1,1.51,301.81,0.532258065
2004,6,-19.22,0.866666667,984.58,1,3.54,0.545833333,260.46,0.9125,50.42,1,2.01,289.95,0.5375
2004,7,-31.15,0.754032258,984.12,1,2.82,0.681451613,273.93,0.830645161,42.08,1,1.89,307.06,0.677419355
2004,8,-24.75,0.818548387,988.11,1,3.5,0.625,266.7,0.939516129,43.92,1,1.86,299.66,0.625
2004,9,-23.35,0.9125,988.43,1,2.71,0.65,268.06,0.858333333,47.26,1,1.57,306.53,0.645833333
2004,10,-16.09,0.923387097,984.92,1,3.27,0.633064516,208.02,0.834677419,45.3,1,1.13,332.3,0.633064516
2004,11,-10.79,0.320833333,970.41,0.333333333,NA,0.2375,168.86,0.329166667,45.75,0.333333333,NA,NA,0.2375
2004,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,2,NA,0.214285714,NA,0,NA,0.183035714,NA,0.227678571,NA,0.227678571,NA,NA,0.183035714
2005,3,-12.31,0.431451613,NA,0,5.02,0.399193548,251.13,0.427419355,55.82,0.435483871,2.46,263.9,0.39516129
2005,4,-21.61,0.433333333,NA,0,3.12,0.341666667,264.6,0.3625,51.46,0.433333333,1.72,302.96,0.341666667
2005,5,-20.26,0.459677419,NA,0,3.36,0.387096774,266.32,0.427419355,52.35,0.463709677,1.96,290.95,0.387096774
2005,6,-23.77,0.420833333,NA,0,3.77,0.341666667,274.35,0.383333333,48.38,0.45,2.18,286.2,0.341666667
2005,7,-24.4,0.459677419,NA,0,5.64,0.278225806,253.97,0.314516129,53.13,0.47983871,4.08,262.58,0.274193548
2005,8,-23.03,0.411290323,NA,0,4.83,0.35483871,269.68,0.383064516,51.81,0.439516129,2.66,291.15,0.35483871
2005,9,-23.72,0.408333333,NA,0,2.89,0.304166667,249.38,0.3375,43.45,0.433333333,1.17,277.9,0.304166667
2005,10,-14.29,0.653225806,981.32,0.455645161,3.62,0.544354839,227.26,0.25,51.1,0.725806452,NA,NA,0.217741935
