Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1989,10,-1.02,0.467741935,983.84,0.447580645,4.9,0.375,150.31,0.471774194,72.28,0.455645161,0.23,307.43,0.375
1989,11,0.06,0.8,992.45,0.308333333,3.78,0.641666667,160.41,0.775,75.29,0.575,1.56,53.77,0.641666667
1989,12,1.01,0.85483871,NA,0,4.69,0.822580645,133.05,0.943548387,73.75,0.653225806,2.35,80.35,0.822580645
1990,1,1.79,0.834677419,NA,0,4.41,0.790322581,142.83,0.899193548,80.38,0.556451613,2.66,69.82,0.790322581
1990,2,2.25,0.915178571,NA,0,6.75,0.629464286,183.13,0.96875,82.92,0.553571429,1.24,16.99,0.629464286
1990,3,0.42,0.991935484,NA,0,6.34,0.657258065,143,0.963709677,79.88,0.483870968,2.48,47.13,0.657258065
1990,4,-3.11,0.945833333,NA,0,5.33,0.704166667,136.6,0.941666667,79.35,0.833333333,2.34,67.69,0.704166667
1990,5,-4.74,0.919354839,NA,0,5.59,0.689516129,106.76,0.846774194,83.09,0.516129032,3.89,73.88,0.689516129
1990,6,-6.49,0.9375,NA,0,5.14,0.5625,154.64,0.85,84.51,0.475,1.93,72.14,0.5625
1990,7,-7,0.983870968,NA,0,5.66,0.637096774,109.47,0.850806452,90.67,0.516129032,4.03,56.01,0.637096774
1990,8,-7.11,0.983870968,NA,0,5.93,0.584677419,162.92,0.931451613,79.61,0.560483871,1.25,48.13,0.584677419
1990,9,-3.53,0.975,NA,0,5.45,0.6,175.26,0.9625,79.87,0.625,0.66,13.7,0.6
1990,10,-2.57,0.991935484,NA,0,6.8,0.669354839,163.71,0.97983871,80.8,0.633064516,2.1,32.41,0.669354839
1990,11,-1.5,0.983333333,NA,0,6.4,0.6625,167.17,0.9625,74.75,0.666666667,1.06,27.63,0.6625
1990,12,0.24,0.834677419,NA,0,4.33,0.782258065,143.86,0.951612903,78.31,0.681451613,1.22,87.17,0.782258065
1991,1,1.41,0.891129032,NA,0,5.47,0.629032258,156.37,0.875,84.08,0.387096774,3.04,21.12,0.629032258
1991,2,0.5,0.915178571,NA,0,5.96,0.700892857,146.73,0.90625,79.63,0.553571429,2.56,56.25,0.700892857
1991,3,-0.77,0.975806452,NA,0,6.27,0.592741935,143.93,0.907258065,83.5,0.455645161,3.9,55.62,0.592741935
1991,4,-2.4,0.975,NA,0,5.49,0.704166667,117.94,0.916666667,86.34,0.441666667,2.72,65.1,0.704166667
1991,5,-6.61,0.931451613,NA,0,5.27,0.649193548,118.89,0.870967742,81.69,0.633064516,2.33,73.47,0.649193548
1991,6,-9.58,0.929166667,NA,0,4.61,0.633333333,153.77,0.829166667,85.18,0.575,1.27,43.85,0.633333333
1991,7,-5.03,0.927419355,NA,0,7.01,0.592741935,139.39,0.907258065,84.87,0.584677419,2.47,68.33,0.592741935
1991,8,-7.33,0.907258065,NA,0,6.71,0.608870968,174.86,0.875,86.14,0.548387097,3.96,14.7,0.608870968
1991,9,-3.64,0.925,NA,0,5.1,0.6125,152.29,0.8625,86.03,0.4875,1.1,30.32,0.6125
1991,10,-3.55,0.951612903,NA,0,6.23,0.548387097,185.64,0.89516129,73.62,0.733870968,2.04,191.42,0.548387097
1991,11,-1.21,0.925,NA,0,6.31,0.525,190.73,0.866666667,78.16,0.625,2.69,345.41,0.525
1991,12,-2.38,0.564516129,995.51,0.741935484,2.89,0.758064516,147.81,0.818548387,NA,0.165322581,1.88,63.03,0.758064516
1992,1,-1.69,0.568548387,988.37,0.963709677,2.2,0.814516129,141.12,0.826612903,NA,0,1.14,47.89,0.814516129
1992,2,-3.98,0.788793103,984.53,0.939655172,2.13,0.288793103,127,0.288793103,NA,0,1.06,50.98,0.288793103
1992,3,-3.27,0.911290323,988.38,0.939516129,NA,0,NA,0,NA,0,NA,NA,0
1992,4,-4.84,0.870833333,992.51,0.933333333,NA,0,NA,0,NA,0,NA,NA,0
1992,5,-7.77,0.907258065,997.22,0.919354839,NA,0,NA,0,NA,0,NA,NA,0
1992,6,-9.01,0.904166667,1000.15,0.925,NA,0,NA,0,NA,0,NA,NA,0
1992,7,-7.82,0.89516129,993.44,0.911290323,NA,0,NA,0,NA,0,NA,NA,0
1992,8,-5.31,0.826612903,987.81,0.826612903,NA,0,NA,0,NA,0,NA,NA,0
1992,9,-3.78,0.675,983.3,0.675,NA,0,NA,0,NA,0,NA,NA,0
1992,10,-3.17,0.616935484,983.65,0.616935484,NA,0,NA,0,NA,0,NA,NA,0
1992,11,-1.4,0.533333333,990.48,0.533333333,NA,0.170833333,NA,0.191666667,NA,0,NA,NA,0.170833333
1992,12,-0.77,0.439516129,992.66,0.487903226,4.1,0.439516129,113.56,0.455645161,NA,0,2.65,45.83,0.439516129
1993,1,0.03,0.350806452,995.68,0.463709677,3.77,0.431451613,124.52,0.439516129,NA,0,2.17,64.47,0.431451613
1993,2,0.3,0.450892857,991.57,0.517857143,4.27,0.455357143,159.02,0.486607143,NA,0,1.53,48.62,0.455357143
1993,3,-1.31,0.528225806,985.23,0.528225806,5.19,0.471774194,173.7,0.516129032,NA,0,0.88,24.87,0.471774194
1993,4,-2.65,0.575,985.03,0.575,7.43,0.445833333,165.68,0.554166667,NA,0,0.65,344.35,0.445833333
1993,5,-3.75,0.693548387,985.95,0.697580645,8.06,0.491935484,131.86,0.685483871,NA,0,2.44,48.95,0.491935484
1993,6,-4.76,0.541666667,992.61,0.541666667,5.46,0.370833333,171.61,0.470833333,NA,0,2.03,168.94,0.370833333
1993,7,NA,0.052419355,NA,0.052419355,NA,0.036290323,NA,0.040322581,NA,0,NA,NA,0.036290323
1993,8,NA,0.052419355,NA,0.052419355,NA,0.044354839,NA,0.052419355,NA,0,NA,NA,0.044354839
1993,9,-4.53,0.445833333,980.1,0.445833333,7.93,0.329166667,163.28,0.429166667,NA,0,2.21,196.49,0.329166667
1993,10,-2.64,0.467741935,981.25,0.467741935,7.32,0.35483871,177.73,0.435483871,NA,0,3.28,206.68,0.35483871
1993,11,-7.21,0.433333333,981.33,0.441666667,7.52,0.383333333,163.31,0.420833333,NA,0,3.7,37.08,0.383333333
1993,12,-1.89,0.491935484,981.93,0.572580645,5.46,0.504032258,161.09,0.552419355,NA,0,1.36,78.86,0.504032258
1994,1,0.32,0.576612903,982.19,0.717741935,5.64,0.556451613,151.25,0.713709677,NA,0,2.34,69.05,0.556451613
1994,2,0.51,0.674107143,982.73,0.723214286,6.79,0.495535714,151.31,0.647321429,NA,0,2.43,60.39,0.495535714
1994,3,-0.24,0.403225806,991.06,0.399193548,5.48,0.318548387,171.14,0.366935484,NA,0,0.68,184.02,0.318548387
1994,4,-1.93,0.3,994.29,0.3,NA,0.245833333,131.46,0.2875,NA,0,NA,NA,0.245833333
1994,5,NA,0.141129032,NA,0.141129032,NA,0.120967742,NA,0.129032258,NA,0,NA,NA,0.120967742
1994,6,NA,0.004166667,NA,0.004166667,NA,0.004166667,NA,0.004166667,NA,0,NA,NA,0.004166667
1994,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,8,NA,0.004032258,NA,0,NA,0.004032258,NA,0.004032258,NA,0,NA,NA,0.004032258
1994,9,NA,0.220833333,NA,0.220833333,NA,0.2,NA,0.216666667,NA,0,NA,NA,0.2
1994,10,-5.96,0.419354839,985.87,0.435483871,6.03,0.358870968,175.53,0.415322581,NA,0,0.25,160.34,0.358870968
1994,11,-0.6,0.641666667,989.8,0.658333333,6.49,0.525,120.72,0.620833333,NA,0,4.57,53.64,0.525
1994,12,0.51,0.516129032,986,0.649193548,4.75,0.47983871,160.3,0.584677419,NA,0,1.53,21.28,0.47983871
1995,1,1.45,0.560483871,989.42,0.665322581,5.79,0.560483871,138.33,0.641129032,NA,0,3.77,39.13,0.560483871
1995,2,1.34,0.5625,986.44,0.620535714,6.92,0.388392857,166.73,0.602678571,NA,0,3.34,10.67,0.388392857
1995,3,-0.32,0.633064516,982.37,0.633064516,8.02,0.407258065,175.03,0.612903226,NA,0,1.5,100.44,0.407258065
1995,4,-2.08,0.825,985.92,0.820833333,7.9,0.5125,113.01,0.804166667,NA,0,5.64,42.04,0.5125
1995,5,-3.36,0.419354839,982.58,0.419354839,7.77,0.254032258,176.18,0.39516129,NA,0,1.93,353.14,0.254032258
1995,6,-3.25,0.429166667,988.02,0.429166667,6.71,0.270833333,116.33,0.416666667,NA,0,3.93,82.18,0.270833333
1995,7,NA,0.008064516,NA,0.008064516,NA,0.008064516,NA,0.008064516,NA,0,NA,NA,0.008064516
1995,8,NA,0.036290323,NA,0.036290323,NA,0.032258065,NA,0.032258065,NA,0,NA,NA,0.032258065
1995,9,NA,0.045833333,NA,0.045833333,NA,0.0375,NA,0.0375,NA,0,NA,NA,0.0375
1995,10,-2.17,0.508064516,990.23,0.548387097,6.16,0.334677419,156.88,0.471774194,NA,0,2.73,14.6,0.334677419
1995,11,-1.4,0.816666667,979.97,0.8375,7.27,0.495833333,159.44,0.783333333,NA,0,2.78,77.7,0.495833333
1995,12,0.79,0.681451613,982.02,0.725806452,6.37,0.487903226,157.94,0.689516129,NA,0,1.29,40.53,0.487903226
1996,1,1.74,0.600806452,988.98,0.709677419,4.91,0.495967742,171.56,0.665322581,NA,0,1.89,43.29,0.495967742
1996,2,1.15,0.762931034,985.79,0.827586207,6.2,0.612068966,155.47,0.775862069,NA,0,1.72,43.4,0.612068966
1996,3,0.06,0.955645161,982.25,0.959677419,6.38,0.556451613,140.09,0.927419355,NA,0,1.96,36.29,0.556451613
