Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,1,NA,0.173387097,NA,0.213709677,NA,0.213709677,NA,0.213709677,NA,0,NA,NA,0.213709677
1994,2,-20.39,0.352678571,845.56,0.401785714,5.5,0.388392857,68.34,0.388392857,NA,0,5.17,43.04,0.388392857
1994,3,-31.86,0.439516129,843.23,0.487903226,5.46,0.443548387,71.11,0.459677419,NA,0,5.07,52.36,0.443548387
1994,4,-36.26,0.441666667,845.41,0.466666667,6.7,0.3875,61.1,0.433333333,NA,0,6.28,60.51,0.3875
1994,5,-37.86,0.451612903,847.64,0.459677419,6.25,0.25,69.99,0.286290323,NA,0,4.85,45.66,0.25
1994,6,-35.21,0.475,858.14,0.491666667,NA,0.0125,NA,0.0125,NA,0,NA,NA,0.0125
1994,7,-40.3,0.35483871,844.37,0.362903226,NA,0,NA,0,NA,0,NA,NA,0
1994,8,-38.39,0.387096774,838.82,0.403225806,NA,0.116935484,NA,0.133064516,NA,0,NA,NA,0.116935484
1994,9,-34.96,0.345833333,845.41,0.3625,NA,0.141666667,NA,0.166666667,NA,0,NA,NA,0.141666667
1994,10,-31.44,0.379032258,843.07,0.399193548,NA,0.032258065,NA,0.044354839,NA,0,NA,NA,0.032258065
1994,11,-20.69,0.3625,851.08,0.375,4.97,0.333333333,78.56,0.341666667,NA,0,4.28,47.64,0.333333333
1994,12,-14.78,0.314516129,843.83,0.403225806,4.33,0.334677419,94.24,0.334677419,NA,0,3.78,40.37,0.334677419
1995,1,-16.25,0.254032258,848.09,0.379032258,2.79,0.326612903,117.44,0.326612903,NA,0,1.98,50.38,0.326612903
1995,2,-20.67,0.28125,847.69,0.339285714,5.37,0.28125,75.89,0.285714286,NA,0,4.63,52.02,0.28125
1995,3,-25.59,0.370967742,847.26,0.383064516,6.98,0.366935484,72.45,0.375,NA,0,6.42,51.64,0.366935484
1995,4,-36.85,0.3375,844.88,0.366666667,7.25,0.291666667,64.93,0.308333333,NA,0,6.57,52.6,0.291666667
1995,5,-38.11,0.342741935,841.04,0.358870968,6.04,0.302419355,65.73,0.342741935,NA,0,5.61,51.39,0.302419355
1995,6,-30.85,0.3875,850.38,0.4,8.08,0.3625,50.17,0.3875,NA,0,7.73,49.39,0.3625
1995,7,NA,0.221774194,NA,0.22983871,NA,0.153225806,NA,0.173387097,NA,0,NA,NA,0.153225806
1995,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,9,NA,0.020833333,NA,0.020833333,NA,0.008333333,NA,0.008333333,NA,0,NA,NA,0.008333333
1995,10,-28.11,0.290322581,847.3,0.314516129,NA,0.012096774,NA,0.012096774,NA,0,NA,NA,0.012096774
1995,11,-21.43,0.354166667,846.91,0.3625,7.61,0.270833333,57.2,0.291666667,NA,0,7.32,52.35,0.270833333
1995,12,-11.77,0.25,845.52,0.322580645,3.9,0.290322581,79.78,0.294354839,NA,0,2.8,40.42,0.290322581
