Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1995,2,-37.29,0.459821429,641.89,0.977678571,6.53,0.959821429,108.5,0.977678571,NA,0,6,105.64,0.959821429
1995,3,-49.86,0.774193548,638.16,0.995967742,7.88,0.975806452,128.05,0.995967742,NA,0,7.55,128.49,0.975806452
1995,4,-53.94,0.954166667,636.91,1,6.38,0.970833333,126.81,0.995833333,NA,0,5.98,120.73,0.970833333
1995,5,-60.94,0.959677419,629.51,1,6.48,0.995967742,133.2,1,NA,0,6.21,131.31,0.995967742
1995,6,-61.4,0.954166667,633.86,1,8.24,0.9875,135.93,1,NA,0,8.05,134.58,0.9875
1995,7,-50.25,0.967741935,643.38,1,8.97,0.987903226,111.5,1,NA,0,8.54,110.21,0.987903226
1995,8,-63.67,0.963709677,630.12,1,6.73,0.967741935,141.38,1,NA,0,6.53,139.98,0.967741935
1995,9,-60.65,0.854166667,621.25,1,7.32,1,130.15,1,NA,0,6.97,127.28,1
1995,10,-51.11,0.495967742,634.32,0.987903226,8.07,0.983870968,129.81,0.987903226,NA,0,7.78,127.57,0.983870968
1995,11,-37.62,0.483333333,639.68,1,7.63,0.979166667,114.71,1,NA,0,7.31,114.07,0.979166667
1995,12,-30.03,0.524193548,642.43,1,6.58,0.963709677,120.28,1,NA,0,6.16,118.37,0.963709677
1996,1,-29.86,0.548387097,646.24,0.971774194,5.74,0.951612903,111.72,0.963709677,NA,0,5.03,104.86,0.951612903
1996,2,-38.58,0.396551724,646.03,0.995689655,6.72,0.987068966,127.99,0.995689655,NA,0,6.45,125.17,0.987068966
1996,3,-51.51,0.737903226,635.17,0.995967742,6.89,0.983870968,129.8,0.995967742,NA,0,6.56,126.64,0.983870968
1996,4,-56.03,0.954166667,634.3,1,7.65,1,130.49,0.9875,NA,0,7.28,128.09,0.9875
1996,5,-63.72,0.963709677,629.01,1,6.86,0.97983871,133.45,1,NA,0,6.49,132.46,0.97983871
1996,6,-58.84,0.929166667,635.29,1,6.74,1,124.18,1,NA,0,6.26,121.28,1
1996,7,-58.07,0.919354839,638.22,0.967741935,7.08,0.963709677,136.02,0.967741935,NA,0,6.53,131.62,0.963709677
1996,8,-54.15,0.975806452,638.25,1,9.57,0.97983871,125.85,1,NA,0,9.46,125.85,0.97983871
1996,9,-53.86,0.783333333,642.45,0.983333333,6.38,0.979166667,127.79,0.983333333,NA,0,5.81,125.14,0.979166667
1996,10,-52.25,0.47983871,630.22,1,6.35,0.991935484,126.74,0.991935484,NA,0,6.13,125.24,0.991935484
1996,11,-38.16,0.425,644.11,0.9875,6.8,0.954166667,112,0.9875,NA,0,6.48,111.73,0.954166667
1996,12,-29.44,0.653225806,647.52,1,7.74,0.959677419,103.8,1,NA,0,7.26,103.65,0.959677419
1997,1,-30.55,0.447580645,645.65,1,5.7,0.967741935,112.72,0.991935484,NA,0,5.37,111.08,0.967741935
1997,2,-39.58,0.424107143,642.52,0.982142857,6.74,0.950892857,125.82,0.982142857,NA,0,6.49,125.42,0.950892857
1997,3,-50.78,0.72983871,633.86,0.987903226,6.76,0.967741935,126.67,0.987903226,NA,0,6.55,126.02,0.967741935
1997,4,-58.2,0.925,637.28,1,6.93,1,129.33,1,NA,0,6.49,127.64,1
1997,5,-61.52,0.959677419,630.15,1,6.81,0.987903226,134.91,1,NA,0,6.45,134.38,0.987903226
1997,6,-57.89,0.954166667,640.25,0.995833333,7.61,0.983333333,131.42,0.983333333,NA,0,7.04,130.91,0.970833333
1997,7,-63.42,0.975806452,626.21,1,6.39,0.991935484,140.44,1,NA,0,5.72,137.78,0.991935484
1997,8,-60.38,0.939516129,628.85,1,7.85,0.97983871,130.01,1,NA,0,7.49,128.98,0.97983871
1997,9,-59.49,0.854166667,629.29,1,8.76,0.991666667,140.43,0.9875,NA,0,8.39,139.93,0.979166667
1997,10,-49.48,0.495967742,632.33,1,8.01,0.97983871,123.67,0.987903226,NA,0,7.44,121.59,0.971774194
1997,11,-35.42,0.479166667,647.65,0.983333333,9.19,0.9375,126.86,0.983333333,NA,0,8.49,124.77,0.9375
1997,12,-27.05,0.689516129,648.23,1,6.95,0.991935484,102.22,1,NA,0,6.15,96.24,0.991935484
1998,1,-30.27,0.467741935,643.2,1,5.91,0.987903226,113.8,1,NA,0,5.58,112.26,0.987903226
1998,2,-38.12,0.450892857,640.07,0.991071429,6.71,0.977678571,118.01,0.986607143,NA,0,6.42,118.29,0.977678571
1998,3,-51.36,0.709677419,636.72,0.959677419,6.24,0.955645161,130.11,0.959677419,NA,0,6.06,129.57,0.955645161
1998,4,-59.21,0.904166667,623.75,1,6.97,0.9625,142.22,0.9875,NA,0,6.19,139.62,0.95
1998,5,-55.27,0.923387097,635.65,1,7.54,0.987903226,132.94,1,NA,0,6.84,134.78,0.987903226
1998,6,-55.93,0.925,633.56,1,7.54,0.995833333,123.17,1,NA,0,7.11,123.79,0.995833333
