Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1993,1,-3.53,0.75,NA,0,NA,0.213709677,233.39,0.737903226,58.07,0.766129032,NA,NA,0.209677419
1993,2,-9.65,0.955357143,NA,0,NA,0.151785714,248.78,0.839285714,44.63,0.986607143,NA,NA,0.116071429
1993,3,-16.56,0.971774194,NA,0,NA,0.169354839,250.92,0.919354839,39.64,0.995967742,NA,NA,0.169354839
1993,4,-20.99,0.9375,NA,0,NA,0.108333333,247.2,0.9375,34.17,0.9875,NA,NA,0.108333333
1993,5,-25.77,0.987903226,NA,0,3.61,0.306451613,235.53,0.875,36.21,0.995967742,2.05,259.91,0.302419355
1993,6,-23.28,0.958333333,NA,0,NA,0.145833333,241.98,0.8625,49.22,0.975,NA,NA,0.120833333
1993,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,11,-8.12,0.654166667,NA,0,NA,0.1875,230.93,0.625,50.23,0.658333333,NA,NA,0.175
1993,12,-6.01,0.971774194,NA,0,NA,0.221774194,239.64,0.887096774,49.86,0.975806452,NA,NA,0.221774194
1994,1,-3.44,0.975806452,982.96,0.27016129,NA,0.153225806,208.21,0.27016129,46.02,1,NA,NA,0.153225806
1994,2,-10.94,0.959821429,958.23,0.495535714,NA,0.111607143,259.81,0.464285714,45.34,0.973214286,NA,NA,0.107142857
1994,3,-20.31,0.983870968,951.77,1,NA,0.153225806,249.73,0.891129032,36.41,1,NA,NA,0.149193548
1994,4,-17.92,0.995833333,959.76,1,4.7,0.295833333,233.85,0.8875,43.85,0.995833333,0.84,284.89,0.270833333
1994,5,-25.53,0.971774194,957.11,0.991935484,NA,0.237903226,250,0.903225806,42.22,0.995967742,NA,NA,0.221774194
1994,6,-22.68,0.908333333,971.69,1,9.37,0.258333333,250.36,0.925,NA,0.0875,NA,NA,0.241666667
1994,7,-22.4,0.806451613,961.53,0.995967742,9.44,0.274193548,242.95,0.903225806,NA,0,4.13,263.75,0.258064516
1994,8,NA,0,948.87,0.987903226,5.43,0.27016129,243.92,0.89516129,NA,0,3.12,287.73,0.266129032
1994,9,NA,0,961.49,0.9875,NA,0.216666667,236.61,0.958333333,NA,0,NA,NA,0.2125
1994,10,NA,0,951.27,0.983870968,NA,0.241935484,243.88,0.915322581,NA,0,NA,NA,0.237903226
1994,11,-9.68,0.566666667,958.44,0.7375,5.31,0.254166667,233.1,0.7,34.26,0.5625,2.25,298.64,0.254166667
1994,12,-4.17,0.963709677,955.17,1,5.17,0.379032258,221.65,0.97983871,54.7,0.995967742,1.35,239.78,0.379032258
1995,1,-3.88,0.987903226,955.26,1,6.38,0.262096774,236.74,0.951612903,48.71,0.995967742,2.66,269.88,0.25
1995,2,-7.8,0.973214286,955.15,1,NA,0.125,252.69,0.861607143,43.74,1,NA,NA,0.125
1995,3,-15.97,0.97983871,963.47,1,NA,0.197580645,269.39,0.862903226,44.13,0.995967742,NA,NA,0.177419355
1995,4,-19.84,0.925,956.36,0.995833333,NA,0.195833333,243.48,0.945833333,42.53,1,NA,NA,0.195833333
1995,5,-21.8,0.947580645,953.26,1,NA,0.197580645,239.95,0.870967742,43.86,1,NA,NA,0.165322581
1995,6,-22.41,0.895833333,961.85,0.991666667,NA,0.125,247.03,0.925,34.87,1,NA,NA,0.120833333
1995,7,-22.02,0.943548387,973.43,1,NA,0.137096774,245.24,0.923387097,35.96,1,NA,NA,0.133064516
1995,8,-21.1,0.951612903,958.52,0.987903226,13.11,0.266129032,251.39,0.870967742,37.3,0.995967742,NA,NA,0.241935484
1995,9,-22.25,0.95,950.61,1,6.29,0.325,235.42,0.883333333,43.93,1,4.19,288.98,0.325
1995,10,-17.12,0.97983871,953.18,0.995967742,NA,0.22983871,236.05,0.887096774,41.22,1,NA,NA,0.217741935
1995,11,-9.05,0.866666667,952.22,0.9,16.64,0.254166667,254.39,0.825,40.71,0.9,13.6,270.9,0.25
1995,12,-1.97,0.834677419,952.57,0.879032258,6.4,0.407258065,218.37,0.842741935,48.37,0.883064516,1.82,269.35,0.39516129
1996,1,-3.57,0.97983871,960.11,0.995967742,NA,0.225806452,246.2,0.943548387,47.18,0.995967742,NA,NA,0.221774194
1996,2,-7.4,0.965517241,963.57,1,NA,0.202586207,252.36,0.857758621,47.9,0.995689655,NA,NA,0.172413793
