Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2000,2,-9.49,0.676724138,935.5,0.672413793,NA,0,137.96,0.642241379,54.37,0.676724138,NA,NA,0
2000,3,-13.75,0.633064516,934.88,0.649193548,NA,0,125.73,0.616935484,58.42,0.649193548,NA,NA,0
2000,4,-13.95,0.608333333,937.71,0.608333333,NA,0,141.78,0.5625,55.65,0.6125,NA,NA,0
2000,5,-20.5,0.580645161,932.94,0.629032258,NA,0,149.52,0.556451613,57.72,0.629032258,NA,NA,0
2000,6,-17.61,0.641666667,939.25,0.658333333,NA,0,138.08,0.654166667,58.61,0.658333333,NA,NA,0
2000,7,-20.29,0.612903226,936.93,0.633064516,NA,0,141.94,0.564516129,51.81,0.633064516,NA,NA,0
2000,8,-18.32,0.620967742,934.7,0.661290323,NA,0,146.51,0.616935484,46.13,0.661290323,NA,NA,0
2000,9,-18.03,0.5875,938.84,0.629166667,NA,0,143.43,0.6125,47.18,0.633333333,NA,NA,0
2000,10,-19.06,0.596774194,930.86,0.665322581,NA,0,151.96,0.641129032,41.48,0.665322581,NA,NA,0
2000,11,-7.96,0.6125,940.39,0.645833333,NA,0,130.46,0.633333333,58.35,0.65,NA,NA,0
2000,12,-4.06,0.641129032,944.57,0.649193548,NA,0,141.04,0.637096774,61.96,0.649193548,NA,NA,0
2001,1,-3.26,0.625,938.04,0.649193548,NA,0,142.01,0.633064516,58.71,0.649193548,NA,NA,0
2001,2,-7.6,0.776785714,941.68,0.799107143,NA,0,135.17,0.785714286,69.75,0.799107143,NA,NA,0
2001,3,-12.55,0.745967742,938.23,0.778225806,NA,0,143.01,0.782258065,48.6,0.782258065,NA,NA,0
2001,4,-18.51,0.654166667,932.37,0.683333333,NA,0,141.27,0.658333333,51.83,0.683333333,NA,NA,0
2001,5,-16.68,0.685483871,938.92,0.705645161,NA,0,133.05,0.693548387,47.5,0.697580645,NA,NA,0
2001,6,-18.17,0.641666667,938.63,0.691666667,NA,0,158,0.6125,48.52,0.683333333,NA,NA,0
2001,7,-19.21,0.584677419,939.67,0.612903226,NA,0,145.99,0.560483871,42.89,0.608870968,NA,NA,0
2001,8,-23.99,0.439516129,929.82,0.451612903,NA,0,150.56,0.435483871,54.16,0.455645161,NA,NA,0
2001,9,-20.8,0.516666667,931.57,0.516666667,NA,0,140.73,0.504166667,44.54,0.520833333,NA,NA,0
2001,10,-15.57,0.568548387,930.32,0.584677419,NA,0,134.15,0.572580645,44.94,0.584677419,NA,NA,0
2001,11,-8.92,0.625,931.46,0.6375,NA,0,134.13,0.645833333,55.12,0.645833333,NA,NA,0
2001,12,-4.85,0.560483871,927.58,0.584677419,NA,0,123.25,0.580645161,70.12,0.584677419,NA,NA,0
