Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1982,1,-10.68,0.766129032,868,0.987903226,5.29,0.911290323,202.53,0.911290323,NA,0,2.36,187.85,0.870967742
1982,2,-19.68,0.625,862.44,0.986607143,3.78,0.955357143,182.17,0.946428571,NA,0,2.31,178.32,0.928571429
1982,3,-27.5,0.883064516,857.27,1,5.04,0.971774194,195.68,0.931451613,NA,0,3.37,176.15,0.919354839
1982,4,-33.44,0.908333333,850.13,0.995833333,5.83,0.9125,191.63,0.958333333,NA,0,4.29,174.38,0.883333333
1982,5,-30.26,0.866935484,857.33,1,5.85,0.842741935,194.84,0.927419355,NA,0,2.68,209.58,0.818548387
1982,6,-27.19,0.804166667,861.89,1,5.91,0.85,222.82,0.95,NA,0,2.42,253.64,0.820833333
1982,7,-34.06,0.846774194,861.67,1,6.4,0.870967742,226.02,0.939516129,NA,0,5.06,232.46,0.850806452
1982,8,-31.02,0.834677419,858.47,1,6.43,0.85483871,231.27,0.866935484,NA,0,3.62,227.73,0.77016129
1982,9,-31.41,0.854166667,853.96,1,5.27,0.858333333,216.97,0.954166667,NA,0,1.5,217,0.858333333
1982,10,-26.31,0.862903226,855.9,1,5.52,0.903225806,181.03,0.951612903,NA,0,2.16,171.79,0.858870968
1982,11,-18.68,0.720833333,863.08,1,4.5,0.941666667,195.67,0.904166667,NA,0,2.28,175.66,0.8875
1982,12,-12.67,0.685483871,871.37,0.947580645,4.63,0.907258065,167.82,0.879032258,NA,0,3.15,154.2,0.858870968
1983,1,-12.96,0.725806452,869.43,1,4.26,0.959677419,169.63,0.931451613,NA,0,1.95,155.77,0.919354839
1983,2,-17.16,0.776785714,864.57,0.919642857,6.39,0.870535714,159.39,0.883928571,NA,0,3.62,140.26,0.857142857
1983,3,-24.76,0.806451613,863.39,0.923387097,4.81,0.870967742,198.71,0.875,NA,0,2.72,206.64,0.846774194
1983,4,-25.48,0.854166667,864.58,0.991666667,5.29,0.895833333,200.87,0.9625,NA,0,1.95,208.75,0.875
1983,5,-28.76,0.85483871,867.25,0.987903226,4.05,0.89516129,163.38,0.903225806,NA,0,2.4,144.5,0.862903226
1983,6,-36.39,0.7625,860.86,0.970833333,4.35,0.858333333,212.51,0.9125,NA,0,2.36,217.74,0.841666667
1983,7,-37.74,0.891129032,854.76,1,4.05,0.89516129,173.41,0.939516129,NA,0,2.73,153.72,0.875
1983,8,-34.72,0.77016129,850.16,0.903225806,6.76,0.758064516,169.43,0.838709677,NA,0,4.36,155.99,0.72983871
1983,9,-30.26,0.795833333,858.42,0.991666667,5.17,0.808333333,200.01,0.925,NA,0,2.48,224.48,0.808333333
1983,10,-28.04,0.842741935,849.48,1,5.7,0.866935484,188.17,0.927419355,NA,0,1.78,197.01,0.818548387
1983,11,-23.2,0.7,854.38,0.841666667,5.15,0.770833333,168.79,0.791666667,NA,0,3.58,148.14,0.758333333
1983,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1984,1,-13.78,0.782258065,868.72,0.995967742,5.04,0.959677419,176.36,0.967741935,NA,0,3.67,163.16,0.959677419
1984,2,-16.78,0.793103448,866.44,1,5.09,0.948275862,189.37,0.969827586,NA,0,2.87,183.1,0.948275862
1984,3,-21.6,0.903225806,862.88,1,3.95,0.919354839,179.72,0.971774194,NA,0,1.03,197.78,0.919354839
1984,4,-28.07,0.8875,859.82,0.9875,5.68,0.933333333,184.76,0.966666667,NA,0,3.69,180.51,0.933333333
1984,5,-28.29,0.826612903,864.24,1,4.8,0.935483871,229.5,0.983870968,NA,0,2.84,228.65,0.935483871
1984,6,-26.61,0.804166667,866.82,1,7.07,0.558333333,230.68,0.7,NA,0,5.13,264.64,0.558333333
1984,7,-31.75,0.810483871,852.24,1,8.19,0.758064516,194.02,0.975806452,NA,0,2.58,267.36,0.758064516
1984,8,-32.42,0.883064516,855.1,1,6.33,0.822580645,172.64,0.919354839,NA,0,3.4,162,0.790322581
1984,9,-31.66,0.845833333,853.02,1,5.93,0.766666667,159.43,0.8625,NA,0,4.62,159.37,0.708333333
1984,10,-24.1,0.77016129,860.68,0.995967742,5.74,0.814516129,227.39,0.798387097,NA,0,3.8,247.98,0.721774194
1984,11,-19.08,0.904166667,858.35,0.983333333,6.13,0.845833333,163.2,0.916666667,NA,0,3.99,155.13,0.829166667
1984,12,-13.22,0.616935484,872.54,0.677419355,4.8,0.625,146.19,0.669354839,NA,0,3.02,127.93,0.625
1985,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
