Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,12,NA,0.116935484,NA,0,NA,0.141129032,NA,0.157258065,NA,0.165322581,NA,NA,0.141129032
1995,1,-12.24,0.709677419,NA,0,10.93,0.762096774,230.46,0.818548387,64.85,0.866935484,10.6,356.57,0.713709677
1995,2,-14.67,0.875,879.95,0.96875,13.72,0.84375,188.18,0.941964286,78.75,0.96875,13.16,188.45,0.816964286
1995,3,-18.54,0.983870968,880.11,1,17.01,0.846774194,185.59,0.959677419,84.44,1,16.76,185.57,0.806451613
1995,4,-21.1,0.9875,876.81,1,14.63,0.775,185.11,0.983333333,82.55,1,14.26,187.63,0.7625
1995,5,-26.17,0.97983871,873.35,1,14.78,0.794354839,190.04,0.947580645,79.95,1,14.31,192.21,0.754032258
1995,6,-23.26,0.983333333,886.16,0.995833333,16.18,0.7,194.48,0.983333333,81.19,0.995833333,15.64,193.31,0.6875
1995,7,-24.34,0.975806452,892.9,0.991935484,18.34,0.649193548,193.33,0.991935484,77.65,0.991935484,18.02,192.85,0.649193548
1995,8,-23.8,0.959677419,881.71,0.967741935,15.64,0.774193548,187.87,0.955645161,79.1,0.947580645,15.14,188.03,0.762096774
1995,9,-25.01,0.9875,871.52,0.995833333,14.93,0.8375,192.93,0.983333333,77.99,0.995833333,14.74,193.47,0.825
1995,10,-24.98,0.883064516,873.1,0.975806452,14.92,0.822580645,192.13,0.959677419,70.9,0.975806452,14.83,193.16,0.814516129
1995,11,-19.13,0.420833333,876.23,0.541666667,13.27,0.408333333,190.2,0.541666667,56.28,0.541666667,13.17,190.75,0.408333333
1995,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,1,-10.47,0.620967742,888.26,0.681451613,13.79,0.556451613,188.62,0.653225806,67.54,0.681451613,13.61,189.91,0.528225806
1996,2,-13.55,0.612068966,890.45,0.668103448,13.15,0.556034483,188.46,0.655172414,69.65,0.668103448,13.07,188.68,0.543103448
1996,3,-19.64,0.330645161,875.09,0.330645161,NA,0.22983871,192.3,0.330645161,84.27,0.330645161,NA,NA,0.22983871
1996,4,-21.13,0.925,880.73,0.954166667,14.38,0.733333333,194.8,0.916666667,81.03,0.954166667,14.09,194.13,0.704166667
1996,5,-27.6,0.826612903,874.12,0.842741935,14.71,0.633064516,190.05,0.786290323,77.19,0.838709677,14.46,190.68,0.588709677
1996,6,-27.33,0.85,877.69,0.875,14.36,0.633333333,196.54,0.875,75.46,0.875,14.18,197.04,0.633333333
1996,7,-24.18,0.866935484,886.77,0.879032258,15.35,0.75,195.19,0.866935484,78.9,0.879032258,15.14,195.02,0.741935484
1996,8,-22.68,0.758064516,882.51,0.790322581,17.41,0.568548387,191.37,0.778225806,76.27,0.790322581,17.22,191.85,0.568548387
1996,9,-23.38,0.691666667,878.73,0.725,18.48,0.575,189.04,0.725,66.93,0.725,18.43,188.77,0.575
1996,10,NA,0.024193548,NA,0.024193548,NA,0.016129032,NA,0.024193548,NA,0.024193548,NA,NA,0.016129032
1996,11,-13.59,0.725,887.85,0.9125,11.77,0.758333333,183.46,0.870833333,71.42,0.904166667,11.59,185.64,0.7375
1996,12,-9.1,0.629032258,885.53,0.697580645,11.99,0.572580645,181.8,0.681451613,76.11,0.697580645,11.8,182.35,0.568548387
1997,1,-7.92,0.262096774,878.18,0.286290323,NA,0.225806452,178.61,0.286290323,81.93,0.27016129,NA,NA,0.225806452
1997,2,-13.93,0.433035714,880.2,0.450892857,NA,0,NA,0,84.21,0.4375,NA,NA,0
1997,3,-19.48,0.677419355,873.79,0.709677419,NA,0,NA,0,80.41,0.709677419,NA,NA,0
1997,4,-23.62,0.95,879.73,0.9625,NA,0,NA,0,71.52,0.9625,NA,NA,0
1997,5,-28.99,0.947580645,873.77,0.951612903,NA,0,NA,0,69.47,0.951612903,NA,NA,0
1997,6,-24.55,0.6375,885.34,0.6375,NA,0,NA,0,74.88,0.6375,NA,NA,0
1997,7,-29.2,0.725806452,875.34,0.762096774,NA,0,NA,0,69.96,0.762096774,NA,NA,0
1997,8,-26.59,0.294354839,877.18,0.302419355,NA,0,NA,0,78.47,0.302419355,NA,NA,0
1997,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,10,-21.82,0.620967742,873.93,0.721774194,NA,0,NA,0,68.49,0.721774194,NA,NA,0
1997,11,-12.35,0.7875,883,0.891666667,NA,0,NA,0,71.33,0.8875,NA,NA,0
1997,12,-9.71,0.89516129,888.17,0.947580645,NA,0,NA,0,76.95,0.943548387,NA,NA,0
1998,1,-10.47,0.879032258,882.84,0.943548387,NA,0,NA,0,78.09,0.935483871,NA,NA,0
1998,2,-12.35,0.897321429,877.36,0.941964286,NA,0,NA,0,83.02,0.910714286,NA,NA,0
1998,3,-21.56,0.89516129,875.35,0.931451613,NA,0,NA,0,80.99,0.931451613,NA,NA,0
1998,4,-24.14,0.9,871.51,0.916666667,NA,0,NA,0,79.1,0.916666667,NA,NA,0
1998,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1998,9,-24.13,0.729166667,874.27,0.758333333,NA,0,NA,0,80.48,0.758333333,NA,NA,0
1998,10,NA,0.133064516,NA,0.149193548,NA,0,NA,0,NA,0.149193548,NA,NA,0
1998,11,NA,0.125,NA,0.145833333,NA,0,NA,0,NA,0.145833333,NA,NA,0
1998,12,-9.86,0.467741935,875.29,0.544354839,NA,0,NA,0,76.7,0.536290323,NA,NA,0
1999,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,5,NA,0.008064516,NA,0.008064516,NA,0,NA,0,NA,0.008064516,NA,NA,0
1999,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,8,-27.71,0.387096774,875.94,0.387096774,NA,0,NA,0,80.39,0.387096774,NA,NA,0
1999,9,-27.2,0.958333333,876.93,0.991666667,NA,0,NA,0,78.46,0.991666667,NA,NA,0
1999,10,-21.13,0.842741935,870.5,1,NA,0,NA,0,71.55,1,NA,NA,0
1999,11,-15.26,0.6875,875.41,1,NA,0,NA,0,66.83,1,NA,NA,0
1999,12,-11.18,0.778225806,874.96,0.991935484,NA,0,NA,0,69.54,0.991935484,NA,NA,0
2000,1,-11.51,0.786290323,878.6,1,NA,0,NA,0,72.74,0.991935484,NA,NA,0
2000,2,-14.8,0.831896552,881.14,0.952586207,NA,0,NA,0,78.75,0.952586207,NA,NA,0
2000,3,-20.52,0.927419355,879.76,0.975806452,NA,0,NA,0,72.76,0.975806452,NA,NA,0
2000,4,-29.01,0.979166667,876.82,0.979166667,NA,0,NA,0,71.34,0.979166667,NA,NA,0
2000,5,-25.16,0.951612903,871.33,0.963709677,NA,0,NA,0,81.19,0.963709677,NA,NA,0
2000,6,-26.53,0.945833333,879.83,0.9625,NA,0,NA,0,79.14,0.9625,NA,NA,0
