Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,12,-6.53,0.399193548,910.14,0.798387097,2.43,0.689516129,129.18,0.790322581,68.9,0.798387097,0.52,128.01,0.689516129
2015,1,-6.41,0.657258065,910.19,1,4.72,0.737903226,174.71,0.887096774,77.7,1,3.46,198.85,0.737903226
2015,2,-8.55,0.691964286,902.87,1,4.79,0.732142857,184.88,0.991071429,72.99,1,3.16,212.49,0.732142857
2015,3,-15.77,0.963709677,906.32,0.995967742,3.16,0.665322581,188.77,0.858870968,77.65,0.995967742,1.57,212.57,0.665322581
2015,4,-24.2,0.908333333,902.39,0.945833333,3.66,0.579166667,207.89,0.75,66.62,0.945833333,1.4,221.78,0.579166667
2015,5,-23.51,0.919354839,906.8,0.959677419,3.51,0.72983871,208.88,0.891129032,66.27,0.959677419,1.48,221.09,0.72983871
2015,6,-23.82,0.858333333,904.88,0.891666667,6.37,0.466666667,213.45,0.816666667,65.46,0.891666667,4.99,212.57,0.466666667
2015,7,-25.56,0.842741935,898.41,0.923387097,3.59,0.608870968,207.22,0.798387097,60.03,0.923387097,1.43,219.72,0.608870968
2015,8,-24.72,0.927419355,899.1,0.987903226,3.75,0.633064516,202.83,0.870967742,64.86,0.987903226,1.87,220.77,0.633064516
2015,9,-25.73,0.916666667,897.66,1,3.34,0.666666667,210.34,0.954166667,59.41,1,1.61,212.42,0.666666667
2015,10,-18.13,0.987903226,899.6,1,6.79,0.584677419,181.43,0.887096774,71.75,1,5.53,203.19,0.584677419
2015,11,-12.51,0.995833333,900.4,1,5.22,0.654166667,171.97,0.991666667,63.54,1,3.83,202.2,0.654166667
2015,12,-5.72,0.568548387,911.34,1,3.97,0.721774194,135.51,0.987903226,66.46,1,2.13,197.27,0.721774194
2016,1,-5.92,0.681451613,903.29,1,6.3,0.657258065,168.36,0.939516129,77.29,1,5.09,201.24,0.657258065
2016,2,-8.99,0.5,906.78,1,2.96,0.793103448,176.57,0.995689655,68.89,1,1.49,211.14,0.793103448
2016,3,-14.82,0.975806452,901.98,0.995967742,3.86,0.72983871,202.92,0.931451613,77.42,0.995967742,2.11,210.6,0.72983871
2016,4,-22.8,0.9,906.06,0.916666667,5.11,0.516666667,208.88,0.745833333,73.83,0.916666667,3.64,209.74,0.516666667
2016,5,-21.49,0.883064516,907.21,1,2.64,0.689516129,207.5,0.919354839,62.32,1,0.85,232.13,0.689516129
2016,6,-26.21,0.9625,899.8,1,3.37,0.604166667,210.76,0.845833333,60.54,1,1.35,228.61,0.604166667
2016,7,-24.86,0.97983871,908.74,1,3.15,0.766129032,213.2,0.947580645,61.78,1,1.16,225.81,0.766129032
2016,8,-22.54,0.955645161,909.9,0.991935484,4.18,0.625,214.27,0.943548387,58.92,0.991935484,2.44,217.86,0.625
2016,9,-23,0.9375,895.42,1,2.97,0.733333333,206.89,0.908333333,60.68,1,0.88,247.69,0.733333333
2016,10,-19.47,0.971774194,902.35,1,3.93,0.693548387,185.34,0.97983871,63.2,1,2.41,203.45,0.693548387
2016,11,-9.39,0.966666667,916.89,1,3.03,0.8375,147.86,0.995833333,68.46,1,1.62,189.72,0.8375
2016,12,-5.87,0.495967742,913.72,1,3.54,0.786290323,133.88,1,65.29,1,1.73,192.65,0.786290323
2017,1,-5.78,0.806451613,914.52,1,8.13,0.584677419,187.39,0.919354839,71.95,1,7.09,199.67,0.584677419
2017,2,-8.49,0.6875,912.84,1,4.69,0.616071429,164.7,0.955357143,75.79,1,3.04,200.47,0.616071429
2017,3,-13.79,0.991935484,909.94,1,5.64,0.681451613,185.86,0.947580645,73.67,1,4.17,210.61,0.681451613
2017,4,-19.7,0.979166667,904.89,1,4.24,0.695833333,210.23,0.925,66.11,1,2.37,220.43,0.695833333
2017,5,-20.15,1,900.04,1,4.67,0.612903226,217.48,0.858870968,68.44,1,3.01,221.04,0.612903226
2017,6,-24.17,0.966666667,904.48,1,3.55,0.554166667,203.43,0.904166667,66.58,1,1.61,216.25,0.554166667
2017,7,-24.67,0.923387097,900.99,0.991935484,4.81,0.584677419,211.7,0.879032258,58.99,0.995967742,2.83,214.9,0.584677419
