Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2012,12,-9.63,0.814516129,852.77,0.931451613,8.47,0.641129032,157.49,0.89516129,83.73,0.931451613,6.13,168.98,0.641129032
2013,1,-9.33,0.85483871,851.88,1,10.59,0.629032258,165.47,0.899193548,80.1,1,9.46,174.31,0.629032258
2013,2,-15.38,0.9375,840.62,0.986607143,16.69,0.629464286,164.19,0.834821429,80.79,0.986607143,14.44,177.9,0.629464286
2013,3,-14.67,0.955645161,837.77,0.987903226,12.11,0.491935484,147.54,0.75,87.25,0.987903226,8.74,165.79,0.491935484
2013,4,-25.95,0.975,830.5,0.9875,20.45,0.45,176.56,0.6,79.08,0.9875,19.12,180.51,0.441666667
2013,5,-24.15,0.923387097,842.87,0.97983871,17.03,0.528225806,190.77,0.802419355,75.79,0.97983871,15.6,181.84,0.528225806
2013,6,-29.14,0.9,838.66,0.945833333,23.3,0.466666667,175.21,0.666666667,75.47,0.945833333,22.77,180.86,0.466666667
2013,7,-29.21,0.899193548,833,0.971774194,12.69,0.467741935,183.33,0.725806452,75.18,0.971774194,11.28,174.21,0.467741935
2013,8,-24.99,0.846774194,840.41,0.927419355,12.46,0.346774194,175.05,0.52016129,79.08,0.927419355,9.82,176.57,0.346774194
2013,9,-24.42,0.929166667,838.93,0.970833333,13.22,0.366666667,165.36,0.7375,78.05,0.970833333,11.93,172.53,0.366666667
2013,10,-22.24,0.97983871,837.57,0.987903226,15.77,0.403225806,180.76,0.564516129,79.64,0.987903226,14.91,178.59,0.403225806
2013,11,-19.39,0.970833333,835.22,0.9875,10.56,0.65,157.27,0.920833333,80.12,0.9875,8.95,168.35,0.65
2013,12,-10.47,0.887096774,849.69,1,7.29,0.758064516,161.53,1,81.87,1,4.24,167.57,0.758064516
2014,1,-11.77,0.931451613,851.57,1,10.37,0.689516129,166.37,0.991935484,81.3,1,8.92,170.56,0.689516129
2014,2,-18.24,0.915178571,843.41,0.991071429,14.36,0.65625,165.33,0.834821429,79.06,0.991071429,13.71,174.86,0.642857143
2014,3,-21.47,0.971774194,839.82,1,14.55,0.532258065,176.78,0.830645161,79.11,1,13.72,176.1,0.532258065
2014,4,-21.56,0.8625,832.81,0.970833333,8.84,0.316666667,143.89,0.55,82.6,0.970833333,5.62,160.93,0.316666667
2014,5,-20.65,0.959677419,840.66,0.983870968,12.26,0.576612903,160.75,0.77016129,83.05,0.983870968,10.24,170.52,0.576612903
2014,6,-24.82,0.85,834.88,0.920833333,8.01,0.2875,164.07,0.416666667,82.07,0.920833333,3.22,157.48,0.2875
2014,7,-27.39,0.862903226,834.76,0.927419355,8.06,0.47983871,198.74,0.701612903,76.29,0.927419355,4.39,176.59,0.47983871
2014,8,-22.9,0.947580645,839.91,1,9.48,0.487903226,170.81,0.669354839,78.97,1,5.42,175.82,0.487903226
2014,9,-20.02,0.925,844.52,0.979166667,NA,0.208333333,165,0.275,84.42,0.979166667,NA,NA,0.208333333
2014,10,-19.47,0.931451613,832.92,0.975806452,11.37,0.5,173.82,0.782258065,79.04,0.975806452,8.62,172.74,0.5
2014,11,NA,0.020833333,NA,0.020833333,NA,0,NA,0,NA,0.020833333,NA,NA,0
2014,12,-12.84,0.495967742,845.09,0.508064516,NA,0.02016129,NA,0.02016129,79.94,0.508064516,NA,NA,0.02016129
2015,1,-10.3,0.967741935,846.08,1,NA,0.14516129,NA,0.177419355,81.72,1,NA,NA,0.14516129
2015,2,-12.89,0.950892857,841.41,0.959821429,NA,0,NA,0,81.47,0.959821429,NA,NA,0
2015,3,-21.03,0.903225806,839.57,0.927419355,NA,0,NA,0,75.41,0.927419355,NA,NA,0
2015,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2015,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2016,1,-9.07,0.669354839,846.33,0.677419355,NA,0,NA,0,82.62,0.677419355,NA,NA,0
2016,2,-17.35,0.987068966,836.07,0.995689655,NA,0,NA,0,80.22,0.995689655,NA,NA,0
2016,3,-22.46,0.975806452,832.68,1,NA,0,NA,0,76.97,1,NA,NA,0
2016,4,-23.19,0.929166667,841.66,1,NA,0,NA,0,74.12,1,NA,NA,0
2016,5,-20.85,0.883064516,839.25,1,NA,0,NA,0,78.84,1,NA,NA,0
2016,6,-25.19,0.9625,829.33,1,NA,0,NA,0,78.44,1,NA,NA,0
2016,7,-22.44,0.923387097,839.94,1,NA,0,NA,0,76.03,1,NA,NA,0
2016,8,-24.32,0.947580645,845.15,0.995967742,NA,0,NA,0,76.86,0.995967742,NA,NA,0
2016,9,-28.72,0.95,820.15,1,NA,0,NA,0,76.27,1,NA,NA,0
2016,10,-18.75,0.931451613,836.83,1,NA,0,NA,0,78.51,1,NA,NA,0
2016,11,-16.06,0.991666667,844.08,1,NA,0,NA,0,77.14,1,NA,NA,0
2016,12,-10.14,0.987903226,852.42,1,NA,0,NA,0,77.97,1,NA,NA,0
2017,1,-12.01,0.991935484,852.83,1,NA,0,NA,0,76.63,1,NA,NA,0
2017,2,-12.37,0.977678571,849.77,1,NA,0,NA,0,80.84,1,NA,NA,0
2017,3,-16.02,0.971774194,843.02,1,NA,0,NA,0,81.84,1,NA,NA,0
2017,4,-18.18,0.929166667,848.24,1,NA,0,NA,0,76.83,1,NA,NA,0
2017,5,-21.08,0.951612903,835.87,1,NA,0,NA,0,79.14,1,NA,NA,0
2017,6,-25.46,0.8625,838.71,1,NA,0,NA,0,76.61,1,NA,NA,0
2017,7,-31.52,0.887096774,829.94,0.983870968,NA,0,NA,0,73.46,0.983870968,NA,NA,0
2017,8,-26.95,0.907258065,833.35,1,NA,0,NA,0,72.85,1,NA,NA,0
2017,9,-33.91,0.933333333,821.14,1,NA,0,NA,0,71.53,1,NA,NA,0
2017,10,-22.62,0.975806452,839.97,1,NA,0,NA,0,78.15,1,NA,NA,0
2017,11,-16.67,0.991666667,833.39,1,NA,0,NA,0,80.46,1,NA,NA,0
2017,12,-12.64,0.991935484,843.46,1,NA,0,NA,0,78.48,1,NA,NA,0
2018,1,-12.97,1,844.03,1,NA,0,NA,0,79.74,1,NA,NA,0
2018,2,-16.92,0.982142857,844.13,1,NA,0,NA,0,74.96,1,NA,NA,0
2018,3,-20.94,0.967741935,837.62,1,NA,0,NA,0,76.05,1,NA,NA,0
2018,4,-22.75,0.954166667,841.96,1,NA,0,NA,0,76.17,1,NA,NA,0
2018,5,-26.42,0.947580645,836.26,0.995967742,NA,0,NA,0,75.83,0.995967742,NA,NA,0
2018,6,-26.69,0.916666667,840.18,1,NA,0,NA,0,74.58,1,NA,NA,0
2018,7,-26.14,0.907258065,836.62,1,NA,0,NA,0,77.38,1,NA,NA,0
2018,8,-29.57,0.971774194,835.72,1,NA,0,NA,0,74.86,1,NA,NA,0
2018,9,-27.1,0.975,831.32,0.995833333,NA,0,NA,0,73.82,0.995833333,NA,NA,0
2018,10,-17.1,0.959677419,835.08,1,NA,0,NA,0,81.01,1,NA,NA,0
2018,11,-17.31,0.966666667,835.77,1,NA,0,NA,0,78.3,1,NA,NA,0
2018,12,-12.23,1,841.85,1,NA,0,NA,0,79.5,1,NA,NA,0
2019,1,-11.38,0.375,844.01,0.375,NA,0,NA,0,78.18,0.375,NA,NA,0
2019,2,NA,0.116071429,NA,0.116071429,NA,0,NA,0,NA,0.116071429,NA,NA,0
2019,3,NA,0.133064516,NA,0.133064516,NA,0,NA,0,NA,0.133064516,NA,NA,0
2019,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,5,NA,0.024193548,NA,0.024193548,NA,0,NA,0,NA,0.024193548,NA,NA,0
2019,6,NA,0.033333333,NA,0.033333333,NA,0,NA,0,NA,0.033333333,NA,NA,0
2019,7,NA,0.048387097,NA,0.048387097,NA,0,NA,0,NA,0.048387097,NA,NA,0
2019,8,NA,0.016129032,NA,0.016129032,NA,0,NA,0,NA,0.016129032,NA,NA,0
2019,9,NA,0.1,NA,0.1,NA,0,NA,0,NA,0.1,NA,NA,0
2019,10,NA,0.068548387,NA,0.076612903,NA,0,NA,0,NA,0.076612903,NA,NA,0
2019,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2019,12,NA,0,NA,0.149193548,NA,0,NA,0,NA,0.149193548,NA,NA,0
