Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-13.94,0.342741935,838.51,0.540322581,3.69,0.528225806,121.51,0.540322581,83.28,0.540322581,2.99,104.98,0.528225806
2010,2,-16.36,0.629464286,838.57,1,3.82,0.946428571,129.45,1,84.2,1,2.21,102.86,0.946428571
2010,3,-24.86,0.907258065,830.82,1,4.51,0.959677419,126.92,1,82.52,1,3.02,100.1,0.959677419
2010,4,-30.98,0.908333333,827.61,1,5.95,0.65,121.76,0.791666667,82.39,1,4.77,99.77,0.65
2010,5,-33.05,0.935483871,822.57,1,6.61,0.491935484,125.98,0.532258065,81.62,1,5.27,105.29,0.491935484
2010,6,-30.32,0.875,816.07,1,7.38,0.7,128.35,0.829166667,82.87,1,4.8,101.6,0.7
2010,7,-36.83,0.733870968,811.25,1,NA,0.100806452,NA,0.112903226,80.54,1,NA,NA,0.100806452
2010,8,-27.4,0.846774194,817.79,0.995967742,6.22,0.334677419,119.94,0.375,84.36,0.995967742,4.76,87.7,0.334677419
2010,9,-29.28,0.8375,822.3,0.995833333,7.2,0.829166667,131.56,0.9,83.29,0.995833333,4.65,84.14,0.829166667
2010,10,-26.08,0.455645161,821,0.495967742,7.74,0.455645161,105.36,0.483870968,84.29,0.495967742,7.41,97.65,0.455645161
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,-16.52,0.391129032,839.48,0.608870968,3.65,0.596774194,133.38,0.608870968,79.58,0.608870968,2.18,122.68,0.596774194
2011,2,-18.39,0.834821429,831.51,1,5.72,0.950892857,101.49,1,84.33,1,5.17,92.26,0.950892857
2011,3,-25.02,0.858870968,835.74,1,4.25,0.943548387,125.71,1,82.35,1,2.45,101.16,0.943548387
2011,4,-31.59,0.791666667,835.13,1,5.37,0.870833333,150.22,0.995833333,82.3,1,2.37,103.22,0.870833333
2011,5,-28.87,0.927419355,823.63,0.995967742,7.49,0.387096774,110.07,0.431451613,83.37,0.995967742,5.62,77.9,0.387096774
2011,6,-30.4,0.825,831.87,1,NA,0.0625,NA,0.070833333,83.03,1,NA,NA,0.0625
2011,7,-24.48,0.846774194,838.39,0.995967742,10.23,0.318548387,145.8,0.471774194,85.74,0.995967742,1.87,93.21,0.318548387
2011,8,-25.81,0.842741935,833.31,1,NA,0.084677419,NA,0.108870968,85.1,1,NA,NA,0.084677419
2011,9,-36.02,0.783333333,829.71,1,NA,0.070833333,NA,0.070833333,79.95,1,NA,NA,0.070833333
2011,10,-24.08,0.810483871,828.11,1,6.42,0.883064516,115.44,0.975806452,84.94,1,4.97,83.66,0.883064516
2011,11,NA,0.108333333,NA,0.125,NA,0.120833333,NA,0.125,NA,0.125,NA,NA,0.120833333
2011,12,NA,0.221774194,829.79,0.318548387,4.2,0.310483871,128.3,0.318548387,81.22,0.318548387,3.19,104.81,0.310483871
2012,1,-14.57,0.75,828.36,1,4.29,0.967741935,145.29,0.987903226,81.19,1,1.7,113.67,0.955645161
2012,2,-17.26,0.724137931,833.35,1,4.82,0.948275862,145.49,1,83.07,1,2.45,111.09,0.948275862
2012,3,-21.27,0.85483871,831.2,1,6.3,0.766129032,143.24,0.862903226,86.27,1,2.91,101.21,0.766129032
2012,4,-24.88,0.875,828.41,0.991666667,7.86,0.354166667,124.57,0.404166667,85.68,0.991666667,4.88,49.87,0.354166667
2012,5,-25.51,0.794354839,829.62,0.955645161,7.51,0.669354839,139.9,0.774193548,85.35,0.955645161,4.05,98.08,0.669354839
2012,6,-37.61,0.891666667,829.71,0.983333333,5.16,0.529166667,157.76,0.616666667,80.11,0.983333333,2.99,140.34,0.529166667
2012,7,-32.71,0.899193548,821.18,1,7.7,0.685483871,97.83,0.725806452,82.03,1,7.09,91.87,0.685483871
2012,8,-31.69,0.879032258,824.61,1,7.86,0.415322581,137.33,0.504032258,82.27,1,5.25,111.12,0.415322581
2012,9,-31.14,0.866666667,823.81,0.991666667,6.22,0.783333333,123.56,0.870833333,82.36,0.991666667,3.76,100.1,0.783333333
2012,10,-28.31,0.822580645,827.61,1,4.12,0.927419355,150.12,0.995967742,82.35,1,1.51,132.45,0.927419355
2012,11,-21.59,0.770833333,834.54,1,4.83,0.966666667,132.71,1,79.54,1,2.43,121.56,0.966666667
2012,12,-10.92,0.778225806,839.87,1,4.35,0.975806452,136.86,1,83.21,1,1.81,67.54,0.975806452
2013,1,-11.58,0.713709677,839.08,1,4.01,0.943548387,146.25,0.97983871,83.26,1,1.66,110.76,0.943548387
2013,2,-17.51,0.6875,828.85,1,5.2,0.959821429,124.44,1,84.49,1,2.39,67.01,0.959821429
2013,3,-17.19,0.943548387,827.42,1,8.47,0.842741935,84.43,0.951612903,88.08,1,6.83,48.07,0.842741935
2013,4,-29.33,0.920833333,820.78,1,7.19,0.366666667,90.71,0.4,83.5,1,6.55,71.77,0.366666667
2013,5,-33.9,0.866935484,831.67,1,6.8,0.467741935,160.75,0.584677419,81.56,1,1.98,122.71,0.467741935
2013,6,-35.36,0.891666667,829.69,1,5.71,0.2625,137.7,0.35,80.8,1,3.83,111.4,0.2625
2013,7,-36.23,0.911290323,822.5,1,NA,0.133064516,NA,0.177419355,80.56,1,NA,NA,0.133064516
2013,8,-28.58,0.806451613,828.52,1,NA,0.125,NA,0.157258065,83.85,1,NA,NA,0.125
