Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,4,-2.32,0.970833333,988.43,0.970833333,3.76,0.8125,151.87,0.970833333,75.93,0.970833333,1.4,130.95,0.8125
2009,5,-1.16,1,983.9,1,4.21,0.810483871,148.15,1,76.95,1,2.06,34.98,0.810483871
2009,6,-3.87,0.995833333,986.23,1,4.3,0.675,150.56,0.833333333,78.62,1,2.31,23.01,0.675
2009,7,-6.7,0.987903226,991.34,1,4.32,0.677419355,158.29,0.891129032,80.58,1,1.43,143.63,0.677419355
2009,8,-4.16,1,998.93,1,3.65,0.862903226,161.47,0.97983871,81.37,1,1.39,23.01,0.862903226
2009,9,-4.9,0.9875,985.56,1,4.66,0.783333333,186.99,0.975,83.39,1,0.82,345.09,0.783333333
2009,10,-4.06,0.967741935,974.41,0.995967742,5.05,0.830645161,178.71,1,80.38,1,0.96,7.38,0.830645161
2009,11,-2.27,1,984.02,1,3.42,0.925,166.95,1,74.49,1,0.81,100.56,0.925
2009,12,0.79,0.745967742,985.27,1,4.02,0.947580645,205.91,1,83.22,1,1.13,348.95,0.947580645
2010,1,1.49,0.64516129,988.93,1,2.61,0.947580645,172.77,1,79.75,1,0.26,124.23,0.947580645
2010,2,1.46,0.647321429,992.55,1,2.73,0.946428571,166.75,1,80.8,1,0.88,132,0.946428571
2010,3,0.1,0.987903226,984.74,1,3.89,0.810483871,180.41,1,82.81,1,0.92,13.81,0.810483871
2010,4,-1.34,1,981.87,1,4.47,0.808333333,168.34,0.983333333,80.56,1,1.38,13.93,0.808333333
2010,5,-2.16,1,981.93,1,5.06,0.733870968,158.96,0.943548387,83.79,1,1.64,1.22,0.733870968
2010,6,-2.41,0.9875,982.53,1,5.7,0.775,163.95,0.975,81.87,1,3.07,1.76,0.775
2010,7,-5.67,0.967741935,989.14,1,4.42,0.721774194,155.9,0.85483871,83.49,1,1.32,118,0.721774194
2010,8,-4.91,0.963709677,987.87,1,6.1,0.629032258,158.97,0.875,82.17,1,1.52,45.89,0.629032258
2010,9,-3.04,0.970833333,987.34,1,5.11,0.833333333,178.87,0.9875,85.35,1,2.29,4.67,0.833333333
2010,10,-0.98,1,979.59,1,6.52,0.677419355,191.86,0.967741935,86.57,1,4.3,351.99,0.677419355
2010,11,-0.38,0.983333333,982.37,1,5.6,0.7625,230.9,0.954166667,86.54,1,4.05,353.69,0.7625
