Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2016,1,-4.72,0.254032258,972.42,0.290322581,NA,0.10483871,335.49,0.290322581,70.36,0.290322581,NA,NA,0.10483871
2016,2,-10.95,0.974137931,977.69,1,23.92,0.396551724,339.53,0.987068966,54.76,1,23.89,339.37,0.387931034
2016,3,-20.31,0.991935484,975.17,1,30.82,0.358870968,339.02,1,51.71,1,30.74,338.89,0.358870968
2016,4,-26.8,0.995833333,981.65,1,28.59,0.325,339.65,1,49.58,1,28.48,341.02,0.325
2016,5,-23.63,0.943548387,980.34,1,29.35,0.302419355,337.01,0.987903226,49.24,1,29.18,338.86,0.298387097
2016,6,-28.09,0.991666667,974.54,1,23.21,0.295833333,336.3,1,51.72,1,22.79,339.01,0.295833333
2016,7,-27.61,0.951612903,984.39,1,25.01,0.27016129,334.1,1,49.21,1,24.74,338.22,0.27016129
2016,8,-25.43,0.959677419,985.88,1,24.71,0.266129032,338.01,1,53.08,1,24.18,339.66,0.266129032
2016,9,-25.44,0.975,968.86,1,NA,0.2375,338,1,50.87,1,NA,NA,0.2375
2016,10,-20.51,0.955645161,975.92,1,24.62,0.254032258,337.93,1,49.91,1,24.51,341.08,0.254032258
2016,11,-7.67,0.979166667,987.47,1,19.3,0.316666667,334,1,54.62,1,19.06,338.44,0.316666667
2016,12,-2.91,0.955645161,984.62,1,8.43,0.524193548,322.64,1,63.21,1,7.78,327.64,0.524193548
2017,1,-3.43,0.943548387,988.73,1,8.08,0.536290323,325.01,1,68.47,1,7.72,326.25,0.536290323
2017,2,-9.39,0.986607143,984.28,1,23.84,0.334821429,332.24,0.986607143,53.53,1,23.71,331.61,0.334821429
2017,3,-18.59,0.967741935,984.35,1,27.77,0.39516129,334.01,1,63.9,1,27.62,334.61,0.39516129
2017,4,-24.65,1,979.26,1,35.33,0.3875,334.01,0.9875,48.85,1,35.13,334.02,0.383333333
2017,5,-23.43,0.991935484,974.26,1,31.62,0.286290323,334.51,1,53.74,1,31.42,334.47,0.286290323
2017,6,-27,0.9875,979.13,1,31.77,0.25,334.36,1,48.18,1,31.6,334.54,0.25
2017,7,-27.92,0.375,976.21,1,NA,0.068548387,331.58,0.391129032,NA,0.137096774,NA,NA,0.068548387
2017,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,9,NA,0,968.91,0.291666667,NA,0,NA,0,NA,0,NA,NA,0
2017,10,NA,0,977.85,1,NA,0,NA,0,NA,0,NA,NA,0
2017,11,-8.76,0.533333333,972.25,1,NA,0.179166667,330.73,0.670833333,56.07,0.5625,NA,NA,0.1625
2017,12,-5.23,0.911290323,980.04,1,7.52,0.439516129,324.56,1,67.04,1,7.15,327.36,0.439516129
2018,1,-4.68,0.951612903,979.7,1,8.6,0.415322581,321.41,1,74.13,1,7.98,325.89,0.415322581
2018,2,-11.83,0.973214286,978.5,1,20.39,0.272321429,333.84,1,64.57,1,20.28,335.49,0.272321429
2018,3,-17.71,0.983870968,980.73,1,26.72,0.290322581,333.66,1,65.17,1,26.53,334.15,0.290322581
2018,4,-21.49,0.979166667,984.16,1,37.22,0.2875,332.37,0.975,47.08,1,37.22,332.62,0.283333333
2018,5,-26.95,0.991935484,981.89,1,29.82,0.330645161,335.41,0.987903226,47.64,1,30.13,335.41,0.322580645
2018,6,-24.48,0.975,984.55,1,25.98,0.345833333,336.24,0.954166667,53.03,1,25.91,336.39,0.329166667
2018,7,-24.85,0.959677419,980.9,1,NA,0.241935484,332.79,0.987903226,52.19,1,NA,NA,0.237903226
2018,8,-25.47,0.991935484,987.14,1,24.08,0.350806452,333.78,1,52.43,1,23.9,335.37,0.350806452
2018,9,-25.03,0.975,970.84,1,25.4,0.283333333,333.2,1,53.46,1,25.2,332.02,0.283333333
2018,10,-17.33,0.959677419,970,1,21.68,0.318548387,333.5,0.975806452,63.55,1,21.53,334.81,0.314516129
2018,11,-9.64,0.979166667,972.88,1,18.12,0.304166667,332.08,0.9875,55.25,1,17.93,335.25,0.304166667
2018,12,-3.58,0.975806452,977.95,1,12.04,0.427419355,325.12,1,68.07,1,11.67,331.79,0.427419355
2019,1,-4.58,0.931451613,981.25,1,11.17,0.411290323,327.84,1,68.04,1,10.84,333.09,0.411290323
2019,2,-10.37,0.982142857,983.68,1,23.26,0.321428571,335.7,1,58.33,1,23.12,334.77,0.321428571
2019,3,-17.47,0.991935484,980.8,1,28.98,0.258064516,333.71,1,56.24,1,28.85,334.2,0.258064516
2019,4,-23.7,0.970833333,979.26,1,33.08,0.3,333.65,1,51.5,1,32.96,332.66,0.3
2019,5,-22.8,0.995967742,983.28,1,28.75,0.399193548,335.94,0.983870968,53.28,1,28.44,335.45,0.391129032
2019,6,-27.19,0.941666667,969.7,1,NA,0.241666667,333.43,1,49.18,1,NA,NA,0.241666667
2019,7,-21.42,0.963709677,985,1,27.7,0.310483871,333.15,1,49.89,1,27.55,335.51,0.310483871
2019,8,-25.35,0.939516129,979.7,1,25.54,0.375,333.55,1,58.79,1,25.46,336.38,0.375
2019,9,-26.3,0.975,970.13,1,31.62,0.470833333,333.99,1,45.66,1,31.52,334.07,0.470833333
2019,10,-19.79,0.983870968,979.32,1,25.59,0.427419355,334.86,1,50.11,1,25.49,333.79,0.427419355
2019,11,-7.57,0.970833333,987.93,1,17.76,0.358333333,329.2,0.9875,54.23,1,17.72,332.61,0.354166667
2019,12,-3.54,0.899193548,990.1,1,10.07,0.298387097,313.65,1,72.83,1,9.92,328.44,0.298387097
2020,1,-3.55,0.891129032,986.44,1,9.4,0.411290323,321.75,1,67.68,1,9.3,333.14,0.411290323
2020,2,-8.34,0.969827586,978.7,1,17.27,0.387931034,328.98,1,64.58,1,17.11,332.95,0.387931034
2020,3,-19.83,0.967741935,975.03,1,26.16,0.419354839,331.42,1,58.91,1,26.06,330.96,0.419354839
2020,4,-22.84,0.9875,979.66,1,NA,0.0125,NA,0.0375,46.43,1,NA,NA,0.0125
2020,5,-25.91,0.995967742,976.97,1,NA,0,NA,0,45.55,1,NA,NA,0
2020,6,-26.39,0.979166667,976.18,1,NA,0,NA,0,48.84,1,NA,NA,0
2020,7,-23.29,0.963709677,979.96,1,NA,0,NA,0,51.73,1,NA,NA,0
2020,8,-25.79,0.975806452,981.91,1,NA,0,NA,0,60.01,1,NA,NA,0
2020,9,-24.09,0.966666667,980.75,1,NA,0,NA,0,60.88,1,NA,NA,0
2020,10,-20.71,0.983870968,970.12,1,NA,0,NA,0,49.34,1,NA,NA,0
2020,11,-10.64,0.983333333,973.64,1,NA,0,NA,0,54.59,1,NA,NA,0
2020,12,-2.52,0.983870968,972.83,0.995967742,9.34,0.306451613,279.09,0.60483871,61.08,0.995967742,7.69,289.17,0.302419355
2021,1,-3.7,0.975806452,977.3,1,11.52,0.39516129,262.42,1,67.41,1,8.57,278.52,0.39516129
2021,2,-10.66,0.991071429,973.91,1,22.74,0.276785714,285.72,1,58.82,1,22.12,284.02,0.276785714
2021,3,-17.97,0.97983871,981.61,1,27.92,0.310483871,280.39,0.923387097,65.2,1,25.26,285.62,0.298387097
2021,4,-26.24,0.979166667,977.29,1,NA,0,NA,0,56.4,1,NA,NA,0
