Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-10.65,0.366935484,815.57,0.701612903,2.55,0.661290323,162.11,0.701612903,77.19,0.701612903,0.7,80.98,0.661290323
2010,2,-9.87,0.75,819.4,1,4.83,0.75,161.09,0.995535714,77.16,1,1.65,194.3,0.75
2010,3,-17.57,0.959677419,808.87,1,4.14,0.786290323,177.97,0.983870968,75.73,1,1.9,212.23,0.786290323
2010,4,-17.82,0.929166667,806.53,0.991666667,4.64,0.591666667,181.89,0.820833333,73.73,0.991666667,2.55,203.14,0.591666667
2010,5,-18.4,0.919354839,804.05,0.987903226,5.24,0.600806452,181.91,0.935483871,71.85,0.987903226,2.37,198.34,0.600806452
2010,6,-16.05,0.383333333,801.79,0.395833333,NA,0.216666667,195.82,0.391666667,78.79,0.395833333,NA,NA,0.216666667
2010,7,NA,0.008064516,NA,0.008064516,NA,0,NA,0,NA,0.008064516,NA,NA,0
2010,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,11,-16.16,0.808333333,803.77,0.829166667,4.23,0.691666667,151.5,0.829166667,72.82,0.829166667,1.52,146.14,0.691666667
2013,12,-12.5,0.75,812.41,1,4.17,0.826612903,168.88,1,70.23,1,1.48,142.23,0.826612903
2014,1,-11.26,0.592741935,815.37,1,3.94,0.875,159.79,1,74.43,1,0.9,139.25,0.875
