Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,12,-19.76,0.697580645,741.07,0.737903226,7.87,0.629032258,220.31,0.737903226,77.19,0.737903226,7.39,228.29,0.629032258
2009,1,-20.38,0.887096774,737.59,1,6.42,0.862903226,210.72,0.995967742,84.24,1,5.34,230.42,0.862903226
2009,2,-26.44,0.504464286,738.42,0.59375,7.46,0.526785714,217,0.59375,76.63,0.59375,5.56,240.47,0.526785714
2009,3,-32.99,0.439516129,732.43,0.47983871,NA,0.209677419,216.11,0.266129032,79.81,0.47983871,NA,NA,0.209677419
2009,4,-32.4,0.8125,733.75,1,NA,0,NA,0,81,1,NA,NA,0
2009,5,-36.51,0.758064516,734.49,1,NA,0,NA,0,79.46,1,NA,NA,0
2009,6,-37.5,0.775,736.18,1,NA,0.05,NA,0.05,78.67,1,NA,NA,0.05
2009,7,-41.71,0.721774194,734.44,0.995967742,NA,0.225806452,237.88,0.262096774,73.63,0.995967742,NA,NA,0.225806452
2009,8,-42.78,0.75,731.12,1,NA,0.080645161,NA,0.088709677,72.81,1,NA,NA,0.080645161
2009,9,-41.27,0.7625,729.15,1,NA,0.241666667,225.05,0.266666667,74.62,1,NA,NA,0.241666667
2009,10,-33.16,0.846774194,726.25,1,7.11,0.725806452,213.97,0.899193548,77.25,1,5,237.08,0.725806452
2009,11,-23.61,0.941666667,739.52,1,6.64,0.829166667,206.99,1,78.04,1,5,224.44,0.829166667
2009,12,-20.07,0.883064516,738.65,1,4.87,0.899193548,206.87,1,77.09,1,3.18,239.76,0.899193548
2010,1,-19.49,0.903225806,749.01,1,6.44,0.866935484,223.15,1,77.81,1,5.38,231.12,0.866935484
2010,2,-24.68,0.767857143,741.65,1,4.87,0.883928571,220.55,1,79.53,1,3.37,230.84,0.883928571
2010,3,-31.49,0.883064516,734.38,1,9.98,0.677419355,236.84,0.766129032,75.5,1,8.19,233.09,0.677419355
