Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,-8.99,0.608870968,913.13,0.612903226,9.11,0.516129032,186.59,0.612903226,73.77,0.612903226,7.83,192.9,0.516129032
2010,2,-15.36,0.924107143,912.84,1,9.6,0.799107143,204.65,0.991071429,73.72,1,9.19,204.27,0.799107143
2010,3,-23.45,0.959677419,905.35,0.967741935,12.92,0.689516129,205.96,0.858870968,76.09,0.967741935,12.45,206.13,0.689516129
2010,4,-27.46,0.645833333,906.78,0.683333333,9.48,0.525,209.19,0.625,71.84,0.683333333,8.49,204.8,0.516666667
2010,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,12,NA,0.096774194,NA,0.10483871,NA,0.092741935,NA,0.10483871,NA,0.10483871,NA,NA,0.092741935
2011,1,-11.4,0.943548387,910.23,1,8.15,0.830645161,193.65,1,79.2,1,7.34,195.23,0.830645161
2011,2,-15.94,0.995535714,906.75,1,11.55,0.852678571,205.91,0.986607143,75.97,1,11.23,204.59,0.852678571
2011,3,-24.82,0.959677419,911.55,1,11.45,0.697580645,216.59,0.951612903,71.78,1,10.74,209.81,0.697580645
2011,4,-27.03,0.954166667,909.49,0.979166667,12.74,0.679166667,210.18,0.875,72.07,0.979166667,12.38,209.72,0.679166667
2011,5,-28.23,1,905.54,1,10.04,0.741935484,212.6,0.967741935,71.38,1,9.46,209.51,0.741935484
2011,6,-27.75,0.945833333,909.01,0.995833333,11.79,0.5125,214.62,0.7375,74.55,0.995833333,11.04,206.06,0.5125
2011,7,-26.47,0.915322581,913.08,0.991935484,10.13,0.536290323,207.68,0.923387097,69.73,0.991935484,9.41,201.45,0.536290323
2011,8,-28.09,0.995967742,913.79,1,9.69,0.685483871,214.58,0.907258065,72.33,1,8.81,209.11,0.685483871
2011,9,-31.82,0.933333333,905.02,0.975,10.72,0.575,215.13,0.779166667,70.23,0.975,9.97,210.42,0.575
2011,10,-23.68,0.967741935,905.64,0.987903226,12.1,0.669354839,206.19,0.883064516,70.22,0.987903226,11.67,202.69,0.669354839
2011,11,-14.69,0.9875,907.39,0.9875,11.13,0.791666667,195.6,0.9375,77.28,0.9875,10.36,191.73,0.791666667
2011,12,-10.59,0.947580645,901.11,1,9.06,0.85483871,200.29,0.991935484,73.04,1,8.58,199.23,0.85483871
2012,1,-11.64,0.927419355,899.95,1,7.83,0.762096774,204.83,1,74.54,1,7.22,199.16,0.762096774
2012,2,-15.18,0.948275862,905.48,1,11.9,0.689655172,203.12,0.900862069,75.21,1,10.96,200.51,0.689655172
2012,3,-20.79,0.97983871,907.17,1,10.4,0.725806452,213.9,0.931451613,74.79,1,9.84,205.11,0.725806452
2012,4,-28.15,0.975,910.35,1,7.04,0.733333333,222.07,0.958333333,67.06,1,6.21,211.66,0.733333333
2012,5,-27.21,0.967741935,909.3,0.995967742,9.45,0.616935484,209.02,0.887096774,73.35,0.995967742,8.47,198.45,0.616935484
2012,6,-29.45,0.958333333,904.78,0.966666667,14,0.529166667,209.69,0.6375,76.43,0.966666667,13.56,204.21,0.529166667
2012,7,-30.79,0.987903226,904.02,0.987903226,9.36,0.665322581,211.1,0.846774194,74.66,0.987903226,8.48,204.22,0.665322581
2012,8,-31.31,0.951612903,904.64,0.959677419,10.65,0.568548387,203.57,0.802419355,72.21,0.959677419,9.93,205.43,0.568548387
2012,9,-29.7,0.9875,903.84,0.9875,11.12,0.633333333,204.24,0.845833333,74.25,0.9875,10.55,203.74,0.633333333
2012,10,-23.02,0.963709677,899.6,0.995967742,12.12,0.661290323,211.29,0.862903226,71.94,0.995967742,11.64,206.41,0.661290323
2012,11,-16.07,0.995833333,908.32,1,9.88,0.8875,202.71,0.979166667,73.14,1,9.39,201.93,0.8875
2012,12,-8.8,0.870967742,911.37,1,7.6,0.883064516,204.08,1,72.57,1,6.87,205.21,0.883064516
2013,1,-8.75,0.931451613,908.97,1,8.4,0.766129032,202.42,0.991935484,72.26,1,7.91,195.36,0.766129032
2013,2,-17.35,0.879464286,905.07,1,8.15,0.772321429,215.29,0.995535714,70.68,1,7.65,206.36,0.772321429
2013,3,-20.16,0.967741935,907.64,1,9.24,0.64516129,214.47,0.971774194,72.15,1,7.48,210.69,0.64516129
2013,4,-25.87,0.995833333,900.31,1,12.44,0.675,205.02,0.816666667,78.43,1,11.99,203.13,0.675
2013,5,-28.46,0.951612903,904.31,0.995967742,11.86,0.552419355,206.64,0.85483871,70.21,0.995967742,11.03,204.76,0.552419355
2013,6,-26.59,0.916666667,905.76,0.933333333,15.01,0.4875,201.43,0.6125,79.84,0.933333333,14.44,201.27,0.4875
2013,7,-32.06,0.991935484,903.13,0.991935484,13.46,0.673387097,206.93,0.850806452,73.9,0.991935484,12.78,208.47,0.673387097
2013,8,-28.44,0.947580645,909.6,0.951612903,9.93,0.572580645,213.53,0.77016129,75.67,0.951612903,8.49,200.73,0.572580645
2013,9,-26.84,0.9375,907.36,0.9625,13.59,0.5625,209.45,0.720833333,78.06,0.9625,12.84,204.69,0.5625
2013,10,-24.84,1,903.52,1,13.09,0.657258065,204.6,0.907258065,71.49,1,12.44,204.03,0.657258065
2013,11,-16.13,0.991666667,898.6,1,11.74,0.758333333,186.49,0.908333333,81.13,1,10.81,190.16,0.758333333
2013,12,-9.99,0.947580645,906.65,1,8.43,0.879032258,193.13,0.995967742,75.17,1,7.59,198.72,0.879032258
2014,1,-10.28,0.971774194,910.48,0.995967742,8.57,0.85483871,194.64,0.995967742,76.22,0.995967742,7.89,193.12,0.85483871
2014,2,-18.79,0.991071429,906.32,1,11.78,0.763392857,203.29,0.973214286,74.05,1,11.39,202.97,0.763392857
2014,3,-24.79,0.995967742,906.01,0.995967742,10.46,0.689516129,208.66,0.919354839,70.31,0.995967742,9.49,206.14,0.689516129
2014,4,-27.96,0.954166667,906.84,0.991666667,8.84,0.7125,211.13,0.933333333,77.35,0.991666667,7.24,204.59,0.7125
2014,5,-26.41,0.983870968,912.68,0.991935484,10.94,0.625,213.63,0.858870968,72.83,0.991935484,9.85,201.12,0.625
2014,6,-29.54,0.958333333,908.26,0.991666667,9.03,0.733333333,209.16,0.895833333,74.42,0.991666667,7.97,205.47,0.733333333
2014,7,-30.6,0.927419355,899.43,0.967741935,11.93,0.544354839,208.11,0.818548387,74.45,0.967741935,10.75,205.92,0.544354839
2014,8,-29.62,0.959677419,906.2,0.991935484,7.99,0.653225806,230.06,0.903225806,64.06,0.991935484,6.76,220.29,0.653225806
2014,9,-26.27,0.970833333,914.65,0.983333333,10.29,0.620833333,214.68,0.895833333,71.92,0.983333333,8.89,204.49,0.620833333
2014,10,-25.41,0.959677419,899.84,0.983870968,12.06,0.584677419,198.89,0.858870968,72.77,0.983870968,11.17,196.17,0.584677419
2014,11,-16.75,0.983333333,902.62,0.9875,11.35,0.779166667,200.9,0.954166667,74.61,0.9875,10.84,198.08,0.779166667
2014,12,-11.49,0.987903226,902.23,1,9.77,0.858870968,218.84,0.987903226,69.21,1,9.39,218.56,0.846774194
2015,1,-9.72,0.951612903,907.26,1,8.82,0.830645161,207.64,0.995967742,71.16,1,8.36,211.56,0.830645161
2015,2,-15.28,0.986607143,902.82,1,11.35,0.808035714,219.75,0.986607143,67.47,1,11.04,218.45,0.808035714
2015,3,-23.81,0.97983871,901.59,0.983870968,10.22,0.681451613,222.68,0.838709677,69.64,0.983870968,9.6,221.56,0.681451613
2015,4,-27.08,0.991666667,898.37,0.995833333,13.22,0.608333333,226.1,0.795833333,71.49,0.995833333,12.72,223.16,0.608333333
2015,5,-26.43,0.923387097,905.66,0.947580645,8,0.568548387,223.38,0.794354839,70.67,0.947580645,7.01,227.58,0.568548387
2015,6,-28.79,0.983333333,905.04,0.995833333,11.43,0.541666667,219.6,0.720833333,71.24,0.995833333,10.82,219.54,0.541666667
2015,7,-30.32,0.951612903,896.84,1,9.87,0.483870968,220.41,0.697580645,69.49,1,8.9,219.45,0.483870968
2015,8,-30.72,0.97983871,893.43,0.983870968,12.38,0.423387097,222.93,0.556451613,69.63,0.983870968,11.28,217.87,0.423387097
2015,9,-31.81,0.875,898.68,0.970833333,10.88,0.5375,224.81,0.754166667,64.7,0.970833333,9.55,223.39,0.5375
2015,10,-22.19,0.971774194,904.5,1,11.18,0.717741935,213.86,0.862903226,71.49,1,10.51,213.51,0.717741935
2015,11,-17.22,1,898.81,1,10.27,0.825,209.42,0.9625,74.67,1,9.38,209.69,0.825
2015,12,-9.89,0.879032258,905.35,1,6.92,0.850806452,205.84,0.927419355,78.46,1,5.87,203.16,0.850806452
2016,1,-9.98,0.870967742,905.72,1,7.92,0.822580645,207.67,0.991935484,68.96,1,7.41,210.34,0.822580645
2016,2,-16.97,0.965517241,902.78,1,11.35,0.857758621,218.91,0.969827586,72.04,1,10.83,216.51,0.857758621
2016,3,-23.71,0.991935484,898.52,1,11.39,0.681451613,223.88,0.879032258,68.33,1,10.91,217.77,0.681451613
2016,4,-27.06,0.9875,900.9,1,14.01,0.629166667,224.18,0.733333333,69.81,1,13.62,227.16,0.629166667
2016,5,-25.08,0.995967742,903.75,1,10.03,0.544354839,230.34,0.810483871,66.72,1,9.05,227.67,0.544354839
2016,6,-29.37,0.933333333,902.04,0.995833333,10.87,0.708333333,224.4,0.841666667,67.25,0.995833333,9.89,222.22,0.708333333
2016,7,-27.47,0.951612903,902.72,0.995967742,11.9,0.524193548,233.48,0.774193548,67.46,0.995967742,11.31,228.37,0.524193548
2016,8,-26.62,0.97983871,909.55,1,11.05,0.633064516,236.99,0.790322581,67.74,1,10.41,227.42,0.633064516
2016,9,-30.16,0.979166667,893.79,0.991666667,12.93,0.475,218.94,0.570833333,73.37,0.991666667,12.23,217.46,0.475
2016,10,-23.43,0.959677419,902.49,1,10.17,0.649193548,219.76,0.842741935,69.84,1,9.32,217.08,0.649193548
2016,11,-15.13,0.991666667,907.79,0.991666667,11.6,0.75,212.91,0.854166667,72.6,0.991666667,11.27,213.37,0.75
2016,12,-9.48,0.927419355,911.15,1,6.74,0.842741935,219.41,0.991935484,73.16,1,5.84,218.01,0.842741935
2017,1,-9.87,0.967741935,912.78,1,9.05,0.846774194,211.32,0.971774194,75.76,1,8.62,210.46,0.846774194
