Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1991,1,-0.44,0.891129032,976.22,0.915322581,NA,0,NA,0,NA,0,NA,NA,0
1991,2,-1.14,0.861607143,977.3,0.870535714,NA,0,NA,0,NA,0,NA,NA,0
1991,3,-2.51,0.919354839,978.36,0.947580645,NA,0,NA,0,NA,0,NA,NA,0
1991,4,-6.59,0.879166667,982.29,0.908333333,NA,0,NA,0,NA,0,NA,NA,0
1991,5,-9.38,0.697580645,974.87,0.77016129,NA,0,NA,0,NA,0,NA,NA,0
1991,6,-12.07,0.820833333,987.31,0.9125,NA,0,NA,0,NA,0,NA,NA,0
1991,7,-17.74,0.862903226,987.95,0.911290323,NA,0,NA,0,NA,0,NA,NA,0
1991,8,-12.88,0.794354839,980.34,0.879032258,NA,0,NA,0,NA,0,NA,NA,0
1991,9,-10.9,0.825,979.1,0.9125,NA,0,NA,0,NA,0,NA,NA,0
1991,10,-7.82,0.879032258,972,0.915322581,NA,0,NA,0,NA,0,NA,NA,0
1991,11,-4.33,0.883333333,980.93,0.904166667,NA,0,NA,0,NA,0,NA,NA,0
1991,12,-0.68,0.903225806,987.98,0.903225806,NA,0,NA,0,NA,0,NA,NA,0
1992,1,-0.37,0.907258065,984.19,0.911290323,NA,0,NA,0,NA,0,NA,NA,0
1992,2,-1.23,0.887931034,981.19,0.892241379,NA,0,NA,0,NA,0,NA,NA,0
1992,3,-3.67,0.899193548,973.77,0.923387097,NA,0,NA,0,NA,0,NA,NA,0
1992,4,-6.52,0.841666667,978.89,0.891666667,NA,0,NA,0,NA,0,NA,NA,0
1992,5,-10.62,0.818548387,983.79,0.870967742,NA,0,NA,0,NA,0,NA,NA,0
1992,6,-11.08,0.804166667,991.19,0.9,NA,0,NA,0,NA,0,NA,NA,0
1992,7,-15.77,0.834677419,982.26,0.891129032,NA,0,NA,0,NA,0,NA,NA,0
1992,8,-13.36,0.818548387,982.79,0.866935484,NA,0,NA,0,NA,0,NA,NA,0
1992,9,-10.89,0.758333333,974.93,0.891666667,NA,0,NA,0,NA,0,NA,NA,0
1992,10,-10.85,0.814516129,977.25,0.879032258,NA,0,NA,0,NA,0,NA,NA,0
1992,11,-4.05,0.879166667,977.15,0.9,NA,0,NA,0,NA,0,NA,NA,0
1992,12,-1.44,0.866935484,978.61,0.879032258,NA,0,NA,0,NA,0,NA,NA,0
1993,1,0.26,0.89516129,985.08,0.89516129,NA,0,NA,0,NA,0,NA,NA,0
1993,2,-0.89,0.875,977.07,0.875,NA,0,NA,0,NA,0,NA,NA,0
1993,3,-2.12,0.866935484,981.7,0.870967742,NA,0,NA,0,NA,0,NA,NA,0
1993,4,-5.25,0.858333333,978.69,0.891666667,NA,0,NA,0,NA,0,NA,NA,0
1993,5,-8.49,0.806451613,973.75,0.879032258,NA,0,NA,0,NA,0,NA,NA,0
1993,6,-15.88,0.829166667,970.99,0.875,NA,0,NA,0,NA,0,NA,NA,0
1993,7,-13.81,0.766129032,976.92,0.875,NA,0,NA,0,NA,0,NA,NA,0
1993,8,-8.38,0.786290323,971.52,0.870967742,NA,0,NA,0,NA,0,NA,NA,0
1993,9,-9.36,0.829166667,976.93,0.8625,NA,0,NA,0,NA,0,NA,NA,0
1993,10,-10.94,0.842741935,970.56,0.858870968,NA,0,NA,0,NA,0,NA,NA,0
1993,11,-3.16,0.866666667,973.76,0.879166667,NA,0,NA,0,NA,0,NA,NA,0
1993,12,-1.34,0.891129032,979.59,0.891129032,NA,0,NA,0,NA,0,NA,NA,0
1994,1,-1.11,0.846774194,976.78,0.850806452,NA,0,NA,0,NA,0,NA,NA,0
1994,2,-1.55,0.848214286,978.51,0.852678571,NA,0,NA,0,NA,0,NA,NA,0
1994,3,-6.6,0.766129032,975.07,0.806451613,NA,0,NA,0,NA,0,NA,NA,0
1994,4,-7.29,0.783333333,975.12,0.804166667,NA,0,NA,0,NA,0,NA,NA,0
1994,5,-15.15,0.741935484,982.14,0.822580645,NA,0,NA,0,NA,0,NA,NA,0
1994,6,-15.92,0.754166667,995.95,0.816666667,NA,0,NA,0,NA,0,NA,NA,0
1994,7,-14.02,0.75,987.07,0.802419355,NA,0,NA,0,NA,0,NA,NA,0
1994,8,-19.93,0.721774194,973.37,0.786290323,NA,0,NA,0,NA,0,NA,NA,0
1994,9,-13.47,0.779166667,984.9,0.791666667,NA,0,NA,0,NA,0,NA,NA,0
1994,10,-10.95,0.701612903,976.84,0.72983871,NA,0,NA,0,NA,0,NA,NA,0
1994,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1996,1,NA,0.157258065,NA,0.161290323,NA,0,NA,0,NA,0,NA,NA,0
1996,2,NA,0.193965517,NA,0.193965517,NA,0,NA,0,NA,0,NA,NA,0
1996,3,-2.62,0.927419355,984.11,0.967741935,NA,0,NA,0,NA,0,NA,NA,0
1996,4,-7.74,0.879166667,981.22,0.958333333,NA,0,NA,0,NA,0,NA,NA,0
1996,5,-14.04,0.903225806,974.41,0.959677419,NA,0,NA,0,NA,0,NA,NA,0
1996,6,-15.26,0.795833333,979.55,0.970833333,NA,0,NA,0,NA,0,NA,NA,0
1996,7,-17.01,0.762096774,989.36,0.923387097,NA,0,NA,0,NA,0,NA,NA,0
1996,8,-12.39,0.830645161,982.92,0.947580645,NA,0,NA,0,NA,0,NA,NA,0
1996,9,-14.14,0.875,986.88,0.925,NA,0,NA,0,NA,0,NA,NA,0
1996,10,-11.44,0.891129032,973.3,0.963709677,NA,0,NA,0,NA,0,NA,NA,0
1996,11,-3.89,0.879166667,989.14,0.891666667,NA,0,NA,0,NA,0,NA,NA,0
1996,12,-1.41,0.923387097,984.01,0.923387097,NA,0,NA,0,NA,0,NA,NA,0
1997,1,-0.64,0.931451613,982.77,0.939516129,NA,0,NA,0,NA,0,NA,NA,0
1997,2,0.67,0.928571429,973.55,0.928571429,NA,0,NA,0,NA,0,NA,NA,0
1997,3,0.64,0.915322581,969.55,0.927419355,NA,0,NA,0,NA,0,NA,NA,0
1997,4,-6.85,0.870833333,975.33,0.904166667,NA,0,NA,0,NA,0,NA,NA,0
1997,5,-14.75,0.794354839,972.04,0.899193548,NA,0,NA,0,NA,0,NA,NA,0
1997,6,-14.19,0.825,981.3,0.9,NA,0,NA,0,NA,0,NA,NA,0
1997,7,-17.76,0.786290323,977.81,0.903225806,NA,0,NA,0,NA,0,NA,NA,0
1997,8,-16.83,0.754032258,973.96,0.887096774,NA,0,NA,0,NA,0,NA,NA,0
1997,9,-13.35,0.8375,977.91,0.895833333,NA,0,NA,0,NA,0,NA,NA,0
1997,10,-10.14,0.846774194,970.98,0.866935484,NA,0,NA,0,NA,0,NA,NA,0
1997,11,-3.96,0.579166667,974.05,0.579166667,NA,0,NA,0,NA,0,NA,NA,0
1997,12,NA,0.008064516,NA,0.008064516,NA,0,NA,0,NA,0,NA,NA,0
