Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1989,3,-10.48,0.5,985.43,0.5,7.19,0.407258065,116.75,0.362903226,NA,0,5.28,96.98,0.274193548
1989,4,-14.48,0.495833333,989.8,0.5,6.98,0.408333333,114.75,0.333333333,NA,0,5.45,99.44,0.2625
1989,5,-18.66,0.463709677,974.64,0.5,7.05,0.338709677,117.77,0.379032258,NA,0,NA,NA,0.237903226
1989,6,-14.58,0.470833333,982.53,0.5,7.29,0.3125,132.7,0.366666667,NA,0,NA,NA,0.233333333
1989,7,-16.48,0.483870968,979.56,0.5,8.97,0.375,114.04,0.294354839,NA,0,NA,NA,0.233870968
1989,8,-12.95,0.471774194,986.44,0.5,10.05,0.322580645,117.75,0.362903226,NA,0,NA,NA,0.237903226
1989,9,-10.66,0.491666667,980.82,0.5,8.81,0.345833333,113.23,0.383333333,NA,0,6.19,95.55,0.275
1989,10,-9.05,0.47983871,978.85,0.5,7.61,0.310483871,115.84,0.407258065,NA,0,5.09,91.36,0.25
1989,11,-7.14,0.4875,989.02,0.5,4.23,0.345833333,120.38,0.4875,NA,0,2.5,90.01,0.3375
1989,12,1.28,0.467741935,987.33,0.5,5.78,0.294354839,113.41,0.399193548,NA,0,NA,NA,0.217741935
1990,1,1.06,0.475806452,989.31,0.5,4.88,0.330645161,118.12,0.419354839,NA,0,3.56,82.06,0.278225806
1990,2,-3.19,0.5,983.7,0.5,7.67,0.3125,93.18,0.410714286,NA,0,6.44,92.8,0.25
1990,3,-8.29,0.491935484,987,0.5,6.62,0.366935484,127.5,0.375,NA,0,4.18,84.29,0.27016129
1990,4,-8.3,0.491666667,993.51,0.5,9.6,0.3375,102.5,0.2625,NA,0,NA,NA,0.183333333
1990,5,-11.47,0.491935484,995.49,0.5,7.01,0.362903226,102.16,0.350806452,NA,0,NA,NA,0.245967742
1990,6,-15.84,0.466666667,991.37,0.5,6.9,0.3375,115.09,0.3625,NA,0,NA,NA,0.245833333
1990,7,-15.37,0.475806452,996.73,0.5,7.45,0.346774194,145.38,0.262096774,NA,0,NA,NA,0.161290323
1990,8,-15.39,0.483870968,980.3,0.5,9.39,0.391129032,97.76,0.350806452,NA,0,7.33,96.43,0.258064516
1990,9,-17.79,0.483333333,975.58,0.5,5.85,0.358333333,123.15,0.3875,NA,0,4.09,95.68,0.279166667
1990,10,-12.51,0.495967742,986.35,0.5,5.54,0.318548387,118.23,0.427419355,NA,0,3.71,97.93,0.274193548
