Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,1,NA,0.237903226,979.21,0.326612903,3.51,0.326612903,140.79,0.326612903,92.84,0.274193548,1.78,115.91,0.326612903
2009,2,-6.85,0.84375,984.12,1,4.83,0.96875,155.03,0.991071429,95.51,0.78125,2.76,157.45,0.96875
2009,3,-11.03,0.834677419,983.47,1,3.56,0.951612903,176.16,0.97983871,93.06,0.592741935,1.04,165.74,0.947580645
2009,4,-22.97,0.783333333,988.44,1,3.43,0.6875,202.98,0.704166667,94.73,0.754166667,1.67,209.01,0.683333333
2009,5,-22.17,0.879032258,988.9,1,3.41,0.641129032,181.3,0.669354839,98.29,0.887096774,2.65,178.19,0.637096774
2009,6,-26.42,0.8375,992.01,1,3.32,0.841666667,186.34,0.8625,98.24,0.920833333,2.53,193.09,0.8375
2009,7,-29.45,0.802419355,989.97,1,3.78,0.923387097,186.11,0.951612903,95.95,0.919354839,2.01,198.75,0.891129032
2009,8,-26.5,0.883064516,999.2,1,2.87,0.963709677,172.65,0.991935484,95.03,0.887096774,0.69,216.73,0.955645161
2009,9,-23.6,0.691666667,984.17,1,3.75,0.941666667,184.56,0.975,96.67,0.733333333,1.67,194.32,0.941666667
2009,10,-14.88,0.758064516,973.5,1,4.69,0.883064516,165.19,0.959677419,94.66,0.754032258,1.99,178.61,0.875
2009,11,-8.54,0.820833333,982.61,1,5.22,0.9625,175.72,1,94.94,0.7375,2.55,165.44,0.9625
2009,12,-4.04,0.745967742,983.81,1,3.62,0.987903226,146.75,1,91.85,0.846774194,1.66,105.43,0.987903226
2010,1,-3,0.774193548,989.06,1,4.1,0.987903226,148.69,1,93.03,0.818548387,2.17,137.92,0.987903226
2010,2,-4.96,0.732142857,992.19,1,4.06,0.995535714,159.61,1,94.16,0.669642857,1.19,134.31,0.995535714
2010,3,-14.34,0.850806452,985.52,1,3.53,0.995967742,169.41,0.991935484,96.5,0.600806452,1.81,171.51,0.987903226
2010,4,-23.75,0.895833333,984.56,1,4.28,0.891666667,179,0.9125,97.42,0.825,3.19,184.39,0.891666667
2010,5,-26.81,0.754032258,981.74,1,2.69,0.955645161,171.2,0.991935484,98.91,0.778225806,1.04,191.05,0.951612903
2010,6,-19.49,0.6875,978.52,1,3.76,0.904166667,203.09,1,94.46,0.8375,0.7,276.22,0.904166667
2010,7,-22.62,0.72983871,982.88,1,5,0.592741935,221.47,0.758064516,91.29,0.923387097,2.41,256.12,0.592741935
2010,8,-23.42,0.721774194,988.1,1,3.13,0.911290323,190.39,0.967741935,96.14,0.762096774,0.91,205.34,0.911290323
2010,9,-17.32,0.795833333,986,1,4.05,0.929166667,196.63,1,92.44,0.779166667,1.51,213.29,0.929166667
2010,10,-12.47,0.754032258,975.27,1,4.07,0.899193548,184.26,0.995967742,91.06,0.721774194,1.01,201.05,0.899193548
2010,11,-3.75,0.883333333,977.14,1,4.58,0.9125,169.45,1,86.95,0.933333333,0.53,88.11,0.9125
2010,12,-3.95,0.758064516,981.05,1,4.35,0.991935484,153.21,1,93.54,0.911290323,2.92,145.09,0.991935484
2011,1,-2.46,0.713709677,989.55,1,3.28,0.991935484,153.5,1,92.26,0.758064516,0.85,136.62,0.991935484
2011,2,-4.46,0.678571429,981.46,1,4.19,0.959821429,165.92,1,92.92,0.65625,1.34,161.67,0.959821429
