Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2002,2,NA,0,NA,0.267857143,NA,0.263392857,NA,0.263392857,NA,0,NA,NA,0.258928571
2002,3,NA,0,987.12,0.754032258,NA,0.721774194,NA,0.725806452,NA,0,NA,NA,0.701612903
2002,4,NA,0,NA,0.695833333,NA,0.65,NA,0.695833333,NA,0,NA,NA,0.65
2002,5,NA,0,NA,0.677419355,NA,0.653225806,NA,0.677419355,NA,0,NA,NA,0.653225806
2002,6,NA,0,NA,0.704166667,NA,0.654166667,NA,0.633333333,NA,0,NA,NA,0.616666667
2002,7,NA,0,NA,0.733870968,NA,0.725806452,NA,0.665322581,NA,0,NA,NA,0.657258065
2002,8,NA,0,NA,0.72983871,NA,0.709677419,NA,0.717741935,NA,0,NA,NA,0.693548387
2002,9,NA,0,NA,0.6875,NA,0.6625,NA,0.6875,NA,0,NA,NA,0.658333333
2002,10,NA,0,NA,0.725806452,NA,0.717741935,NA,0.721774194,NA,0,NA,NA,0.709677419
2002,11,NA,0,NA,0.729166667,NA,0.725,NA,0.720833333,NA,0,NA,NA,0.720833333
2002,12,NA,0,NA,0.733870968,NA,0.681451613,NA,0.709677419,NA,0,NA,NA,0.661290323
2003,1,NA,0,NA,0.697580645,NA,0.689516129,NA,0.693548387,NA,0,NA,NA,0.685483871
2003,2,NA,0,NA,0.6875,NA,0.683035714,NA,0.566964286,NA,0,NA,NA,0.558035714
2003,3,NA,0,NA,0.677419355,NA,0.649193548,NA,0.64516129,NA,0,NA,NA,0.625
2003,4,NA,0,NA,0.716666667,NA,0.658333333,NA,0.620833333,NA,0,NA,NA,0.591666667
2003,5,NA,0,985.08,0.794354839,NA,0.721774194,NA,0.705645161,NA,0,NA,NA,0.64516129
2003,6,NA,0,992.79,0.8,NA,0.475,NA,0.5,NA,0,NA,NA,0.420833333
2003,7,NA,0,984.8,0.834677419,NA,0.185483871,NA,0.173387097,NA,0,NA,NA,0.169354839
2003,8,NA,0,NA,0.72983871,NA,0.673387097,NA,0.64516129,NA,0,NA,NA,0.64516129
2003,9,NA,0,NA,0.270833333,NA,0.25,NA,0.245833333,NA,0,NA,NA,0.233333333
2003,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,1,NA,0,982.62,0.754032258,NA,0.72983871,NA,0,NA,0,NA,NA,0
2005,2,NA,0,978.56,0.933035714,5.65,0.915178571,NA,0,NA,0,NA,NA,0
2005,3,NA,0,981.37,0.951612903,7.41,0.838709677,NA,0,NA,0,NA,NA,0
2005,4,NA,0,979.24,0.958333333,8.94,0.833333333,NA,0,NA,0,NA,NA,0
2005,5,NA,0,985.49,0.927419355,NA,0.39516129,NA,0,NA,0,NA,NA,0
2005,6,NA,0,990.6,0.875,NA,0,NA,0,NA,0,NA,NA,0
2005,7,NA,0,984.79,0.935483871,NA,0,NA,0,NA,0,NA,NA,0
2005,8,NA,0,978.24,0.951612903,NA,0,NA,0,NA,0,NA,NA,0
2005,9,NA,0,976.2,0.95,NA,0,NA,0,NA,0,NA,NA,0
2005,10,NA,0,977.22,0.935483871,NA,0,NA,0,NA,0,NA,NA,0
