Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1987,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,NA,0.71875,974.19,0.875,NA,0.589285714,196.08,0.763392857,63.24,0.875,NA,NA,0.589285714
1987,3,-15.18,0.943548387,972.39,0.947580645,NA,0.580645161,183.95,0.786290323,54.56,0.947580645,NA,NA,0.576612903
1987,4,-20.89,0.970833333,975.47,1,NA,0.65,172.32,0.791666667,47.77,1,NA,NA,0.641666667
1987,5,NA,0.669354839,NA,0.681451613,NA,0.407258065,NA,0.572580645,NA,0.681451613,NA,NA,0.407258065
1987,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,9,-20.84,0.7875,978,0.845833333,NA,0.558333333,191.56,0.75,46.91,0.845833333,NA,NA,0.558333333
1987,10,-16.46,0.939516129,965.3,0.995967742,NA,0.5,193.19,0.834677419,46.83,0.995967742,NA,NA,0.5
1987,11,-9.69,0.983333333,965.44,0.991666667,NA,0.679166667,190.99,0.929166667,45.89,0.991666667,NA,NA,0.679166667
1987,12,-2.13,0.77016129,972.55,0.983870968,2.3,0.875,189.74,0.927419355,50.03,0.987903226,0.7,275.2,0.875
1988,1,-2.22,0.754032258,975.7,0.951612903,NA,0.733870968,193.67,0.911290323,57.13,0.955645161,NA,NA,0.733870968
1988,2,NA,0.702586207,970.24,0.948275862,NA,0.663793103,186.28,0.892241379,61.69,0.948275862,NA,NA,0.663793103
1988,3,-15.56,0.911290323,972.16,0.943548387,NA,0.616935484,198.71,0.842741935,52.59,0.943548387,NA,NA,0.60483871
1988,4,NA,0.708333333,971.38,0.7625,NA,0.420833333,NA,0.641666667,52.38,0.7625,NA,NA,0.420833333
1988,5,NA,0.350806452,NA,0.362903226,NA,0.201612903,NA,0.338709677,NA,0.362903226,NA,NA,0.201612903
1988,6,NA,0.270833333,NA,0.295833333,NA,0.095833333,NA,0.279166667,NA,0.295833333,NA,NA,0.095833333
1988,7,NA,0.221774194,NA,0.233870968,NA,0.149193548,NA,0.221774194,NA,0.22983871,NA,NA,0.149193548
1988,8,NA,0.455645161,NA,0.47983871,NA,0.262096774,NA,0.471774194,NA,0.47983871,NA,NA,0.262096774
1988,9,NA,0.570833333,NA,0.620833333,NA,0.3875,NA,0.5875,NA,0.620833333,NA,NA,0.3875
1988,10,-12.44,0.858870968,976.06,0.915322581,NA,0.463709677,196.04,0.834677419,55.66,0.915322581,NA,NA,0.463709677
1988,11,NA,0.5125,NA,0.516666667,NA,0.295833333,NA,0.483333333,NA,0.516666667,NA,NA,0.295833333
1988,12,-3.95,0.850806452,969.36,1,NA,0.721774194,199.25,0.971774194,56,0.995967742,NA,NA,0.721774194
1989,1,-2.45,0.798387097,971.63,0.955645161,NA,0.681451613,199.26,0.931451613,60.08,0.955645161,NA,NA,0.681451613
1989,2,-8.17,0.772321429,970.17,1,NA,0.660714286,192.84,0.866071429,69.23,1,NA,NA,0.642857143
1989,3,-13.52,0.987903226,970.27,1,NA,0.60483871,206.15,0.826612903,58.09,1,NA,NA,0.60483871
1989,4,-17.13,0.95,974.49,1,NA,0.5625,186.42,0.908333333,58.49,1,NA,NA,0.5625
1989,5,-23.06,0.923387097,959.29,1,NA,0.665322581,191.27,0.891129032,49.93,1,NA,NA,0.657258065
