Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,9,NA,0.108333333,NA,0.1875,NA,0,NA,0,NA,0,NA,NA,0
2014,10,NA,0.447580645,688.85,0.935483871,NA,0,NA,0.173387097,NA,0,NA,NA,0
2014,11,NA,0.458333333,699.16,0.941666667,NA,0,294.67,0.816666667,NA,0,NA,NA,0
2014,12,NA,0.560483871,696.34,0.983870968,NA,0.544354839,269.59,0.818548387,NA,0,NA,NA,0.540322581
2015,1,NA,0.495967742,699.94,0.887096774,5.86,0.875,267.5,0.862903226,NA,0,5.41,342.4,0.862903226
2015,2,NA,0.558035714,694.13,0.977678571,5.89,0.9375,280,0.763392857,NA,0,NA,NA,0.732142857
2015,3,NA,0.709677419,690.62,0.947580645,NA,0.697580645,NA,0.217741935,NA,0,NA,NA,0.217741935
2015,4,NA,0.6,NA,0.704166667,NA,0.029166667,NA,0.141666667,NA,0,NA,NA,0.016666667
2015,5,NA,0.725806452,686.75,0.89516129,NA,0,NA,0.120967742,NA,0,NA,NA,0
2015,6,-50.77,0.8125,693.43,0.9625,NA,0,NA,0.083333333,NA,0,NA,NA,0
2015,7,NA,0.657258065,683.85,0.89516129,NA,0,NA,0.096774194,NA,0,NA,NA,0
2015,8,NA,0.741935484,687.33,0.983870968,NA,0,NA,0.068548387,NA,0,NA,NA,0
2015,9,-51.11,0.766666667,686.18,0.9875,NA,0.095833333,NA,0.1,NA,0,NA,NA,0
2015,10,NA,0.504032258,689.14,0.983870968,NA,0.068548387,NA,0,NA,0,NA,NA,0
2015,11,NA,0.516666667,693.38,0.975,6.49,0.775,NA,0.516666667,NA,0,NA,NA,0.495833333
2015,12,NA,0.560483871,701.2,0.983870968,5.69,0.915322581,288.77,0.947580645,NA,0,5.15,326.51,0.903225806
2016,1,NA,0.532258065,696.25,0.907258065,5.92,0.899193548,270.2,0.850806452,NA,0,5.33,343.06,0.842741935
2016,2,NA,0.504310345,694.32,0.961206897,6.02,0.801724138,NA,0.745689655,NA,0,NA,NA,0.603448276
2016,3,NA,0.64516129,685.7,0.967741935,5.54,0.959677419,NA,0.201612903,NA,0,NA,NA,0.201612903
2016,4,NA,0.720833333,690.12,0.829166667,5.52,0.829166667,NA,0.025,NA,0,NA,NA,0.025
2016,5,-45.36,0.826612903,694.12,0.915322581,6.33,0.887096774,NA,0.237903226,NA,0,NA,NA,0.221774194
2016,6,NA,0.725,684.31,0.975,NA,0.204166667,NA,0.104166667,NA,0,NA,NA,0.0375
2016,7,-50.83,0.830645161,689.26,0.991935484,NA,0,NA,0.108870968,NA,0,NA,NA,0
2016,8,-48.78,0.85483871,694.51,0.983870968,NA,0,NA,0.141129032,NA,0,NA,NA,0
2016,9,-51.28,0.783333333,680.25,0.991666667,NA,0,NA,0.0625,NA,0,NA,NA,0
2016,10,NA,0.524193548,690,1,NA,0.407258065,NA,0.201612903,NA,0,NA,NA,0.10483871
2016,11,NA,0.566666667,701.07,0.983333333,7.15,0.841666667,311.32,0.808333333,NA,0,NA,NA,0.708333333
2016,12,NA,0.560483871,703.42,0.975806452,NA,0.427419355,213.84,0.75,NA,0,NA,NA,0.387096774
2017,1,NA,0.60483871,706.22,0.983870968,6.13,0.786290323,291.3,0.798387097,NA,0,5.77,331.7,0.766129032
2017,2,NA,0.566964286,700.73,0.986607143,5.89,0.982142857,272.91,0.919642857,NA,0,4.76,328.75,0.910714286
2017,3,NA,0.689516129,695.46,0.963709677,5.71,0.935483871,NA,0.346774194,NA,0,NA,NA,0.318548387
2017,4,-50.58,0.8875,691,0.9875,5.81,0.9875,NA,0.0875,NA,0,NA,NA,0.0875
2017,5,-50.32,0.838709677,691.71,0.955645161,6.14,0.931451613,NA,0.213709677,NA,0,NA,NA,0.189516129
2017,6,-58.55,0.895833333,688.87,0.9625,NA,0.225,NA,0.05,NA,0,NA,NA,0.0125
2017,7,-54.91,0.858870968,691.75,0.967741935,NA,0,NA,0.060483871,NA,0,NA,NA,0
2017,8,-53.93,0.822580645,686.19,0.947580645,NA,0,NA,0.326612903,NA,0,NA,NA,0
2017,9,NA,0.716666667,683.98,0.958333333,NA,0,NA,0.325,NA,0,NA,NA,0
2017,10,NA,0.556451613,689.9,0.971774194,NA,0.681451613,NA,0.512096774,NA,0,NA,NA,0.342741935
2017,11,NA,0.458333333,694.1,0.991666667,5.08,0.958333333,145.34,0.895833333,NA,0,4.27,355.54,0.866666667
2017,12,NA,0.52016129,697.98,0.97983871,4.87,0.818548387,234.37,0.858870968,NA,0,4.3,346.74,0.766129032
2018,1,NA,0.447580645,696.89,0.97983871,5.72,0.875,240.37,0.915322581,NA,0,5.17,346.57,0.850806452
2018,2,NA,0.477678571,695.26,0.977678571,6.27,0.9375,231.45,0.799107143,NA,0,5.75,350.54,0.763392857
2018,3,NA,0.705645161,694.51,1,NA,0.620967742,NA,0.431451613,NA,0,NA,NA,0.237903226
2018,4,-43.86,0.829166667,697.96,0.970833333,NA,0,NA,0.15,NA,0,NA,NA,0
2018,5,-54.41,0.907258065,691.9,0.987903226,NA,0,NA,0.108870968,NA,0,NA,NA,0
2018,6,-53.58,0.9,699.64,0.975,NA,0,NA,0.15,NA,0,NA,NA,0
2018,7,-45.93,0.923387097,695.35,0.975806452,NA,0,NA,0.22983871,NA,0,NA,NA,0
2018,8,-53.4,0.919354839,693.83,0.983870968,NA,0,NA,0.024193548,NA,0,NA,NA,0
2018,9,NA,0.583333333,NA,0.733333333,NA,0,NA,0.025,NA,0,NA,NA,0
2018,10,NA,0.491935484,685.76,0.935483871,NA,0,NA,0.245967742,NA,0,NA,NA,0
2018,11,NA,0.416666667,691.38,0.995833333,5.63,0.891666667,281.2,0.75,NA,0,NA,NA,0.675
2018,12,NA,0.495967742,696.16,0.846774194,NA,0.705645161,281.36,0.758064516,NA,0,NA,NA,0.677419355
2019,1,NA,0.524193548,698.24,0.983870968,NA,0.637096774,270.18,0.802419355,NA,0,NA,NA,0.608870968
2019,2,NA,0.508928571,700.59,0.982142857,6.51,0.982142857,NA,0.71875,NA,0,NA,NA,0.714285714
2019,3,NA,0.681451613,693.27,0.987903226,5.91,0.963709677,NA,0.379032258,NA,0,NA,NA,0.379032258
2019,4,-50.36,0.8375,693.36,0.9875,NA,0.333333333,NA,0.35,NA,0,NA,NA,0.120833333
2019,5,-54.86,0.927419355,692.77,0.983870968,NA,0,NA,0.149193548,NA,0,NA,NA,0
