Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,3,-14.29,0.879032258,976.26,0.911290323,7.2,0.830645161,203.04,0.891129032,NA,0,5.96,197.47,0.830645161
1986,4,-21.32,0.9625,977.17,1,5.14,0.8875,218.56,0.9375,NA,0,2.51,213.65,0.875
1986,5,-28.26,0.907258065,987.07,1,5.27,0.89516129,219.9,0.983870968,NA,0,3.79,211.42,0.883064516
1986,6,-27.76,0.9875,977.58,0.991666667,6.43,0.9375,206.48,0.983333333,NA,0,5.93,197.99,0.9375
1986,7,-25.97,0.870967742,969.05,0.995967742,4.89,0.786290323,223.65,0.911290323,NA,0,2.36,221.38,0.774193548
1986,8,-29.06,0.987903226,969.41,0.995967742,5.8,0.850806452,224.31,0.935483871,NA,0,3.49,214.35,0.838709677
1986,9,-27.25,0.858333333,964.67,1,NA,0.654166667,210.27,0.933333333,NA,0,NA,NA,0.654166667
1986,10,-17.16,0.883064516,969.45,1,6.43,0.838709677,229.54,0.987903226,NA,0,2.83,226.33,0.838709677
1986,11,-8.98,0.933333333,967.2,0.9875,4.88,0.883333333,203.49,0.95,NA,0,2.37,202.15,0.883333333
1986,12,-4.46,0.790322581,966.92,0.943548387,6.15,0.834677419,198.64,0.919354839,NA,0,4.41,202.32,0.834677419
1987,1,-3.19,0.778225806,976.3,0.995967742,4.93,0.931451613,164.9,0.967741935,NA,0,2.9,188.79,0.931451613
1987,2,-11.26,0.799107143,978.9,0.995535714,5.7,0.90625,201.25,0.941964286,NA,0,4.21,198.11,0.90625
1987,3,-17.19,0.899193548,969.96,0.983870968,5.39,0.862903226,200.94,0.951612903,NA,0,2.94,206.28,0.862903226
1987,4,-25.67,0.991666667,978.39,1,5.71,0.829166667,233.7,0.841666667,NA,0,4.18,205.47,0.766666667
1987,5,-25.35,0.947580645,986.33,1,3.33,0.887096774,236.07,0.923387097,NA,0,1.78,230.58,0.887096774
1987,6,-24.83,0.895833333,977.66,1,4.36,0.783333333,220.04,0.9125,NA,0,2.78,219.41,0.758333333
1987,7,NA,0.512096774,NA,0.556451613,NA,0.407258065,NA,0.548387097,NA,0,NA,NA,0.407258065
1987,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1988,6,-9.2,0.904166667,963.36,0.920833333,NA,0.666666667,151.54,0.754166667,NA,0,NA,NA,0.645833333
