Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1980,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,2,NA,0.711206897,822.81,0.836206897,6.54,0.806034483,NA,0.625,NA,0,NA,NA,0.594827586
1980,3,-24.45,0.810483871,813.14,1,5.62,0.862903226,251.96,0.85483871,NA,0,NA,NA,0.733870968
1980,4,-21.41,0.820833333,818.83,1,6.01,0.908333333,278.23,0.866666667,NA,0,5.36,345.41,0.791666667
1980,5,-25.46,0.774193548,817.22,1,6.61,0.875,NA,0.737903226,NA,0,NA,NA,0.641129032
1980,6,NA,0.733333333,803.03,0.9625,NA,0.716666667,222.03,0.7625,NA,0,NA,NA,0.583333333
1980,7,-24.98,0.762096774,817.48,0.991935484,NA,0.721774194,267.37,0.790322581,NA,0,NA,NA,0.584677419
1980,8,-28.16,0.754032258,811.31,0.995967742,7.2,0.814516129,222.61,0.810483871,NA,0,NA,NA,0.661290323
1980,9,-34.6,0.8125,810.98,0.995833333,6.21,0.833333333,NA,0.7125,NA,0,NA,NA,0.633333333
1980,10,-26.5,0.762096774,800.82,0.995967742,7.99,0.802419355,181.17,0.870967742,NA,0,NA,NA,0.689516129
1980,11,-21.49,0.7875,815.93,1,NA,0.691666667,NA,0.658333333,NA,0,NA,NA,0.55
1980,12,-14.58,0.870967742,816.72,0.987903226,5.18,0.959677419,200.48,0.911290323,NA,0,3.47,358.91,0.891129032
1981,1,NA,0.407258065,NA,0.516129032,NA,0.504032258,NA,0.455645161,NA,0,NA,NA,0.451612903
1981,2,NA,0.705357143,816.79,1,4.93,0.973214286,231.1,0.915178571,NA,0,3.68,354.35,0.897321429
1981,3,-23.83,0.822580645,818.03,0.963709677,9.13,0.887096774,220.66,0.774193548,NA,0,NA,NA,0.701612903
1981,4,NA,0.741666667,813.76,0.970833333,6.51,0.920833333,250.71,0.845833333,NA,0,5.42,348.23,0.804166667
1981,5,NA,0.72983871,808.44,0.995967742,6.83,0.947580645,219.49,0.862903226,NA,0,6,359.85,0.822580645
1981,6,-30.42,0.85,802.39,0.983333333,9.55,0.841666667,192.17,0.933333333,NA,0,8.48,10.3,0.791666667
1981,7,-35.37,0.790322581,805.86,1,8.99,0.870967742,159.93,0.939516129,NA,0,8.43,17.31,0.822580645
1981,8,-43.57,0.75,805.99,0.995967742,7.12,0.891129032,174.69,0.826612903,NA,0,NA,NA,0.725806452
1981,9,NA,0.7375,806.02,1,7.4,0.904166667,243,0.8625,NA,0,6.03,351.09,0.825
1981,10,-28.33,0.806451613,805.97,0.995967742,7.51,0.963709677,NA,0.661290323,NA,0,NA,NA,0.633064516
1981,11,-22.59,0.808333333,804.28,0.991666667,6.97,0.9625,145.71,0.870833333,NA,0,6.25,15.86,0.854166667
1981,12,-14.52,0.838709677,809.84,0.975806452,5.95,0.919354839,189.65,0.826612903,NA,0,4.42,6.42,0.810483871
1982,1,-13.74,0.798387097,821.42,0.987903226,4.47,0.955645161,212.92,0.923387097,NA,0,2.9,344.47,0.903225806
1982,2,-19.34,0.75,814,0.991071429,5.39,0.924107143,212.87,0.901785714,NA,0,4.64,0.62,0.875
1982,3,-29.9,0.802419355,804.05,0.995967742,7.53,0.975806452,209.31,0.967741935,NA,0,7.28,4.86,0.951612903
1982,4,-38.88,0.858333333,798.86,0.995833333,7.7,0.933333333,155.12,0.916666667,NA,0,6.73,19.72,0.8625
1982,5,-36.59,0.826612903,804.84,1,7.02,0.955645161,193.12,0.935483871,NA,0,6.53,4.45,0.899193548
1982,6,-29.82,0.820833333,804.07,1,9.57,0.875,184.29,0.975,NA,0,8.33,10.58,0.866666667
1982,7,-36.77,0.806451613,807.96,1,8.63,0.959677419,216.67,0.915322581,NA,0,7.39,4.82,0.879032258
1982,8,-32.03,0.858870968,801.55,0.995967742,10.29,0.89516129,196.62,0.967741935,NA,0,9.44,6.65,0.875
1982,9,-36.4,0.866666667,797.08,0.995833333,9.07,0.854166667,173.8,0.9625,NA,0,8.39,14.69,0.829166667
1982,10,-29.92,0.846774194,801.72,1,7.36,0.907258065,197.32,0.923387097,NA,0,6.49,10.21,0.834677419
1982,11,-21.14,0.870833333,812.36,1,6.84,0.8875,191.79,0.883333333,NA,0,5.86,12.06,0.854166667
1982,12,-13.25,0.842741935,824.33,0.971774194,5.46,0.915322581,197.38,0.89516129,NA,0,3.64,4.83,0.870967742
1983,1,-15.28,0.883064516,820.83,1,5.65,0.887096774,202.39,0.899193548,NA,0,2.56,346.87,0.834677419
1983,2,NA,0.638392857,816.67,0.995535714,4.32,0.946428571,191.68,0.870535714,NA,0,3.68,4.56,0.870535714
1983,3,-27.61,0.810483871,812.02,0.995967742,7.37,0.971774194,201.73,0.891129032,NA,0,6.98,8.92,0.875
1983,4,-28.32,0.858333333,807.98,0.991666667,10.08,0.891666667,133.63,0.895833333,NA,0,9.91,19.39,0.804166667
1983,5,-29.5,0.875,813.11,0.97983871,8.01,0.923387097,151.9,0.931451613,NA,0,7.24,24.43,0.875
1983,6,-39.78,0.766666667,804.88,0.970833333,7.55,0.820833333,214.93,0.8875,NA,0,NA,NA,0.741666667
1983,7,-40.37,0.879032258,799.39,1,7.59,0.931451613,166.92,0.947580645,NA,0,7.15,11.32,0.883064516
1983,8,NA,0.689516129,795.41,0.903225806,8.66,0.806451613,105.02,0.830645161,NA,0,NA,NA,0.733870968
1983,9,-34.19,0.816666667,803.45,0.991666667,7.56,0.85,192.2,0.845833333,NA,0,6.78,7.11,0.754166667
1983,10,-30.41,0.794354839,794.48,1,9.65,0.891129032,163.63,0.955645161,NA,0,8.83,26.66,0.850806452
1983,11,-22.64,0.829166667,803.01,0.995833333,7.65,0.9,162.01,0.895833333,NA,0,7.13,15.22,0.841666667
1983,12,-15.4,0.822580645,812.99,0.987903226,5.74,0.883064516,166.71,0.838709677,NA,0,3.08,22.44,0.810483871
1984,1,-15.07,0.838709677,821.61,0.995967742,5.03,0.911290323,194.31,0.89516129,NA,0,3.53,6.26,0.870967742
1984,2,-18.87,0.771551724,816.76,1,5.29,0.913793103,234.12,0.896551724,NA,0,4.62,357.48,0.875
1984,3,-21.66,0.887096774,809.01,1,7.31,0.947580645,182.6,0.939516129,NA,0,6.82,14.76,0.887096774
