Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1989,1,NA,0.044354839,NA,0.092741935,NA,0.072580645,NA,0.080645161,NA,0,NA,NA,0.072580645
1989,2,NA,0.669642857,978.32,0.977678571,3.7,0.799107143,216.26,0.892857143,NA,0,1.23,263.36,0.799107143
1989,3,-19.97,0.802419355,980.5,0.991935484,3.93,0.798387097,197.11,0.951612903,NA,0,0.39,232.69,0.798387097
1989,4,-29.98,0.75,990.51,0.9625,NA,0.408333333,NA,0.5875,NA,0,NA,NA,0.408333333
1989,5,-33.37,0.754032258,968.31,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
1989,6,-27.96,0.85,975.61,1,NA,0.525,NA,0.691666667,NA,0,NA,NA,0.525
1989,7,-27.03,0.786290323,973.51,0.963709677,NA,0.697580645,204.87,0.846774194,NA,0,NA,NA,0.697580645
1989,8,-31.25,0.875,992.4,0.971774194,NA,0.733870968,186.99,0.89516129,NA,0,NA,NA,0.733870968
1989,9,-29.11,0.825,979.09,0.966666667,NA,0.491666667,NA,0.583333333,NA,0,NA,NA,0.491666667
1989,10,-22.96,0.810483871,976.66,0.963709677,3.42,0.77016129,196.25,0.903225806,NA,0,0.57,320.18,0.77016129
1989,11,-10.95,0.779166667,978.12,0.983333333,3.46,0.85,203.37,0.9125,NA,0,1.28,310.15,0.8375
1989,12,NA,0.588709677,984.03,0.975806452,3.24,0.766129032,181.24,0.862903226,NA,0,1.1,355.9,0.766129032
1990,1,NA,0.625,982.54,0.991935484,3.57,0.794354839,179.61,0.907258065,NA,0,0.09,185.64,0.794354839
1990,2,NA,0.625,979.87,0.995535714,2.88,0.821428571,213.72,0.9375,NA,0,0.8,274.96,0.821428571
1990,3,-23.92,0.875,982.81,1,3.56,0.875,200.45,0.935483871,NA,0,0.77,245.96,0.875
1990,4,-27.72,0.795833333,990.87,0.966666667,NA,0.483333333,NA,0.679166667,NA,0,NA,NA,0.483333333
1990,5,-30.51,0.766129032,1000.3,0.967741935,NA,0.120967742,NA,0.14516129,NA,0,NA,NA,0.120967742
1990,6,-28.99,0.8375,977.25,0.966666667,NA,0.129166667,NA,0.15,NA,0,NA,NA,0.129166667
1990,7,-34.47,0.806451613,990.41,0.875,NA,0,NA,0,NA,0,NA,NA,0
1990,8,-33.69,0.830645161,975.67,0.947580645,NA,0,NA,0,NA,0,NA,NA,0
1990,9,-27.62,0.758333333,977.44,0.9875,NA,0.525,NA,0.683333333,NA,0,NA,NA,0.525
1990,10,NA,0.733870968,972.67,0.995967742,NA,0.661290323,204.71,0.810483871,NA,0,NA,NA,0.661290323
1990,11,-10.73,0.941666667,966.14,0.995833333,5.43,0.825,193.64,0.970833333,NA,0,2.84,209.05,0.825
1990,12,NA,0.60483871,979.73,0.995967742,3.01,0.834677419,206.62,0.89516129,NA,0,0.66,303.1,0.834677419
1991,1,NA,0.584677419,974.75,0.995967742,3.16,0.907258065,187.51,0.943548387,NA,0,0.47,12.62,0.907258065
1991,2,NA,0.535714286,988.05,0.986607143,2.86,0.799107143,209.24,0.892857143,NA,0,0.96,279.33,0.799107143
1991,3,NA,0.737903226,984.06,1,3.69,0.786290323,226.19,0.931451613,NA,0,1.6,289.1,0.786290323
1991,4,-24.28,0.808333333,987.99,0.991666667,NA,0.583333333,NA,0.666666667,NA,0,NA,NA,0.583333333
1991,5,NA,0.741935484,985.55,0.983870968,NA,0,NA,0,NA,0,NA,NA,0
1991,6,-30.79,0.804166667,984.09,0.979166667,NA,0,NA,0,NA,0,NA,NA,0
1991,7,-32.94,0.806451613,987.65,0.987903226,NA,0,NA,0,NA,0,NA,NA,0
1991,8,-34.78,0.758064516,975.84,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1991,9,NA,0.7375,985.46,1,NA,0,NA,0,NA,0,NA,NA,0
1991,10,NA,0.721774194,975.87,0.995967742,NA,0.044354839,NA,0.048387097,NA,0,NA,NA,0.044354839
1991,11,NA,0.666666667,974.6,0.983333333,3.3,0.758333333,215.33,0.858333333,NA,0,1.01,279.82,0.758333333
1991,12,NA,0.572580645,990.83,1,2.97,0.826612903,213.98,0.927419355,NA,0,1.12,331.08,0.826612903
1992,1,NA,0.625,982.7,1,3.3,0.911290323,187.8,0.947580645,NA,0,0.32,313.05,0.911290323
1992,2,NA,0.689655172,986.14,1,3.61,0.862068966,219.41,0.935344828,NA,0,1.05,236.88,0.862068966
1992,3,NA,0.717741935,983.82,0.995967742,NA,0.633064516,NA,0.737903226,NA,0,NA,NA,0.633064516
1992,4,-23.76,0.816666667,987.72,1,NA,0.320833333,NA,0.4,NA,0,NA,NA,0.320833333
1992,5,-31.02,0.790322581,995.2,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1992,6,-29.87,0.8,995.11,1,NA,0,NA,0,NA,0,NA,NA,0
1992,7,-32.64,0.798387097,985.31,0.97983871,NA,0,NA,0,NA,0,NA,NA,0
1992,8,-37.2,0.75,981.02,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1992,9,NA,0.629166667,NA,0.716666667,NA,0,NA,0,NA,0,NA,NA,0
