Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,1,NA,0.10483871,NA,0.120967742,NA,0.108870968,NA,0.120967742,NA,0,NA,NA,0.108870968
1999,2,NA,0.700892857,988.83,0.973214286,3.59,0.888392857,138.94,0.973214286,NA,0,0.87,50.54,0.888392857
1999,3,-13.38,0.959677419,NA,0,3.87,0.802419355,119.79,0.963709677,NA,0,1.7,62.09,0.802419355
1999,4,-20.48,0.983333333,NA,0,3.45,0.858333333,114.49,0.979166667,NA,0,1.59,68.86,0.858333333
1999,5,-24.2,0.907258065,NA,0,3.62,0.790322581,111.05,0.963709677,NA,0,1.09,68.17,0.790322581
1999,6,-19.46,0.933333333,NA,0,3.63,0.8375,95.91,0.966666667,NA,0,1.96,51.82,0.8375
1999,7,-17.77,0.987903226,NA,0.237903226,4.94,0.814516129,89.94,0.995967742,NA,0,2.59,65,0.814516129
1999,8,-26.59,0.927419355,NA,0.294354839,2.89,0.754032258,122.26,0.85483871,NA,0,0.87,119.51,0.754032258
1999,9,-19.34,0.929166667,NA,0.291666667,4.11,0.783333333,108.75,0.966666667,NA,0,0.98,66.69,0.783333333
1999,10,-14.89,0.963709677,NA,0,3.99,0.826612903,122.38,0.991935484,NA,0,0.82,49.15,0.826612903
1999,11,-5.91,0.954166667,NA,0,NA,0.745833333,135.86,0.983333333,NA,0,NA,NA,0.745833333
1999,12,-2.37,0.754032258,NA,0.036290323,3.92,0.858870968,147.41,0.983870968,61.28,0.89516129,1.22,9.78,0.858870968
2000,1,NA,0.737903226,NA,0.024193548,3.79,0.838709677,145.79,0.991935484,59.13,0.995967742,0.73,6.67,0.838709677
2000,2,-6.46,0.823275862,983.99,0.875,3.91,0.913793103,138.05,0.987068966,63.72,1,1.09,104.25,0.913793103
2000,3,-11.89,0.983870968,986.05,1,3.86,0.850806452,123.42,1,68.41,1,1.11,64.71,0.850806452
2000,4,-16.25,0.966666667,984.34,0.995833333,4.17,0.8,84,0.995833333,69.96,0.995833333,2.81,45.71,0.8
2000,5,-20.23,0.983870968,986.11,0.991935484,3.26,0.862903226,102.95,0.975806452,74.21,0.991935484,1.45,74.19,0.862903226
2000,6,-23.68,0.9375,988.12,1,NA,0.7375,108.31,0.979166667,72,1,NA,NA,0.7375
2000,7,-20.19,0.943548387,984.28,0.995967742,NA,0.693548387,122.95,0.991935484,62.87,0.995967742,NA,NA,0.693548387
2000,8,-23.06,0.935483871,986.87,0.995967742,2.94,0.883064516,109.91,0.97983871,68.2,0.995967742,1.3,73.12,0.883064516
2000,9,-22.77,0.945833333,995.19,0.808333333,3.01,0.808333333,113.55,0.975,67.86,0.991666667,0.97,72.53,0.808333333
2000,10,-18.9,0.951612903,979.62,0.883064516,3.1,0.842741935,111.72,0.975806452,68.71,1,1.48,36.86,0.842741935
2000,11,-5.7,0.95,982.86,0.9,NA,0.675,139.72,0.983333333,61.95,0.991666667,NA,NA,0.675
2000,12,NA,0.737903226,997.9,1,3.38,0.955645161,117.2,0.995967742,70.04,1,2.41,19.29,0.955645161
2001,1,NA,0.725806452,993.16,1,3.07,0.959677419,124.55,0.995967742,71.85,1,1.76,15.87,0.959677419
2001,2,-5.23,0.75,990.19,0.928571429,NA,0.71875,132.55,0.919642857,64.39,0.928571429,NA,NA,0.71875
2001,3,-15.37,0.89516129,987.35,0.903225806,3.45,0.842741935,122.69,0.899193548,69.46,0.903225806,0.96,66.64,0.842741935
2001,4,-19,0.991666667,981.51,1,3.51,0.85,105.21,0.995833333,71.15,1,1.25,68.69,0.85
2001,5,-19.76,0.955645161,987.2,1,3.9,0.782258065,113.77,0.991935484,71.09,1,1.1,73.42,0.782258065
2001,6,-17.84,0.975,983.56,1,NA,0.741666667,98.73,1,71.48,1,NA,NA,0.741666667
2001,7,-20.59,0.963709677,989.32,1,3.24,0.814516129,111.89,0.991935484,71.77,1,1.34,83.53,0.814516129
2001,8,-30.68,0.919354839,985.94,0.995967742,2.87,0.846774194,107.96,0.967741935,66.72,1,1.1,51.74,0.846774194
2001,9,-24.28,0.808333333,981.84,1,2.87,0.85,129.26,0.979166667,65.76,1,0.27,162.17,0.85
2001,10,-16.61,0.891129032,974.4,1,3.17,0.778225806,133.62,0.991935484,60.44,0.995967742,0.87,16.85,0.778225806
