Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,11,NA,0.345833333,NA,0.3625,NA,0.291666667,NA,0.3375,NA,0.3625,NA,NA,0.291666667
2011,12,NA,0.467741935,982.17,1,2.07,0.891129032,177.08,0.983870968,73.64,0.991935484,0.5,183.04,0.891129032
2012,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2012,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
