Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,1,NA,0.060483871,NA,0.096774194,NA,0.096774194,NA,0.096774194,NA,0.096774194,NA,NA,0.096774194
2009,3,-21.27,0.766129032,972.72,1,3.46,0.818548387,239.29,1,71.98,1,1.13,259.37,0.946428571
2009,3,-21.27,0.766129032,972.72,1,3.46,0.818548387,239.29,1,71.98,1,1.59,277.26,0.818548387
2009,4,-18.83,0.754166667,978.12,0.991666667,4.45,0.829166667,216.71,0.979166667,73.74,0.991666667,2.25,207.87,0.829166667
2009,5,NA,0.689516129,980.63,0.995967742,3.52,0.818548387,235.8,0.995967742,68.92,0.995967742,1.88,258.96,0.818548387
2009,6,NA,0.679166667,982.43,1,4.03,0.816666667,231.31,0.979166667,64.2,1,2.08,252.59,0.816666667
2009,7,NA,0.721774194,980.6,1,3.51,0.858870968,237.81,0.995967742,64.85,1,1.91,255.48,0.858870968
2009,8,NA,0.036290323,NA,0.072580645,NA,0.060483871,NA,0.072580645,NA,0.072580645,NA,NA,0.060483871
2009,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,11,NA,0.341666667,NA,0.3625,NA,0.333333333,NA,0.3625,NA,0.3625,NA,NA,0.333333333
2009,12,NA,0.685483871,973.8,1,2.86,0.97983871,214.88,1,74.82,1,0.92,257.81,0.97983871
2010,1,NA,0.64516129,986.64,0.887096774,3.15,0.842741935,218.04,0.879032258,80.93,0.887096774,0.39,251.28,0.842741935
2010,3,-18.57,0.802419355,976.32,1,3.43,0.842741935,226.92,0.995967742,67.22,1,1.51,222.01,0.883928571
2010,3,-18.57,0.802419355,976.32,1,3.43,0.842741935,226.92,0.995967742,67.22,1,1.49,221.31,0.842741935
2010,4,NA,0.7125,972.74,1,3.52,0.795833333,224.78,0.991666667,67.46,1,1.85,228.5,0.795833333
2010,5,NA,0.701612903,974.19,0.995967742,NA,0.741935484,216.8,0.991935484,66.87,0.995967742,NA,NA,0.741935484
2010,6,NA,0.679166667,968.35,0.995833333,3.9,0.791666667,230.77,0.979166667,61.9,0.995833333,2.43,251.9,0.791666667
2010,7,NA,0.697580645,961.58,0.991935484,4.05,0.806451613,232.28,0.983870968,66.73,0.991935484,2.43,240.81,0.806451613
2010,8,NA,0.709677419,964.6,0.995967742,4.11,0.774193548,221.94,0.943548387,72.69,0.995967742,1.8,220.69,0.774193548
2010,9,NA,0.745833333,972.02,1,4.13,0.783333333,227.78,0.975,67.11,1,2.39,235.99,0.783333333
2010,10,-18.75,0.766129032,966.22,1,3.78,0.822580645,228.3,0.995967742,66.37,1,1.97,247.95,0.822580645
2010,11,-11.14,0.9,966.25,1,3.8,0.8375,217.34,0.991666667,61.34,1,2.34,235.96,0.8375
2010,12,NA,0.705645161,980.79,1,3.26,0.907258065,211.43,0.987903226,72.99,1,1.05,231.01,0.907258065
2011,1,NA,0.673387097,982.67,1,2.81,0.939516129,213.28,1,77.7,1,0.75,223.76,0.939516129
2011,3,-19.51,0.862903226,981.52,1,3.13,0.838709677,231.68,0.995967742,69.72,1,1.67,231.42,0.879464286
2011,3,-19.51,0.862903226,981.52,1,3.13,0.838709677,231.68,0.995967742,69.72,1,1.67,248.83,0.838709677
2011,4,-22.49,0.766666667,980.05,0.995833333,NA,0.6125,213.9,0.808333333,71.78,0.995833333,NA,NA,0.6125
2011,5,-22.07,0.77016129,969.77,1,NA,0.741935484,228.8,0.975806452,70.59,1,NA,NA,0.741935484
2011,6,-21.63,0.775,979.05,1,NA,0.7375,213.32,0.975,74.96,1,NA,NA,0.7375
2011,7,-19.06,0.778225806,977.37,1,NA,0.705645161,217.43,0.939516129,76.08,1,NA,NA,0.705645161
2011,8,-20.05,0.774193548,978.81,0.995967742,NA,0.677419355,224.73,0.907258065,73.97,0.995967742,NA,NA,0.677419355
2011,9,NA,0.7375,980.74,0.995833333,4.23,0.7875,230.26,0.954166667,68.28,0.995833333,2.11,250.84,0.7875
2011,10,-16.66,0.766129032,970.09,0.995967742,NA,0.741935484,211.03,0.927419355,71.81,0.995967742,NA,NA,0.741935484
2011,11,-7.71,0.895833333,978.63,1,3.92,0.845833333,211.56,1,57.21,1,2.51,220.79,0.845833333
2011,12,-4.73,0.754032258,967.72,1,3.63,0.919354839,213.79,1,76.11,1,1.34,196.7,0.919354839
