Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2001,5,NA,0.22983871,NA,0.217741935,NA,0.108870968,NA,0.137096774,NA,0.22983871,NA,NA,0.108870968
2001,6,-4.57,0.9875,988.92,0.983333333,NA,0.725,194.32,0.983333333,78.24,0.991666667,NA,NA,0.725
2001,7,-12.27,0.939516129,994.27,0.991935484,NA,0.717741935,197.75,0.866935484,84.63,0.995967742,NA,NA,0.713709677
2001,8,-10.25,0.862903226,970.24,0.983870968,NA,0.560483871,221.51,0.967741935,83.45,0.995967742,NA,NA,0.560483871
2001,9,-6.83,0.866666667,982.48,0.9875,NA,0.6125,235.75,1,85.5,1,NA,NA,0.6125
2001,10,-5.08,0.927419355,970.03,0.983870968,NA,0.580645161,218.49,1,82.01,1,NA,NA,0.580645161
2001,11,-2.3,0.925,971.5,0.995833333,NA,0.7375,134.2,0.966666667,77.5,1,NA,NA,0.729166667
2001,12,-0.73,0.899193548,973.36,0.991935484,NA,0.72983871,173.71,0.987903226,82.13,1,NA,NA,0.72983871
2002,1,0.6,0.846774194,983.3,0.975806452,4.48,0.818548387,119.59,0.955645161,84.57,0.995967742,2.2,57.63,0.806451613
2002,2,0.47,0.977678571,977.21,0.982142857,NA,0.71875,151.35,0.977678571,88.61,1,NA,NA,0.705357143
2002,3,-3.24,1,989.89,0.97983871,5.69,0.85483871,172.57,0.963709677,82.09,1,1.05,77.35,0.830645161
2002,4,-1.23,0.966666667,981.57,0.9375,NA,0.654166667,112,0.9625,85.9,0.970833333,NA,NA,0.654166667
2002,5,-10.61,0.983870968,994.66,0.967741935,4.43,0.778225806,192.19,0.899193548,86.61,0.995967742,0.77,66.74,0.778225806
2002,6,-18.46,0.891666667,990.3,0.966666667,NA,0.691666667,201.58,0.945833333,83.78,0.979166667,NA,NA,0.691666667
2002,7,-13.26,0.794354839,990.34,0.987903226,NA,0.564516129,152.79,0.75,87.52,1,NA,NA,0.552419355
2002,8,-12.27,0.85483871,994.88,0.983870968,NA,0.528225806,215.57,0.77016129,85.68,0.995967742,NA,NA,0.528225806
2002,9,-7.33,0.891666667,999.41,0.970833333,4.56,0.808333333,181,0.95,87.13,0.995833333,1.6,18.31,0.808333333
2002,10,-9.68,0.891129032,985.12,0.97983871,NA,0.737903226,130.34,0.963709677,74.44,0.995967742,NA,NA,0.737903226
2002,11,-2.59,0.9125,986.95,0.970833333,4.35,0.8125,162.7,0.933333333,79.37,1,1.54,26.72,0.8125
2002,12,0.45,0.866935484,983.21,0.983870968,5.03,0.826612903,111.19,0.97983871,83.37,1,3.11,48.45,0.826612903
2003,1,1.85,0.794354839,989.67,0.971774194,3.68,0.834677419,142.1,0.911290323,82.85,0.991935484,1.7,80.66,0.822580645
2003,2,1.05,0.90625,979.88,0.950892857,NA,0.647321429,100.8,0.892857143,81.81,0.964285714,NA,NA,0.633928571
2003,3,-0.35,0.975806452,991.84,0.955645161,NA,0.725806452,122.79,0.931451613,83.53,0.97983871,NA,NA,0.713709677
2003,4,-2,0.995833333,988.13,0.941666667,7.13,0.770833333,157.54,0.9875,89.89,0.995833333,3.9,15.71,0.770833333
2003,5,-5.1,0.971774194,985.3,0.939516129,NA,0.713709677,148.68,0.971774194,86.47,0.987903226,NA,NA,0.713709677
2003,6,-9.12,0.941666667,994.45,0.945833333,5.37,0.7875,128.15,0.975,83.6,0.991666667,3,68.76,0.7875
2003,7,-5.82,0.967741935,974.38,0.927419355,NA,0.681451613,79.37,0.971774194,84.77,0.983870968,NA,NA,0.673387097
2003,8,-8.72,0.919354839,976.28,0.951612903,NA,0.669354839,99.12,0.955645161,88.62,0.987903226,NA,NA,0.657258065
2003,9,-9.27,0.895833333,983.34,0.945833333,6.34,0.75,97.19,0.9625,86.43,0.983333333,4.42,61.82,0.75
2003,10,-8.1,0.830645161,979.38,0.935483871,NA,0.737903226,88.77,0.899193548,81.72,0.967741935,NA,NA,0.713709677
2003,11,-2.86,0.95,982.14,0.970833333,5.98,0.8875,117.7,0.95,73.86,0.995833333,4.41,71.04,0.879166667
2003,12,-0.78,0.883064516,993.37,0.983870968,4.78,0.794354839,125.35,0.943548387,68.66,0.995967742,2.44,86.17,0.786290323
