Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,2,NA,0.3125,NA,0.321428571,NA,0.285714286,NA,0.321428571,NA,0,NA,NA,0.285714286
1986,3,-14.56,0.89516129,944.18,0.923387097,7.09,0.806451613,181.23,0.883064516,NA,0,5.4,153.5,0.806451613
1986,4,-20.23,0.95,944.39,1,5.98,0.8375,184.82,0.925,NA,0,3.24,143.03,0.816666667
1986,5,-28.31,0.887096774,952.88,0.987903226,5.89,0.866935484,181.2,0.963709677,NA,0,4.2,150.27,0.866935484
1986,6,-28.22,0.966666667,942.3,0.983333333,7.93,0.866666667,154.3,0.945833333,NA,0,6.33,151,0.854166667
1986,7,-25.22,0.919354839,936.17,0.983870968,NA,0.588709677,NA,0.673387097,NA,0,NA,NA,0.560483871
1986,8,-29.29,0.963709677,935.76,0.995967742,NA,0.665322581,NA,0.681451613,NA,0,NA,NA,0.584677419
1986,9,-24.51,0.8625,931.71,0.995833333,NA,0.675,194.63,0.904166667,NA,0,NA,NA,0.641666667
1986,10,-16.7,0.810483871,937.66,1,NA,0.649193548,190.83,0.858870968,NA,0,NA,NA,0.608870968
1986,11,-10.52,0.908333333,935.44,0.983333333,6.25,0.758333333,NA,0.704166667,NA,0,NA,NA,0.629166667
1986,12,-6.01,0.826612903,935.5,0.943548387,NA,0.72983871,172.73,0.786290323,NA,0,NA,NA,0.641129032
1987,1,NA,0.745967742,944.23,1,5.2,0.774193548,NA,0,NA,0,NA,NA,0
1987,2,-11.65,0.754464286,945.97,0.995535714,NA,0.611607143,NA,0,NA,0,NA,NA,0
1987,3,-16.69,0.919354839,936.93,0.971774194,NA,0.633064516,NA,0,NA,0,NA,NA,0
1987,4,-25.68,0.8875,943.54,0.908333333,NA,0.645833333,NA,0,NA,0,NA,NA,0
1987,5,-24.17,0.774193548,952.1,0.85483871,NA,0.415322581,NA,0,NA,0,NA,NA,0
1987,6,NA,0.716666667,947.2,0.770833333,NA,0,NA,0,NA,0,NA,NA,0
1987,7,-25.83,0.850806452,941.97,0.911290323,NA,0,NA,0,NA,0,NA,NA,0
1987,8,NA,0.737903226,942.82,0.915322581,NA,0,NA,0,NA,0,NA,NA,0
1987,9,NA,0.683333333,NA,0.741666667,NA,0,NA,0,NA,0,NA,NA,0
1987,10,-18.33,0.838709677,938.31,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1987,11,-10.21,0.908333333,928.73,0.975,NA,0,NA,0,NA,0,NA,NA,0
1987,12,-6.77,0.891129032,939.71,0.943548387,NA,0,NA,0,NA,0,NA,NA,0
1988,1,NA,0.64516129,948.02,0.995967742,NA,0.697580645,NA,0,NA,0,NA,NA,0
1988,2,NA,0.672413793,941.45,0.969827586,NA,0.577586207,NA,0,NA,0,NA,NA,0
1988,3,-18.89,0.931451613,942.77,0.991935484,NA,0,NA,0,NA,0,NA,NA,0
1988,4,-21.65,0.8,943.45,0.866666667,NA,0,NA,0,NA,0,NA,NA,0
1988,5,-23.62,0.915322581,948.13,0.995967742,NA,0,NA,0,NA,0,NA,NA,0
1988,6,-27.93,0.916666667,953.52,0.970833333,NA,0,NA,0,NA,0,NA,NA,0
1988,7,-24.86,0.810483871,940.49,0.987903226,NA,0,NA,0,NA,0,NA,NA,0
1988,8,-20.1,0.870967742,949.91,0.951612903,NA,0,NA,0,NA,0,NA,NA,0
1988,9,-20.86,0.8625,946.43,0.995833333,NA,0.204166667,NA,0.045833333,NA,0,NA,NA,0.045833333
1988,10,-17.25,0.794354839,954.7,0.983870968,NA,0.447580645,NA,0,NA,0,NA,NA,0
1988,11,-11.79,0.8625,940.43,0.954166667,NA,0.575,NA,0,NA,0,NA,NA,0
1988,12,NA,0.733870968,938.86,0.862903226,NA,0.612903226,NA,0.290322581,NA,0,NA,NA,0.22983871
